PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2Qe6t,8/8/3P4/8/p1K5/P5p1/5k2/8 w - - 1 54,g2f2 d6d7 g3g2 d7d8q,501,93,100,413,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/pDNKMLwc/black#106,
PZn9y,r4rk1/p1p3pp/b1p5/2bPP3/3N4/2P5/PP1Qp1PP/RN3R1K b - - 0 18,e1f1 e2f1q,509,90,100,560,advancedPawn kingsideAttack mate mateIn1 middlegame oneMove promotion,https://lichess.org/KzA9cdUd#35,Italian_Game Italian_Game_Scotch_Gambit
o121F,8/8/8/4p1P1/1k6/p4n2/K7/8 w - - 0 69,h4f3 g5g6 f3d2 g6g7,526,97,100,131,advancedPawn advantage endgame knightEndgame short,https://lichess.org/DfakUFpQ/black#136,
mq8JV,4K3/8/4kP2/8/8/5n2/8/8 w - - 1 55,d5e6 f6f7 f3e5 f7f8q,530,85,100,225,advancedPawn crushing endgame knightEndgame master masterVsMaster promotion short,https://lichess.org/2YdeompE/black#108,
OFtsR,8/8/8/1K3k1p/PP6/8/8/8 b - - 0 68,a3a4 h5h4 b5a5 h4h3 b4b5 h3h2 b5b6 h2h1q,541,91,100,163,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/2zR59bn7#135,
bLX3L,8/8/4K3/2k3P1/5p1P/7P/8/8 b - - 0 50,g4g5 f4f3 g5g6 f3f2 g6g7 f2f1q,548,85,100,135,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/PASjnm8i#99,
XtZgK,8/6p1/1K5p/8/8/P5k1/8/8 w - - 0 51,h2g3 a3a4 g7g5 a4a5 g5g4 a5a6 g3h2 a6a7 g4g3 a7a8q,552,96,100,61,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Amjc8mEN/black#100,
RBeQu,8/8/1K6/P5k1/7p/8/8/8 b - - 1 52,a6b6 h4h3 a5a6 h3h2 b6b7 h2h1q,555,98,100,149,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/4GpyyjSU#103,
JKtLT,8/8/p7/1p6/4pPK1/k3P3/P7/8 w - - 1 56,b4a3 f4f5 a3a2 f5f6 b5b4 f6f7,564,89,100,233,advancedPawn crushing endgame long master pawnEndgame quietMove,https://lichess.org/WW8StZcY/black#110,
K1ZZe,8/1p5p/2p5/5K2/4PP2/p7/P1k5/8 w - - 1 47,d2c2 e4e5 c2b1 e5e6 b1a2 e6e7,566,89,100,148,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/ZqN9XrYb/black#92,
fbRB7,8/8/p5K1/8/8/1k6/6PP/8 b - - 0 47,h7g6 a6a5 g6f7 a5a4 g2g4 a4a3 g4g5 a3a2 g5g6 a2a1q,579,93,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/EBgThFi3#93,
KOjBl,8/8/1P6/6p1/K4pk1/8/8/8 w - - 0 41,f3g4 b6b7 f4f3 b7b8q,584,87,100,102,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/aVTLRK7d/black#80,
sZ0bE,8/8/6K1/1k5P/p7/8/8/8 b - - 1 44,h6g6 a4a3 h5h6 a3a2 g6f7 a2a1q,585,87,100,140,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/68aviwNi#87,
tqq1O,4r1kr/pp1P1ppp/1bp5/5q2/2B1R3/2N2P1b/PPP4P/R6K w - - 0 19,a8e8 d7e8q,591,88,100,84,advancedPawn kingsideAttack mate mateIn1 middlegame oneMove promotion,https://lichess.org/zo5Qe7CD/black#36,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
DCbu0,8/p7/k5K1/1p6/7P/8/7P/8 b - - 1 43,g7g6 b5b4 h4h5 b4b3 h5h6 b3b2 h6h7 b2b1q,598,97,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/gFxDkQIl#85,
WFbmh,8/3N4/2p5/p6P/Ppk5/8/8/6K1 b - - 1 76,f8d7 b4b3 g1f2 b3b2,602,82,100,285,advancedPawn crushing endgame knightEndgame short,https://lichess.org/NlSe1jIX#151,
CQKR9,8/6K1/6P1/5Pk1/8/8/b7/8 w - - 5 54,h5g5 f5f6 a2b1 f6f7 b1g6 f7f8q,612,82,100,95,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/Jzeq6mea/black#106,
OUXHr,8/8/4K1k1/2p3P1/7P/8/8/8 b - - 0 51,d5e6 c5c4 e6e5 c4c3 e5f4 c3c2,616,81,100,183,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/Zy6oBr5G#101,
vWkds,r7/1K6/1P4k1/2n5/8/3R2p1/8/8 w - - 1 54,e6c5 b7a8 c5d3 b6b7 g6f5 b7b8q,625,81,100,183,advancedPawn crushing endgame long promotion,https://lichess.org/g85D0nks/black#106,
eWeUm,6k1/6pp/p7/P7/8/2p4P/2r1RK2/1N6 b - - 1 39,d2b1 c2e2 f2e2 c3c2,633,81,100,156,advancedPawn crushing endgame short,https://lichess.org/8GfYI1wA#77,
ETv2X,4r1k1/4P1pp/6b1/6P1/8/BP6/P1r5/1K3R2 w - - 0 45,d2c2 f1f8 e8f8 e7f8q,639,85,100,219,advancedPawn endgame master mate mateIn2 promotion short,https://lichess.org/tyRoYPgA/black#88,
AlnGr,8/8/8/6KP/5Pp1/5k2/8/8 b - - 0 59,g3f4 g4g3 f4f5 g3g2 f5f6 g2g1q,660,82,100,90,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/V1oYWylt#117,
MvLSD,5k2/8/2K2P2/3P4/8/2n5/8/8 w - - 2 53,a4c3 d5d6 c3e4 d6d7 e4f6 d7d8q,667,78,100,185,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/BrCGbBvT/black#104,
c52Q6,8/1p4K1/8/2k3pP/1p4P1/5P2/8/8 b - - 1 48,h6g7 b4b3 h5h6 b3b2 h6h7 b2b1q,679,82,100,142,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/eMQaDM1d#95,
ym3R0,8/7K/6qP/8/1p6/2k5/8/8 w - - 0 56,g5g6 h7g6 b4b3 h6h7 b3b2 h7h8q,698,88,100,66,advancedPawn crushing endgame long master promotion,https://lichess.org/SuIxXnRm/black#110,
4LToV,4r1k1/p5pp/8/5P2/8/5B2/PP1p1PPP/3R2K1 b - - 1 28,c1d1 e8e1 d1e1 d2e1q,700,82,100,205,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/0PVt1K3Y#55,
gmQCH,2r4k/p1P4p/1p4pr/8/8/5PK1/P5P1/3R4 w - - 0 34,h5h6 d1d8 c8d8 c7d8q,727,82,100,148,advancedPawn crushing endgame promotion rookEndgame short,https://lichess.org/aYgQJwmF/black#66,
Xy4t1,8/2p5/8/8/k1K5/pp2P3/8/R7 b - - 1 46,a2a1 b3b2 a1b1 a3a2 b1b2 a2a1q,739,81,100,354,advancedPawn crushing endgame long promotion rookEndgame,https://lichess.org/pmkyJd4c#91,
ttgtp,8/5pkp/6p1/pP6/P3p3/4P1PP/1n3P2/5K2 w - - 0 39,b6a5 b5b6 b2a4 b6b7,755,81,100,88,advancedPawn crushing endgame knightEndgame short,https://lichess.org/TjydT5i6/black#76,
W2cGB,6k1/4pp1p/3p2p1/3P4/4P3/3p4/R4PPP/2b3K1 b - - 1 29,a7a2 d3d2 a2d2 c1d2,763,78,100,253,advancedPawn advantage endgame master short,https://lichess.org/mb21fxQU#57,
Rhihg,8/p4k2/3P1P2/1p4Kp/8/1p5P/8/8 w - - 0 54,c4b3 d6d7 b3b2 d7d8q,765,89,100,38,advancedPawn crushing endgame master pawnEndgame promotion short,https://lichess.org/lQNl9oud/black#106,
1M1PP,8/8/8/5p2/P4Br1/6P1/R2p3P/2k2K2 b - - 1 39,e5f4 g4f4 g3f4 d2d1q,773,79,100,209,advancedPawn crushing endgame promotion short,https://lichess.org/Jq1zAviS#77,
C5CDC,4k2r/r4pp1/1pP1p2p/pB1pb3/7B/1R6/5PPP/6K1 w k - 0 26,d4e5 c6c7 e8f8 c7c8q,785,77,100,224,advancedPawn discoveredAttack endgame mate mateIn2 promotion short,https://lichess.org/qKeeHL3X/black#50,
cHt1p,8/8/K7/5pk1/1P6/P7/8/8 b - - 0 55,a5a6 f5f4 b4b5 f4f3 b5b6 f3f2 b6b7 f2f1q,805,97,100,36,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/gLQV6STF#109,
67p5K,8/8/7p/6p1/1PK5/6kP/8/8 w - - 1 47,f3g3 b4b5 g3h3 b5b6 g5g4 b6b7 g4g3 b7b8q,818,81,100,187,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/JspRl8Ap/black#92,
Vjpl6,3k4/1R6/p3P3/1b3r2/P6p/1P5P/3Np1P1/4K3 b - - 0 41,a2a4 f5f1 d2f1 e2f1q,821,89,100,253,advancedPawn crushing endgame promotion short,https://lichess.org/P8fOA8A2#81,
NJXjs,5k2/5p2/3P2p1/R7/4K3/8/8/6r1 w - - 4 53,g7f8 a5a8 f8g7 d6d7,826,76,100,269,advancedPawn crushing endgame master masterVsMaster rookEndgame short,https://lichess.org/hOGAYPIW/black#104,
thX87,8/8/8/6R1/4k1Kp/3p4/8/8 b - - 0 60,b5g5 d3d2 g4h4 d2d1q,840,83,100,163,advancedPawn crushing endgame promotion rookEndgame short,https://lichess.org/XOdBYZvq#119,
PKloS,8/8/6R1/p4K1p/6rP/6Pk/8/8 w - - 6 75,a4g4 g6g4 h5g4 h4h5 h3g3 h5h6 g3f3 h6h7 g4g3 h7h8q,846,114,100,19,advancedPawn crushing endgame promotion quietMove rookEndgame veryLong,https://lichess.org/mA05Fu6L/black#148,
ZL3FE,8/8/7P/1p6/1P1B4/P2bKp2/6k1/8 b - - 9 53,f4e3 f3f2 e3d3 f2f1q,859,80,100,175,advancedPawn bishopEndgame crushing endgame promotion short,https://lichess.org/myuJQoUS#105,
s8mnU,3r2k1/p2PRn1p/1p4p1/1P6/2b5/2B4P/P4P1K/8 w - - 1 42,d5c4 e7e8 d8e8 d7e8q,863,87,100,337,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/sSL38Gyb/black#82,
cx0Pg,3b4/8/7p/1p2P2P/1p4K1/1pk1P1P1/7R/6B1 b - - 2 44,b2h2 b3b2 h2b2 c3b2,868,76,100,235,advancedPawn crushing endgame short,https://lichess.org/XPY3EEr6#87,
TCfQG,8/K4pp1/6p1/Pk6/8/8/8/8 w - - 5 67,c6b5 a5a6 b5c6 a7b8 g6g5 a6a7,874,106,100,32,advancedPawn crushing endgame long pawnEndgame,https://lichess.org/RejiG0sh/black#132,
mcVdf,8/8/8/1p6/1B1K4/p7/k7/8 b - - 1 69,c3d4 a2b3 b4d6 a3a2,881,85,100,50,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/E13tD4hw#137,
MQo8B,rnb1k2r/pp2Pp1p/6p1/q5B1/4n3/5N2/PbP1KPPP/R2Q1B1R w kq - 0 10,c3b2 d1d8 a5d8 e7d8q,888,80,100,99,advancedPawn fork mate mateIn2 middlegame promotion short,https://lichess.org/N2w2hgBN/black#18,Pirc_Defense Pirc_Defense_Classical_Variation
Z1LYr,2r3k1/5p1p/6p1/1N6/4p3/6P1/3p1PBP/R4K2 b - - 2 46,g1f1 c8c1 a1c1 d2c1q,895,78,100,108,advancedPawn crushing endgame promotion short,https://lichess.org/APebwrQO#91,
1MDiV,8/3q1k1p/2rP1pp1/1p5b/1Q6/1P5P/5PP1/4R1K1 w - - 3 33,e2h5 e1e7 d7e7 d6e7,903,79,100,790,advancedPawn advantage endgame fork short,https://lichess.org/4Cl7viRV/black#64,
OpGoI,8/1p4kp/1P1p4/2nP4/2P2PP1/p5KP/8/1B6 b - - 1 46,h2g3 c5e4 b1e4 a3a2,906,80,100,419,advancedPawn advantage endgame sacrifice short,https://lichess.org/0mq9sLKY#91,
v6JTg,5r1k/3P2p1/1p5p/pPp5/3q4/6PP/5R1K/8 w - - 0 38,d8f8 f2f8 h8h7 d7d8q d4d8 f8d8,913,82,100,79,advancedPawn crushing endgame long promotion queenRookEndgame,https://lichess.org/jHdu1pc7/black#74,
5RCut,2Q1r3/1K2k3/3Rp3/4P3/5p2/4p3/6PP/8 b - - 0 49,c7c8q e8c8 b7c8 e3e2,917,77,100,153,advancedPawn advantage endgame short,https://lichess.org/Ba1qGRYF#97,
oKUn9,8/8/8/p7/6PK/1k5p/7P/8 w - - 2 52,a4b3 g4g5 a5a4 g5g6 a4a3 g6g7,927,89,100,40,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/F6Vqnfly/black#102,
bIjcj,4r1kr/5p2/6p1/p2p2P1/P2Qp1b1/1P4Pp/2R2P2/5RK1 b - - 0 39,b6d4 h3h2 g1h1 g4f3,931,77,100,328,advancedPawn endgame mate mateIn2 short,https://lichess.org/OTT5THLL#77,
