PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
CsXbp,2b2r2/p4r1p/2p1p1k1/2NpP3/3R1P2/1P6/P4K1P/5R2 b - - 4 28,g1f2 f7f4 d4f4 f8f4,503,104,100,169,advantage endgame short,https://lichess.org/MH2TZbH9#55,
ifBOI,2r5/5kpp/4p3/4Pp2/1PN2P2/1p1pK3/1Bb3PP/8 w - - 4 39,a8c8 c4d6 f7e7 d6c8,529,89,100,204,advantage endgame fork short,https://lichess.org/M6F6FMDi/black#76,
1s3eD,4r2k/pp2R1bp/2p3p1/2P4P/2Bp4/5n2/PP3P1q/3R1K2 w - - 0 36,f8e8 e7e8 g7f8 e8f8,532,83,100,95,advantage kingsideAttack master middlegame short,https://lichess.org/RMvdCjyJ/black#70,
FcYzT,4k1nr/1p1q1pbp/p1r1p1p1/3pP3/Q2P4/4BN2/PP3PPP/R1R3K1 b k - 1 14,f1c1 c6c1 a1c1 d7a4,539,88,100,172,advantage discoveredAttack middlegame short,https://lichess.org/6hCWBvPH#27,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Dragon
4hWr6,4k3/3r3p/6p1/3bP3/P2Q4/1P3PP1/2P3KP/8 b - - 2 49,c5d4 d5f3 g2f2 d7d4,544,86,100,228,advantage discoveredAttack endgame master short,https://lichess.org/uMPJyklc#97,
PnUKp,2r3k1/5p1p/p1N1p1p1/8/1P6/P5PP/5P2/6K1 w - - 1 29,b8c8 c6e7 g8f8 e7c8,549,87,100,366,advantage endgame fork short,https://lichess.org/dIJLB1K7/black#56,
6BGbP,2r3k1/6p1/5nN1/p2p4/3P4/2P1n3/P5PP/R5K1 w - - 1 28,f8c8 g6e7 g8f7 e7c8,553,91,100,133,advantage endgame fork short,https://lichess.org/6C6CsNSw/black#54,
OrI6j,8/6kp/1p2qQ2/2p2p2/2P1p1pP/4P1P1/p3NPB1/B5K1 b - - 0 40,d8f6 e6f6 a1f6 g7f6,557,90,100,60,advantage endgame short,https://lichess.org/2ANa2gh1#79,
ow7T9,4r3/pp2q1k1/4rp1p/3R2p1/2PP4/1P3Q2/P5PP/R5K1 b - - 2 28,d1f3 e6e1 a1e1 e7e1,564,87,100,86,advantage endgame short,https://lichess.org/v0Rt3NK6#55,
Mj1II,r2r1nk1/1q3ppp/4p3/1PB1P3/p3PP2/6P1/P2Q2BP/3R2K1 w - - 1 27,d7f8 d2d8 a8d8 d1d8,567,91,100,921,advantage master middlegame short,https://lichess.org/8L3vzCl7/black#52,
