PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
QNuVp,r4r2/4Nppk/p7/1p2R3/8/5p1P/6PK/8 w - - 0 39,h8h7 e5h5,500,103,93,1106,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/Jm4catLM/black#76,
R60Hc,r7/pp2kp2/2pRp3/4P3/8/8/PPP1nPPK/3R4 b - - 0 27,h1h2 a8h8,505,101,89,1016,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/ZGXNv3xX#53,
T4TI5,r4r2/1p2Nppk/p1p5/4PR2/4p3/1P2P3/1PPq4/5RK1 w - - 0 30,h8h7 f5h5,514,93,95,982,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/7AOKkXOq/black#58,
cZ7bK,8/2k2pp1/p7/1p1r4/2p5/P1P1n1PK/BP3R1P/8 b - - 3 37,g2h3 d5h5,516,92,96,970,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/DPrAM7AF#73,
VjHY9,rq2nr2/pp2Nppk/8/2p1p3/8/4R3/PPP2PPP/R5K1 w - - 0 19,h8h7 e3h3,521,90,100,455,anastasiaMate mate mateIn1 middlegame oneMove,https://lichess.org/kRQ2mlbe/black#36,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
Kp830,6k1/p5p1/1p1N4/4B2p/2Pr4/3b4/PP2n1PK/4R3 b - - 2 33,f4e5 d4h4,525,88,100,179,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/NnbXnsJd#65,
nbSAw,4rr2/pR2Nppk/1p6/q7/5P2/5R2/6PP/6K1 w - - 0 24,h8h7 f3h3 a5h5 h3h5,531,85,100,410,anastasiaMate endgame mate mateIn2 short,https://lichess.org/jWbYrBgJ/black#46,
CkUWy,r6q/pppk1B2/3p4/4p3/4Q1bB/8/PPP1n1PK/RN3R2 b - - 2 17,g5h4 h8h4,543,90,99,1032,anastasiaMate hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/CsqPxyjy#33,Italian_Game Italian_Game_Giuoco_Piano
bz1LT,8/7p/2p1N1pk/pb6/5R2/r6P/5PP1/6K1 w - - 0 34,c3a3 f4h4,547,107,94,1761,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/AXzhV6xw/black#66,
NUQyw,3R4/8/1pk5/5r2/P3N3/4n1PK/8/8 b - - 1 54,f6e4 f5h5,552,94,97,1674,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/PoFggbeS#107,
I1ACp,r4r2/4Nppk/pn2p3/1p2P3/q7/3R4/P1R2PPP/6K1 w - - 0 24,h8h7 d3h3 a4h4 h3h4,556,90,98,906,anastasiaMate master mate mateIn2 middlegame short,https://lichess.org/IS4zL2hT/black#46,
e7CTd,5rk1/4Qppp/p3p3/1r6/1n6/BN6/P3nPPK/R4R2 b - - 0 27,h1h2 b5h5 e7h4 h5h4,593,88,99,944,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/VmAWDXP4#53,
VO3zm,8/2r2p2/p4P2/1p5p/4N1pk/5n2/PPP5/2K2R2 w - - 0 41,g3h4 f1h1 f3h2 h1h2,597,82,100,298,anastasiaMate endgame mate mateIn2 short,https://lichess.org/8OQc56QV/black#80,
N97dT,8/5R2/1p5k/4N3/p3nPPK/8/r7/8 b - - 4 55,g3h4 a2h2,607,86,97,294,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/uKXWbNJd#109,
s8GKF,8/4N1pk/3p4/p1p1bR2/4P3/2P3PK/2r4P/8 w - - 4 41,g8h7 f5h5,610,94,94,586,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/AJwJLDhp/black#80,
C96Xo,5r2/8/2R5/p1P1k3/P3n1PK/2P5/1P6/8 b - - 2 44,g3h4 f8h8 c6h6 h8h6,615,90,100,638,anastasiaMate endgame mate mateIn2 short,https://lichess.org/jgPIqA2d#87,
T3YxC,r7/8/3rN1pk/4pp2/1p6/1P6/P1R5/6K1 w - - 5 44,d5d6 c2h2,621,94,94,2090,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/BCWlWxpB/black#86,
OXFCK,1k1r4/pp3R2/2P5/4N3/8/PP2n1PK/1B5P/8 b - - 2 32,g2h3 d8h8 f7h7 h8h7,629,80,100,342,anastasiaMate endgame mate mateIn2 short,https://lichess.org/iWmKWs69#63,
sJp9x,4rr2/pp2Nppk/5b2/q7/8/4R3/P1P2PPP/3R2K1 w - - 0 20,h8h7 e3h3 f6h4 h3h4 a5h5 h4h5,633,79,100,355,anastasiaMate long mate mateIn3 middlegame,https://lichess.org/6iyVY0z8/black#38,
ccgut,8/P2Rpp2/5kp1/2r4p/4B3/5P2/KP1n3P/8 b - - 2 38,b1a2 c5a5,654,87,100,140,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/t13qHENw#75,
n2aEh,8/r3bR2/4p3/4N1pk/4K3/4P2p/8/8 w - - 2 45,a2a7 f7h7,656,97,98,667,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/B0n7H53r/black#88,
