PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
gwDO5,3R2rk/6np/5N2/4pp2/3p2p1/q2P2P1/P3PPKP/8 w - - 0 48,f8g8 d8g8,500,97,98,981,arabianMate endgame master mate mateIn1 oneMove,https://lichess.org/8MzDDaA2/black#94,
xCqfX,7k/1p5p/p4Np1/5pP1/4pP2/Pr3nKR/7P/8 w - - 6 37,b2b3 h3h7,505,96,96,559,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/EqNXzhr8/black#72,
x7uNm,8/8/4pk1p/p5p1/r2P2P1/1Rn1B2P/P4P2/K7 b - - 0 36,b2b3 a4a2,512,99,92,2013,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/v1Y7SwdG#71,
hliN2,5r1k/5p1p/p2p1N2/3PpP2/1p5R/4bP1P/r5P1/5R1K w - - 0 28,b5b4 h4h7,517,98,93,1515,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/sxwMRzJD/black#54,
LJl7u,6k1/R5p1/7p/8/P2P4/4Rn2/6rP/7K b - - 0 40,e1e3 g2h2,521,91,100,245,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/6Snbi21C#79,
7XUDt,7k/p4p1p/1pn2N2/5p2/4p3/6R1/PPPr2PP/6K1 w - - 6 24,d8d2 g3g8,529,91,86,538,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/6gs3Af4w/black#46,
EZMA3,2n2b1k/8/1p1p1N1p/3PpP2/2P5/2B1N3/r3nP1K/6R1 w - - 8 42,h7h8 g1g8,533,86,100,306,arabianMate mate mateIn1 middlegame oneMove,https://lichess.org/gm5cCVhN/black#82,
lNxlZ,8/1Rp2pk1/6rp/4P3/P2P3P/1P3n2/4R3/7K b - - 1 47,h2h1 g6g1,535,86,100,446,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/XslSSguL#93,
s20hW,5r1k/pppR4/2p2N1p/8/8/6P1/P4P1K/5q2 w - - 0 37,g7h6 d7h7,543,82,100,490,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/S0vwfieI/black#72,
AUXlo,5k2/p3b2p/1p1p2p1/2pP2P1/P1P1QP1r/5n2/1B5R/4R2K b - - 0 40,g2h2 h4h2,545,90,98,661,arabianMate kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/wLWGIsCq#79,
gyqJm,6R1/Np2k3/4p2p/3p4/7r/P4n2/1P3P1P/R6K b - - 0 35,g2g8 h4h2,551,102,97,696,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/PL5hZrFH#69,
