PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
UWR7w,r2qkbnr/pp3ppp/3p4/2p1p3/P1BnP3/2N2Q1P/1PPP1PP1/R1B1K2R w KQkq - 1 8,c6d4 f3f7,500,88,100,111,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/Gp6SfLTk/black#14,Sicilian_Defense Sicilian_Defense_Old_Sicilian
TETH1,1r1qkb1r/2p2ppb/p2p3p/1p1Bp2P/4P1P1/3P1Q2/PPP2P2/R1B2RK1 w k - 1 16,g6h7 f3f7,508,95,100,524,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/X1eSNXZp/black#30,Ruy_Lopez Ruy_Lopez_Morphy_Defense
2EEgk,r4rk1/1Rp3p1/3ppq1p/p3p3/1B2P3/3P3P/2P2PP1/3QK2R b K - 0 17,d2b4 f6f2,514,87,100,222,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/jiyCwDnO#33,Italian_Game Italian_Game_Giuoco_Pianissimo
ckx7w,r2qk2r/pp1n1ppp/3bp3/3p4/B2P4/P3BQ1P/1PP3P1/R4RK1 w kq - 4 15,f8d6 f3f7,518,88,100,245,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/kE9q2bwf/black#28,Blackmar-Diemer_Gambit_Accepted Blackmar-Diemer_Gambit_Accepted_Teichmann_Defense
C6JHJ,r1bqk1r1/ppppnpBp/2n5/8/2B1P3/1Q6/P4PPP/R3K1NR w KQq - 1 10,h8g8 c4f7,523,103,99,629,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/Xh0LPUv0/black#18,Danish_Gambit_Accepted Danish_Gambit_Accepted_Other_variations
TlTyW,r2qkbnr/1bpnpp1p/pp1p2pP/6B1/P1BPP3/2N2Q2/1PP2PP1/R3K1NR w KQkq - 1 11,f6g8 f3f7,525,85,100,174,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/zvgfEgZy/black#20,Modern_Defense Modern_Defense_Other_variations
IwmzO,r2qk2r/pp3p2/2pp2p1/6B1/3bP1n1/5QP1/P1P3KP/1R3R2 w kq - 0 18,f6g4 f3f7,534,101,100,838,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/ApqQv6Np/black#34,Modern_Defense Modern_Defense_Two_Knights_Variation
GvUcn,rn1qk2r/p4pp1/1pp2n2/2b2bNp/4p2P/PQNpP1P1/1P1P1P2/R1B1KB1R w KQkq - 0 13,d6c5 b3f7,535,86,100,187,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/RLvWXla6/black#24,English_Opening English_Opening_Kings_English_Variation
DYUws,rn1qkb1r/pppbnpp1/3p3p/3Q4/2B1P3/5N2/PPP2PPP/RNB1K2R w KQkq - 3 7,g8e7 d5f7,544,84,100,185,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/4VMz8cEr/black#12,Philidor_Defense Philidor_Defense_Other_variations
s2e6E,r1bqk2N/ppp2pp1/3p3p/3Pp3/2Pb4/5Q2/PP4PP/RN5K w q - 1 16,f2d4 f3f7,546,88,100,169,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/C8vDVqd1/black#30,Mikenas_Defense Mikenas_Defense_Lithuanian_Variation
