PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
fImTO,6k1/1p3ppp/p7/q6P/8/2p4P/8/4R1K1 w - - 0 39,d5a5 e1e8,503,99,100,48,backRankMate endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/rmtlhGXo/black#76,
gFLyt,1r1r2k1/pp3pp1/7p/2p5/4Pb2/5P2/PPP3PP/1K1R1B1R b - - 1 18,c1b1 d8d1,509,92,100,202,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/t9dY8kVn#35,Scotch_Game Scotch_Game_Lolli_Variation
cvyG9,6k1/5ppp/4p3/2Np1b2/1q1P4/5N2/5PPP/R5K1 w - - 0 27,b8b4 a1a8 b4b8 a8b8,512,86,100,380,backRankMate endgame mate mateIn2 short,https://lichess.org/MtJOArMf/black#52,
LZsJS,1r4k1/p2Rppbp/6p1/2p5/2n2B2/6Q1/P1P2PPP/6K1 b - - 0 22,d1d7 b8b1 f4c1 b1c1 d7d1 c1d1,517,93,100,266,backRankMate endgame long mate mateIn3,https://lichess.org/1tsazoHI#43,
Iix5F,2r3k1/5ppp/p3pn2/8/5b2/P2P4/1P2qP1P/2R3K1 w - - 0 36,a8c8 c1c8 f6e8 c8e8,521,94,100,47,backRankMate endgame mate mateIn2 short,https://lichess.org/TbBBVMsy/black#70,
QXjJR,5q1k/6pp/p1b5/1p6/1Pp1n3/P7/4B1PP/5RK1 w - - 0 34,d8f8 f1f8,529,88,100,103,backRankMate endgame master mate mateIn1 oneMove,https://lichess.org/IioFG1Ts/black#66,
9ukvE,1kr5/1p3p2/pQ1p3r/4p3/4Pp2/3R4/PP3P2/K1R5 b - - 0 32,d1c1 c8c1,530,97,100,248,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/kd7ASgaS#63,
EaTwM,3rk3/pp5p/4b3/8/1P2R3/P7/5PPP/1N5K b - - 0 25,d4e4 d8d1 e4e1 d1e1,536,89,100,187,backRankMate endgame fork mate mateIn2 short,https://lichess.org/YcCD4SHF#49,
3dQC1,4r2k/2qb2pp/n1p5/5p2/p2P1b2/PpPB1N1P/1P2QP2/1N1KR3 w - - 7 31,a8e8 e2e8 d7e8 e1e8,548,91,100,104,backRankMate mate mateIn2 middlegame short,https://lichess.org/4jzkO98a/black#60,
3NxjQ,1r2r1k1/Q6p/3R1np1/4p3/8/2P5/P4PPP/6K1 b - - 0 28,b7a7 b8b1 d6d1 b1d1,552,94,100,100,backRankMate endgame mate mateIn2 short,https://lichess.org/CtmRZ6g1#55,
6KaRN,6k1/p3rppp/1p6/2p5/P3Pn2/6NP/1PP3P1/3R3K w - - 4 32,e5e7 d1d8 e7e8 d8e8,559,95,100,90,backRankMate endgame mate mateIn2 short,https://lichess.org/Zk8wkPDV/black#62,
U8RZG,4r1k1/ppq2ppp/8/2Pn2B1/8/5N2/PPP2PP1/R3R1K1 w - - 0 18,a8e8 e1e8,560,84,100,101,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/CvoploEM/black#34,Sicilian_Defense Sicilian_Defense_Marshall_Gambit
qWzyI,4r1k1/p2n1rpp/1p1B4/1Q6/3b4/P2R4/6PP/5R1K b - - 0 30,d1f1 f7f1,577,83,100,101,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/rgYeeGg6#59,
gClHv,3r2k1/pp3ppp/8/8/4r3/2P4P/PPqR1PP1/R5K1 w - - 0 27,c8d8 d2d8 e4e8 d8e8,582,88,100,91,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/X1fo6nHG/black#52,
Nx0Vn,4r2k/ppp2QRp/8/3p1P2/4q3/2P4P/PP5B/K5R1 b - - 2 29,b1a1 e4e1 g1e1 e8e1,593,85,100,367,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/b2otRGQQ#57,
6lDkx,4r2k/6pp/5b2/3p4/N7/1P3bBP/P2q2PK/4R3 w - - 0 38,c8e8 e1e8,595,89,100,52,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/kOe4QOTs/black#74,
