PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
uXimL,8/1K1k4/3P4/p1P5/P7/2b5/8/8 w - - 7 75,d8d7 c5c6 d7d6 c6c7,509,113,100,24,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/QeBwO3cw/black#148,
YXRiP,8/p1b1kp2/6p1/2PP3p/3P4/2K2P1P/P5P1/8 w - - 1 31,f8e7 d5d6 c7d6 c5d6,513,93,100,334,bishopEndgame crushing endgame fork short,https://lichess.org/0ECv411C/black#60,
cmkqh,8/1p6/2p2pk1/p1b1p2p/P3P2K/2P2P1B/1P3P2/8 b - - 8 52,f1h3 c5f2,515,97,100,623,bishopEndgame endgame master mate mateIn1 oneMove,https://lichess.org/IiBWa6z0#103,
HEG59,8/8/5p1p/p2b1kpP/P2Pp3/1p2P1K1/1P2B3/8 w - - 0 38,h7h6 e2g4,523,90,100,55,bishopEndgame endgame master mate mateIn1 oneMove,https://lichess.org/QtNXtYmu/black#74,
xa2VK,8/2p3k1/1p3pB1/1PpP1P1K/8/8/8/8 b - - 4 63,f7g6 c5c4 h5g4 c4c3,527,82,100,141,bishopEndgame crushing endgame quietMove short,https://lichess.org/vDqei15P#125,
9NXl5,8/8/8/1p2BK2/1P3P1p/2Pk4/8/8 b - - 0 46,g6f5 h4h3 f5e6 h3h2 f4f5 h2h1q,531,85,100,403,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/HM44xbgP#91,
55m66,6k1/8/1pPp4/6b1/8/1K2p3/8/8 w - - 0 57,e4e3 c6c7 g8g7 c7c8q,535,87,100,334,advancedPawn bishopEndgame crushing endgame master promotion short,https://lichess.org/yGildlfX/black#112,
4hLif,8/8/7p/1k4p1/p2p1pP1/P1bP1P1P/1BK5/8 w - - 32 58,c5b5 b2c3 d4c3 c2c3,544,87,98,1145,bishopEndgame crushing endgame short,https://lichess.org/BtYTmwI1/black#114,
8gUNL,8/8/1kp3B1/2p2p1p/P1K1pPbP/1PP1P1P1/8/8 b - - 0 36,c2c3 g4e2,563,88,100,238,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/imCVW6LS#71,
2sXlB,8/1p6/3K1P2/1k6/1pp5/1b6/8/8 w - - 0 76,c5c4 f6f7 c4c3 f7f8q,568,101,97,344,advancedPawn advantage bishopEndgame endgame master promotion short,https://lichess.org/FYnxIuC4/black#150,
9ezWS,8/5k2/1b1P1Bp1/6Kp/1p5P/1P4P1/8/8 b - - 4 66,e5f6 b6e3,573,90,100,80,bishopEndgame endgame master mate mateIn1 oneMove,https://lichess.org/Y7qhiqxc#131,
4v4dB,8/7p/pB3pp1/1p1bp3/5kP1/5P1P/1P3K2/8 w - - 3 37,g5f4 b6e3,575,97,99,788,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/entLtBOD/black#72,
6afkw,8/k7/3p4/PB1Pp3/4Pp1p/5Pp1/3K2P1/8 b - - 5 53,e1d2 h4h3 g2h3 g3g2,581,85,100,430,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/RK9pHvzS#105,
EQ5Dk,8/8/8/p1P1p3/4bk1p/P7/2B4K/8 w - - 0 58,c6e4 c2e4 f4e4 c5c6,587,102,100,50,bishopEndgame crushing endgame short,https://lichess.org/OMDwhRq0/black#114,
6VvZa,8/8/3K4/4P3/8/3pk3/4p3/4B3 b - - 2 66,e6d6 d3d2 e1d2 e3d2,593,84,100,97,advancedPawn bishopEndgame crushing endgame master short,https://lichess.org/VJzUXRxF#131,
kox7e,8/8/1p3b1p/p2k2p1/P2P1p2/1P3P1P/4K1P1/B7 b - - 0 44,d3e2 f6d4 a1d4 d5d4,595,88,100,109,bishopEndgame crushing endgame short,https://lichess.org/jJBGzLWU#87,
gNfGf,8/8/3K4/3p1P2/2kP4/8/b4P2/8 w - - 1 56,b5c4 f5f6 a2b1 f6f7,604,94,100,482,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/B4MtP6W5/black#110,
etwQt,8/8/8/4p3/4P1P1/7k/1pK5/b7 w - - 0 50,h4h3 g4g5 h3h4 g5g6,605,90,100,214,bishopEndgame crushing endgame quietMove short,https://lichess.org/K3DaF4dC/black#98,
QI0xU,2B5/8/3p1k2/K2P1P1P/P5p1/8/8/8 b - - 1 44,e6c8 g4g3 h5h6 g3g2 a5a6 g2g1q,621,84,100,404,advancedPawn advantage bishopEndgame endgame long promotion,https://lichess.org/JQSGvLD7#87,
6CkCP,2b5/8/1k6/4KP2/8/8/8/8 w - - 3 63,b5b6 f5f6 c8g4 f6f7,625,83,100,108,advancedPawn bishopEndgame crushing endgame master short,https://lichess.org/7hWaTPxF/black#124,
wOk3z,8/Pk6/3b4/4B3/5pK1/5P2/5P2/8 b - - 4 65,d4e5 d6e5 a7a8r b7a8,634,94,100,468,bishopEndgame crushing endgame hangingPiece master short,https://lichess.org/2VFSQ5Bv#129,
RgsWR,8/8/8/5k1b/1p6/1P3PP1/2K5/8 w - - 0 56,f7h5 g3g4 h5g4 f3g4,639,80,100,251,bishopEndgame crushing endgame fork short,https://lichess.org/Z8kyZxMT/black#110,
zibua,8/8/4k1p1/4b1P1/3BK3/8/8/8 b - - 1 65,e3d4 e5d4 e4d4 e6f5 d4e3 f5g5,644,87,97,1617,bishopEndgame crushing endgame long,https://lichess.org/myPrkZou#129,
SuwTy,8/6bp/8/2p5/P1P1K3/1k6/6PP/8 w - - 0 41,b4b3 a4a5 b3c4 a5a6,649,88,97,272,bishopEndgame crushing endgame quietMove short,https://lichess.org/ukCSEcMy/black#80,
KZMzo,8/8/8/1K6/8/1pk5/2p5/2B5 b - - 1 70,f4c1 b3b2 c1b2 c3b2,653,85,100,117,advancedPawn bishopEndgame crushing endgame master short,https://lichess.org/cz62o8rg#139,
SVvVV,8/1K6/2p5/p1P4p/1P5k/8/P7/7b w - - 0 46,a7a5 b4a5 h1d5 a5a6,655,82,100,224,bishopEndgame crushing endgame short,https://lichess.org/eiLER7oH/black#90,
juv4Y,8/3k4/8/4B3/7p/2K2p1P/8/8 b - - 0 54,b8e5 f3f2 c3d3 f2f1q,664,78,100,163,advancedPawn bishopEndgame crushing endgame promotion short,https://lichess.org/VgtOrFZs#107,
IHqpD,4K3/PB3pkp/1B3bp1/8/8/6P1/7P/5b2 b - - 0 51,a6a7 f1b5 b7c6 b5c6,668,78,98,2620,bishopEndgame endgame mate mateIn2 short,https://lichess.org/bY7xeaMv#101,
zmzZb,8/5p1p/2b3p1/1pB1p3/4Pk2/5PbP/4K1P1/8 w - - 8 43,g5f4 c5e3,670,77,100,242,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/YNvUPFB2/black#84,
CJAsQ,8/1k6/p5p1/K4p2/P4P2/4B2P/1b3P2/8 b - - 0 37,a2a4 b2c3,678,79,100,122,bishopEndgame endgame master mate mateIn1 oneMove,https://lichess.org/6k4YejpB#73,
XhmCc,8/4B3/3b4/1p1k1p2/1P3Pp1/3K2P1/8/8 w - - 1 49,c7d6 e7d6 d5d6 d3d4 d6e6 d4c5,685,83,100,410,bishopEndgame crushing endgame long zugzwang,https://lichess.org/ikTVyQ1n/black#96,
P0mll,8/p7/1p2p3/4Pk2/2P2Pb1/4K3/7p/7B w - - 0 47,h3h2 h1e4,693,80,100,195,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/srROejNl/black#92,
8HJcE,2b5/3P4/p1B1k3/1p5p/1P3p2/5P2/1P3K2/8 b - - 0 51,d6d7 c8d7 c6d7 e6d7,701,80,100,163,bishopEndgame crushing endgame master short,https://lichess.org/WFsOXJEm#101,
ETegz,8/5pk1/6p1/2K5/4P2p/1P6/B4P2/8 b - - 0 42,c4c5 h4h3 b3b4 h3h2 a2d5 h2h1q,709,79,100,185,advancedPawn advantage bishopEndgame endgame long promotion,https://lichess.org/18ea0fJv#83,
