PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
LQAe9,r1bqkbnr/pp1pp3/5pp1/2p1P3/3n4/3B4/PPP2PPP/RNB1K1NR w KQkq - 0 7,h7g6 d3g6,503,98,88,1844,bodenMate mate mateIn1 oneMove opening,https://lichess.org/Y0hh9kqs/black#12,
in015,4k2r/1p1n1ppb/1pnbp3/3p2B1/2pP4/P1P1PN1P/3N1PB1/2KR3R b k - 0 16,b2a3 d6a3,516,110,91,864,bodenMate mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/B4QwKrUW#31,Indian_Defense Indian_Defense_Other_variations
HRMNs,r1bqkbnr/pp1np3/2p2pp1/3pP3/5P2/3B4/PPPP2PP/RNB1K1NR w KQkq - 0 7,h7g6 d3g6,524,93,93,432,bodenMate mate mateIn1 oneMove opening,https://lichess.org/pCETsMIk/black#12,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
j7Klp,rnbqk2r/pppp3p/4p3/4Pp2/3P3b/5NP1/PPPNP3/R2QKB1R b KQkq - 0 10,h2g3 h4g3,529,90,100,215,bodenMate mate mateIn1 oneMove opening,https://lichess.org/ax4PSmSh#19,Trompowsky_Attack Trompowsky_Attack_Borg_Variation
Xcjbi,rnbqkbnr/p1ppp3/1p4p1/8/5P2/3B4/PPP3PP/RNB1K1NR w KQkq - 0 7,h7g6 d3g6,532,93,100,194,bodenMate mate mateIn1 oneMove opening,https://lichess.org/uAowXp1z/black#12,Bird_Opening Bird_Opening_Wagner-Zwitersch_Gambit
5jkMT,r1b1k1nr/pppp1ppp/2Nb4/8/8/1P2P1P1/PBPPP3/RN1QKB1R b KQkq - 0 8,h2g3 d6g3,546,90,100,253,bodenMate mate mateIn1 oneMove opening,https://lichess.org/d1ued6Jz#15,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
mRRfz,r2qkbnr/pbpnp3/1p3pp1/3Pp3/2P5/1P1B4/PB3PPP/RN2K1NR w KQkq - 0 11,h7g6 d3g6,550,108,100,67,bodenMate mate mateIn1 oneMove opening,https://lichess.org/NpRxHSX2/black#20,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Symmetrical_Variation
5GDYl,3k1bnr/pp4pp/2n5/8/5Nb1/8/PP3PPP/R3KB1R b KQ - 0 15,d5f4 f8b4,569,101,99,1618,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/mTQu8F04#29,Sicilian_Defense Sicilian_Defense_Alapin_Variation
SYyTc,5rk1/5p2/1ppbpp1p/3p4/3P4/P1Pb1N2/3N1PPP/2KR3R b - - 0 17,b2a3 d6a3,571,91,100,518,bodenMate mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/5bXBkyBW#33,Queens_Pawn_Game Queens_Pawn_Game_London_System
oEQrs,6nr/ppp2kpp/3p4/2b5/8/2N1QP1b/PP5P/R5KR b - - 0 16,e2e3 c5e3,576,91,100,123,bodenMate kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/6JqH1Za3#31,Italian_Game Italian_Game_Classical_Variation
mKKQp,rnbqkb1r/ppppp3/5np1/7B/4p3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 6,h7g6 h5g6,586,96,100,152,bodenMate mate mateIn1 oneMove opening,https://lichess.org/rc8si5Vs/black#10,Duras_Gambit Duras_Gambit_Other_variations
nAQGl,2krn2r/p2n1pp1/2p1p3/5q2/5B2/2N3P1/PPP1BP2/R3R1K1 w - - 0 19,b7c6 e2a6,590,92,97,397,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/Qbb99Gty/black#36,Scandinavian_Defense Scandinavian_Defense_Main_Line
GFQyf,4kb1r/p1p2ppp/1n6/4N3/2pPP1b1/8/PP3PPP/R3KB1R b KQk - 1 15,f3e5 f8b4,599,95,97,1403,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/QnF2dm8V#29,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
xWGiv,r3kb1r/pp3pp1/4p2p/3n4/7B/4P3/PP3PPP/R3KB1R w KQkq - 0 13,f6d5 f1b5,603,90,98,363,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/sJM6tcbj/black#24,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation
