PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
TnOa7,2r2k2/p1n2ppp/q3p3/8/1PQ1P3/P4P2/6PP/2R2K2 w - - 1 26,b6a6 c4a6 c7a6 c1c8,554,98,85,188,capturingDefender crushing discoveredAttack endgame short,https://lichess.org/rpkS3N8C/black#50,
3NmL7,8/pp1r2k1/7p/8/3q1p2/P1QNpP2/1P4KP/4R3 b - - 3 35,b3c3 d4c3 b2c3 d7d3,574,95,99,1087,advantage capturingDefender discoveredAttack endgame short,https://lichess.org/xbbHb4KH#69,
6LyUQ,3qr1k1/pb2p2p/1p2Npp1/2p5/8/P7/5PPP/R3R1K1 w - - 2 26,g7g8 e6d8 e8d8 e1e7,582,91,76,235,advantage capturingDefender discoveredAttack endgame short,https://lichess.org/IyouuyvD/black#50,
vVN1I,1r6/nR3pkp/4p1p1/pP6/4BP2/P6P/6P1/6K1 b - - 0 28,d7b7 b8b7 e4b7 a7b5,623,102,52,110,capturingDefender crushing endgame short,https://lichess.org/QabW2atH#55,
Wob5X,3r2k1/pp4pp/2p1r3/3q4/4Q1P1/7P/2P1R1K1/4R3 w - - 0 29,e8e6 e4d5 d8d5 e2e6,635,94,61,264,capturingDefender crushing discoveredAttack endgame master pin short,https://lichess.org/4v5HIK5U/black#56,
QpIOg,4b3/3r2k1/p1NR1p2/2P2P1p/1P5K/P7/8/8 b - - 0 44,d8c6 d7d6 c5d6 e8c6,660,99,82,378,advantage capturingDefender discoveredAttack endgame short,https://lichess.org/yaUD9B2C#87,
Mylsy,1rr3k1/1q4p1/p1Q2p1p/4p3/8/1P4P1/P4PKP/2R1R3 w - - 4 30,f8c8 c6b7 b8b7 c1c8,679,99,82,301,capturingDefender crushing discoveredAttack endgame master short,https://lichess.org/2tNxx57F/black#58,
oPVA2,rnbq1rk1/pp2b1pp/5n2/2p3B1/3pN3/1N4P1/PPP1PPBP/R2Q1RK1 b - - 0 11,c3e4 f6e4 g2e4 e7g5,686,91,89,979,advantage capturingDefender discoveredAttack opening short,https://lichess.org/u6hrU08f#21,Kings_Indian_Attack Kings_Indian_Attack_Omega-Delta_Gambit
EbZz5,r4b1r/1pp1k1pp/p3n3/8/3qQB2/2N5/PPP2PPP/R4RK1 b - - 0 16,e5e4 d4e4 c3e4 e6f4,704,85,87,323,advantage capturingDefender middlegame short,https://lichess.org/2dQcVosi#31,Zukertort_Opening Zukertort_Opening_Tennison_Gambit
IPxMG,r4rk1/p2qbppp/2p1p3/1np5/Q7/1PN3P1/P2PPP1P/R1BR2K1 b - - 0 14,b2b3 b5c3 d2c3 d7d1,709,93,79,256,advantage capturingDefender middlegame short,https://lichess.org/1MXl62A1#27,English_Opening English_Opening_Symmetrical_Variation
2VJwa,2kr1bnr/ppp1pppp/8/1P2n2q/6b1/2N2N2/P1PPBPPP/R1BQ1RK1 w - - 1 9,c6e5 f3e5 h5e5 e2g4,720,94,80,206,capturingDefender crushing discoveredAttack opening short,https://lichess.org/UQxwm6gP/black#16,Scandinavian_Defense Scandinavian_Defense_Main_Line
