PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
oKaZY,2r1nbk1/1R3ppp/p2p4/8/3B4/5BNP/P5P1/2rR3K b - - 2 30,d3d1 c1d1 f3d1 c8c1 h1h2 c1d1,556,108,91,1259,advantage clearance long middlegame pin,https://lichess.org/jZUfXq1T#59,
8Zsm1,3r1rk1/pbq1npp1/1pp1pn1p/8/3PN3/P1PQP3/1BB2PPP/1R3RK1 w - - 4 19,a8d8 e4f6 g7f6 d3h7,585,103,97,650,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/bi4IN6ju/black#36,Nimzo-Indian_Defense Nimzo-Indian_Defense_Normal_Variation
r60Bq,2kr3r/1p6/2p3p1/2bb1P2/5PP1/5B1p/PPP4P/R1B2R1K b - - 2 23,e2f3 d5f3 f1f3 d8d1 f3f1 d1f1,592,81,100,362,clearance kingsideAttack long mate mateIn3 middlegame,https://lichess.org/uN1sguhx#45,
ckjWY,3r2k1/6pp/p5p1/np1qp3/6P1/B2P1Q1P/P1r5/5R1K w - - 5 29,d4d5 f3d5 d8d5 f1f8,607,105,79,82,clearance mate mateIn2 middlegame short,https://lichess.org/oPacxX74/black#56,
FlXaK,5r1k/7p/p3QqpP/2p5/7K/4R3/PP6/8 w - - 0 40,f1f6 e6f6 f8f6 e3e8 f6f8 e8f8,611,94,89,368,clearance endgame long mate mateIn3,https://lichess.org/fSCo0NCD/black#78,
LjCLK,n3N1k1/3r1p1p/p4npB/2pP4/2Pq4/PP4PP/4QPK1/8 w - - 7 36,f8g8 e8f6 d4f6 e2e8,625,94,98,373,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/KatAKYDX/black#70,
I0Vq1,3rkb1r/7p/1p4p1/2p1Pp2/5P2/pPpq2N1/P1Q4P/K1R3NR b k - 3 22,g2c2 d3c2 c1c2 d8d1 c2c1 d1c1,634,81,83,233,clearance long mate mateIn3 middlegame,https://lichess.org/ndjSQ7y0#43,
8zzPa,3Rr2k/4P1pp/p4pq1/1p2n3/8/P1P5/1P3PPP/3R2K1 w - - 2 29,g5g6 d8e8 g6e8 d1d8 h8g8 d8e8,635,85,100,336,advantage attraction clearance endgame long pin,https://lichess.org/pBq3k77w/black#56,
4xQZj,4Rr1k/1p3Pp1/p6p/2qp4/8/8/P1P3PP/4R2K w - - 0 26,h7h6 e8f8 c5f8 e1e8 h8h7 e8f8,646,87,100,303,attraction clearance crushing endgame long pin queenRookEndgame,https://lichess.org/nu0X6QNg/black#50,
xljMc,rn4k1/5p1p/p2p2pB/2pq4/4N3/5P2/Pbp3PP/4RQK1 w - - 0 22,e5d5 e4f6 b2f6 e1e8,652,77,86,338,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ph6DxDha/black#42,
Y6tGU,2kr2nr/ppp2ppp/8/8/1PPb2b1/2N1P3/1P3PPP/R1B1KB1R b KQ - 0 11,a3b4 d4c3 b2c3 d8d1,659,101,100,54,clearance mate mateIn2 middlegame short,https://lichess.org/xX79zAmN#21,Englund_Gambit Englund_Gambit_Other_variations
peNZR,r4rk1/1bp1qpp1/pp2pn1p/8/3PN3/3QP3/PPB2PPP/1R3RK1 w - - 3 18,d7f6 e4f6 g7f6 d3h7,662,86,100,508,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/L3Z82PrH/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Queens_Knight_Variation
COVnH,r4rk1/pp2npp1/2b1p2p/8/3PNq2/2PQ3P/P1B2PP1/R4RK1 w - - 4 19,d7c6 e4f6 f4f6 d3h7,669,106,95,1938,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/aN8Yq56r/black#36,Zukertort_Opening Zukertort_Opening_Queens_Gambit_Invitation
hhQoV,8/ppp1kp2/5p2/1PPr4/P6Q/5P1P/4p1P1/3rR2K b - - 0 36,h2h3 d1e1 h4e1 d5d1 h1g1 d1e1,681,102,93,631,attraction clearance crushing endgame long pin queenRookEndgame,https://lichess.org/hCoTbSWu#71,
VbpPo,2r3k1/pp3p1p/6p1/4p3/4P3/5P2/P5PP/2bQ2K1 b - - 0 20,f2f3 c1e3 g1f1 c8c1 d1c1 e3c1,685,93,97,168,clearance crushing endgame long pin,https://lichess.org/KCq9wDhq#39,
KZCFV,1r5k/1P2b1pp/3p1r2/2p2p2/R3p3/1P6/R1P2PPP/6K1 w - - 1 32,f8b8 a4a8 f6f8 a8b8 f8b8 a2a8,694,103,85,684,clearance crushing endgame long pin,https://lichess.org/YbBRQYKc/black#62,
Qp0cx,1r6/4k2p/3pbp2/4p1p1/1n2P3/4BR1P/p1P1BPP1/K1R5 b - - 4 28,d1c1 b4c2 c1c2 b8b1,697,83,77,154,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/yspx3te6#55,
