PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2Qe6t,8/8/3P4/8/p1K5/P5p1/5k2/8 w - - 1 54,g2f2 d6d7 g3g2 d7d8q,501,93,100,413,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/pDNKMLwc/black#106,
lZLNL,8/8/8/6K1/8/4k1p1/6P1/8 w - - 0 49,g4g3 g5g4 e3e4 g4g3,508,87,100,828,crushing endgame master pawnEndgame short,https://lichess.org/zOTXEgSY/black#96,
zqrvk,2r5/pbq2pbk/1p1p2pp/1P1Pp3/P3P3/3QBN2/5PPP/2R3K1 b - - 1 22,e1c1 c7c1 e3c1 c8c1 d3f1 c1f1,514,83,100,93,crushing kingsideAttack long middlegame,https://lichess.org/cHWplh6v#43,
ObTyd,8/8/8/8/6p1/3N1p2/5K1k/8 b - - 3 67,f1f2 g4g3 f2f3 g3g2 d3c1 g2g1q,517,96,100,230,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/DUA4KAoD#133,
enhjq,2r3k1/5ppp/p1N5/8/8/P3P1P1/1P3PKP/8 w - - 2 25,a8c8 c6e7 g8f8 e7c8,522,84,100,87,crushing endgame fork short,https://lichess.org/AcLVHIfj/black#48,
DIHhs,rk6/1p3p2/2p5/4R2P/8/8/6P1/7K w - - 1 44,a2a8 e5e8 b8a7 e8a8,525,83,100,98,crushing endgame rookEndgame short,https://lichess.org/tY2P0UuV/black#86,
OFtsR,8/8/8/1K3k1p/PP6/8/8/8 b - - 0 68,a3a4 h5h4 b5a5 h4h3 b4b5 h3h2 b5b6 h2h1q,541,91,100,163,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/2zR59bn7#135,
G8Tea,8/p2n4/7p/4k1p1/B2p4/3K2P1/P4P1P/8 b - - 9 36,b3a4 d7c5 d3c4 c5a4,548,102,100,385,crushing endgame fork short,https://lichess.org/uqWWI2aT#71,
XtZgK,8/6p1/1K5p/8/8/P5k1/8/8 w - - 0 51,h2g3 a3a4 g7g5 a4a5 g5g4 a5a6 g3h2 a6a7 g4g3 a7a8q,552,96,100,61,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Amjc8mEN/black#100,
APlpd,8/8/p7/1p1K1qk1/1P1Q4/2P5/8/8 w - - 16 69,f1f5 d4e5 f5e5 d5e5,558,86,100,278,crushing defensiveMove endgame master queenEndgame short,https://lichess.org/oqC9vas2/black#136,
fbRB7,8/8/p5K1/8/8/1k6/6PP/8 b - - 0 47,h7g6 a6a5 g6f7 a5a4 g2g4 a4a3 g4g5 a3a2 g5g6 a2a1q,579,93,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/EBgThFi3#93,
KOjBl,8/8/1P6/6p1/K4pk1/8/8/8 w - - 0 41,f3g4 b6b7 f4f3 b7b8q,584,87,100,102,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/aVTLRK7d/black#80,
sZ0bE,8/8/6K1/1k5P/p7/8/8/8 b - - 1 44,h6g6 a4a3 h5h6 a3a2 g6f7 a2a1q,585,87,100,140,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/68aviwNi#87,
RTU6n,8/8/8/p1p1k3/K1P2p1p/P4P1P/8/8 b - - 3 42,b3a4 e5d4 a4a5 d4c4,594,86,100,80,crushing endgame pawnEndgame short,https://lichess.org/8CmH0tLt#83,
vqbXG,8/8/8/4pk2/6r1/4RKP1/8/8 w - - 5 89,c4g4 e3e5 f5e5 f3g4,601,91,100,268,crushing deflection endgame rookEndgame short,https://lichess.org/QLgSLvFy/black#176,
fGE07,2r2k2/3q1p1p/2N1pp2/1P6/4Q3/b2r2P1/5P1P/2RR2K1 b - - 0 29,g4e4 d3d1 c1d1 d7d1,607,86,100,176,crushing master middlegame short,https://lichess.org/gUBznRaD#57,
CQKR9,8/6K1/6P1/5Pk1/8/8/b7/8 w - - 5 54,h5g5 f5f6 a2b1 f6f7 b1g6 f7f8q,612,82,100,95,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/Jzeq6mea/black#106,
OUXHr,8/8/4K1k1/2p3P1/7P/8/8/8 b - - 0 51,d5e6 c5c4 e6e5 c4c3 e5f4 c3c2,616,81,100,183,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/Zy6oBr5G#101,
vWkds,r7/1K6/1P4k1/2n5/8/3R2p1/8/8 w - - 1 54,e6c5 b7a8 c5d3 b6b7 g6f5 b7b8q,625,81,100,183,advancedPawn crushing endgame long promotion,https://lichess.org/g85D0nks/black#106,
eWeUm,6k1/6pp/p7/P7/8/2p4P/2r1RK2/1N6 b - - 1 39,d2b1 c2e2 f2e2 c3c2,633,81,100,156,advancedPawn crushing endgame short,https://lichess.org/8GfYI1wA#77,
Hm8Dl,8/8/3pRrk1/2pP4/2P1K1p1/6P1/8/8 w - - 14 61,g5g6 e6f6 g6f6 e4f4 f6g6 f4g4,635,94,100,310,crushing endgame long rookEndgame,https://lichess.org/KFs0UMf5/black#120,
KK9vM,5r1k/6pp/4p3/3p2PP/2b5/4Q3/1p3qK1/1B2R3 w - - 1 43,f7f2 e3f2 f8f2 g2f2,640,89,100,307,crushing endgame master short,https://lichess.org/7KHXwIQ0/black#84,
vZSya,8/3qk2p/6p1/1pQ2p2/1P6/7P/P5PK/8 b - - 2 36,b6c5 d7d6 h2g1 d6c5,664,83,100,232,crushing endgame queenEndgame short,https://lichess.org/RmiAqoic#71,
