PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
CxmD7,8/3n2pp/3k1p2/p3p3/4B1P1/3KP2P/PPP5/8 b - - 5 28,b7e4 d7c5 d3e2 c5e4,501,99,96,491,crushing deflection endgame master short,https://lichess.org/GEmDbLQ6#55,
xcSSX,2k5/4K3/8/p1pP4/6p1/3p4/8/8 w - - 0 51,d4d3 d5d6 g4g3 d6d7 c8b7 d7d8q,506,105,93,253,advancedPawn crushing deflection endgame exposedKing long pawnEndgame promotion,https://lichess.org/cYY1SFY6/black#100,
2COAG,8/8/R2bkrp1/6K1/6P1/8/8/8 w - - 1 40,e5e6 a6d6 e6d6 g5f6,514,87,100,126,crushing deflection endgame master short,https://lichess.org/sCyX4ukQ/black#78,
0wbR0,Q7/8/7p/8/4p2B/1p1p4/1P2k3/2K5 b - - 0 52,a7a8q d3d2 c1b1 d2d1q,523,106,86,731,advancedPawn deflection endgame mate mateIn2 promotion short,https://lichess.org/Yy5aaR44#103,
TiiAQ,8/8/5k1p/3n1B1P/6K1/8/8/8 b - - 13 75,f4g4 d5e3 g4f3 e3f5,527,87,82,245,crushing deflection endgame master masterVsMaster short,https://lichess.org/9EHZru0r#149,
8S3dU,6k1/4K2p/4pP1P/3pP3/3P2b1/8/8/7q w - - 4 49,g1h1 f6f7 g8h8 f7f8q,534,105,97,941,advancedPawn deflection endgame mate mateIn2 promotion short,https://lichess.org/x1i09rAK/black#96,
fArbk,8/8/3k4/4pP1p/4K1pP/6P1/8/8 w - - 0 43,e6e5 f5f6 d6e6 f6f7 e6f7 e4e5,536,102,85,611,advancedPawn crushing deflection endgame long pawnEndgame,https://lichess.org/ynEdYjw9/black#84,
fme3d,8/p1p5/8/3k4/2R5/P2K1p2/3N1P2/3r4 b - - 2 46,e4d2 d1d2 d3d2 d5c4,551,99,95,222,crushing deflection endgame master short,https://lichess.org/JdfcCNYx#91,
h3Xuq,R7/6p1/8/8/8/4p3/3k2P1/5K2 b - - 0 42,a5a8 e3e2 f1g1 e2e1q,556,99,85,352,advancedPawn crushing deflection endgame promotion rookEndgame short,https://lichess.org/QhN2KJ8e#83,
J4Ezx,5bk1/p4p1p/6p1/2p1q3/2Qp4/1B3P1P/PPP3P1/6K1 w - - 1 29,f6e5 c4f7 g8h8 f7f8,562,88,100,160,deflection endgame mate mateIn2 short,https://lichess.org/rae7zzht/black#56,
NV2fi,8/p6p/1k2p3/1Pb1Np2/2P2P2/5K2/8/8 w - - 5 46,c7b6 e5d7 b6c7 d7c5,567,84,100,165,crushing deflection endgame master masterVsMaster short,https://lichess.org/X4cxq0lp/black#90,
AQ0EL,8/4R3/8/8/7P/4pp2/4k3/6K1 b - - 0 50,h2h4 f3f2 g1h2 f2f1q,570,96,94,181,advancedPawn crushing deflection endgame master promotion rookEndgame short,https://lichess.org/AGnSB6B1#99,
xYoVh,3n4/4k1p1/4b1Bp/4B2P/3KP3/6P1/8/8 b - - 2 63,d5d4 d8c6 d4e3 c6e5,575,89,100,360,advantage deflection endgame master short,https://lichess.org/ZqAxpEzw#125,
1FCVQ,1kb1Q1R1/2p5/pp1p4/8/3P4/1P6/PKP5/5q1r w - - 0 35,f2f1q e8c8 b8a7 c8c7,584,94,91,128,deflection endgame mate mateIn2 short,https://lichess.org/TSUSRQbZ/black#68,
0znI5,8/p5p1/1p3k1p/1pN1bP1P/4K3/8/1P4P1/8 w - - 0 43,b7b6 c5d7 f6e7 d7e5,586,108,90,629,crushing deflection endgame master short,https://lichess.org/7E2YhiJT/black#84,
nZk15,5rk1/pQ2R1p1/4pq1p/4N3/1P1PP3/6P1/5P1P/5BK1 b - - 0 32,g2g3 f6f2 g1h1 f2f1,591,117,100,33,deflection endgame mate mateIn2 short,https://lichess.org/u9kARR5o#63,
SoLDX,8/p4kb1/2p4p/4P1p1/2p2p2/P1B5/1P2K1PP/8 w - - 1 37,f6g7 e5e6 f7e6 c3g7,597,89,82,177,bishopEndgame crushing deflection discoveredAttack endgame master short,https://lichess.org/B5bGStMP/black#72,
kDzil,8/8/7p/6p1/R7/3pp1N1/3k2PP/5K2 b - - 1 51,e4a4 e3e2 f1g1 e2e1q,615,81,100,185,advancedPawn advantage deflection endgame promotion short,https://lichess.org/Ro1vbZSS#101,
FGNzX,8/8/2pk4/p1p1pPp1/PpP1K1P1/1P6/8/8 w - - 4 43,e7d6 f5f6 d6e6 f6f7 e6f7 e4e5,623,85,100,215,advancedPawn crushing deflection endgame long pawnEndgame,https://lichess.org/nqchReP6/black#84,
CVJXn,8/8/8/p7/P2p4/8/3pK3/2kB4 b - - 9 61,d3e2 d4d3 e2d3 c1d1,625,85,100,426,bishopEndgame crushing deflection endgame master short,https://lichess.org/SpYMmbWH#121,
tAbEZ,4k3/p1K2p2/1p1P1Pp1/6P1/8/1P6/P7/7q w - - 0 46,h2h1q d6d7 e8f8 d7d8q,630,90,100,106,advancedPawn deflection endgame mate mateIn2 promotion queenEndgame short,https://lichess.org/ijBFGKSa/black#90,
J6p8N,1k1r3r/1p3ppp/3bb3/1B2p3/4P3/1P3N1P/P1P2RP1/2KR4 b - - 0 18,d3b5 d6a3 c1b1 d8d1,643,92,96,1311,deflection discoveredAttack mate mateIn2 middlegame queensideAttack short,https://lichess.org/QnkcaWxS#35,Kings_Pawn_Game Kings_Pawn_Game_Maroczy_Defense
TYgsp,4K1k1/1b1p3p/p1q1pPp1/1p6/P7/8/1n6/8 w - - 0 45,f7g6 f6f7 g8h8 f7f8q,648,101,95,1925,advancedPawn deflection endgame mate mateIn2 promotion short,https://lichess.org/Ao0XKx4T/black#88,
ApoTX,8/8/P7/8/4B1p1/5p2/2P5/4K1k1 b - - 0 54,a5a6 f3f2 e1d2 f2f1q,650,82,100,115,advancedPawn bishopEndgame crushing deflection endgame promotion short,https://lichess.org/6d8ATJ99#107,
N14Vz,8/5pkr/5R2/6KP/8/8/8/8 b - - 2 50,f5f6 h7h5 g5h5 g7f6,655,83,100,93,crushing deflection endgame rookEndgame short,https://lichess.org/wF3TlCXV#99,
9dcCP,r7/8/5b2/p2R1Pk1/pp4p1/6N1/KPP5/8 w - - 0 39,b5b4 g3e4 g5f4 e4f6,661,83,98,1071,advantage deflection endgame master short,https://lichess.org/64v3POd2/black#76,
b6QU0,8/pp3pp1/2pk1n2/4bP1p/4P3/4N2P/PPK3B1/8 w - - 0 25,h7h5 e3c4 d6c5 c4e5,667,85,100,307,advantage deflection endgame short,https://lichess.org/1SUsWiQC/black#48,
HryA2,7k/1P5p/5pp1/P1b1p3/3qP3/6P1/2QB1P1P/5BK1 b - - 0 38,b6b7 d4f2 g1h1 f2f1,670,80,100,126,deflection endgame mate mateIn2 short,https://lichess.org/XqIdJOxw#75,
nobfm,8/8/8/8/7p/3Rp2P/P4k2/3K4 b - - 0 64,d6d3 e3e2 d1c2 e2e1q,676,84,100,314,advancedPawn advantage deflection endgame master promotion rookEndgame short,https://lichess.org/2PMGevVU#127,
zjdgw,3r3k/p2r2p1/1p1N1n2/1Pp1p1p1/2P5/8/P4PPP/3RR1K1 w - - 4 23,a8d8 d6f7 d7f7 d1d8,683,89,100,98,advantage deflection discoveredAttack endgame kingsideAttack short,https://lichess.org/r4BuJp71/black#44,
4cLD9,6B1/8/8/p7/1p6/2p4R/1k3P2/3K4 b - - 1 54,d2d1 c3c2 d1e2 c2c1q,686,89,100,103,advancedPawn advantage deflection endgame master promotion short,https://lichess.org/X8k5rssi#107,
WjrR2,4k3/5rp1/4K3/4P1b1/8/8/R7/8 w - - 1 54,e7g5 a2a8 g5d8 a8d8 e8d8 e6f7,711,99,95,509,crushing deflection endgame exposedKing long,https://lichess.org/UP1GhLyx/black#106,
fHQ1Z,8/5k2/p3R2p/4K1p1/1B6/1PP2r1P/1P6/8 b - - 2 44,f5e5 f3e3 e5d4 e3e6,717,80,100,134,advantage deflection endgame short skewer,https://lichess.org/rtAKrS1Z#87,
lNnP9,8/1p3kbp/p5p1/4P3/2p1p3/P1B5/1P2K1PP/8 w - - 2 31,g8f7 e5e6 f7e6 c3g7,722,81,100,312,advantage bishopEndgame deflection discoveredAttack endgame short,https://lichess.org/0mrlhjWX/black#60,
OtTIk,8/7R/8/3k1p2/3b1P2/3K2nP/8/8 w - - 0 58,e4g3 h7d7 d5e6 d7d4,726,108,100,22,crushing deflection endgame short skewer,https://lichess.org/W6FWCFZm/black#114,
vvEsR,2r5/4k3/5p1p/1p2b1p1/1P6/1BP3P1/2K1R2P/8 b - - 0 45,g2g3 c8c3 c2d2 c3b3,731,85,100,82,crushing deflection endgame master short,https://lichess.org/tqkAcKap#89,
b68Wa,8/5b2/2R2pk1/5p2/3Bp1rP/7K/p4P2/8 w - - 8 68,e6f7 c6f6 g6h7 f6f7,735,79,100,94,crushing deflection endgame short,https://lichess.org/xSzYQkKD/black#134,
8Bct5,8/5R2/2p3p1/2P5/8/2R2bkp/8/6K1 b - - 0 56,f1g1 h3h2 g1f1 h2h1q,740,89,100,115,advancedPawn deflection endgame mate mateIn2 promotion short,https://lichess.org/s9YV4lgj#111,
oxmKN,6n1/2r3p1/k1pR2K1/p1Pp1BP1/P2P4/8/8/8 b - - 2 49,e6d6 g8e7 g6h7 e7f5,746,80,100,183,advantage deflection endgame short,https://lichess.org/Ks8T5xPV#97,
6Vn45,8/8/1ppn4/p3k3/P1B1pbPN/1P6/5K2/8 w - - 9 42,f7d6 h4g6 e5d4 g6f4,750,78,100,108,advantage deflection endgame master masterVsMaster short,https://lichess.org/atua9IOa/black#82,
JzeGh,8/1b2q1pk/1p2p1np/p3P3/3P2P1/P1PQ2KP/1P1B1R2/1B6 b - - 6 36,e2d3 e7h4 g3h2 h4f2,755,78,100,187,deflection mate mateIn2 middlegame short,https://lichess.org/BTDMaMbW#71,
3JVbw,2k5/8/KP6/7r/8/4B3/6p1/8 w - - 5 61,d7c8 b6b7 c8d7 b7b8q,764,77,100,479,advancedPawn crushing deflection endgame promotion short,https://lichess.org/YUXrxR4t/black#120,
