PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
jylmp,4r1k1/p1p5/1p4pp/4bp2/3pN3/P2P3P/1PPK1PP1/4R3 w - - 0 24,g7e5 e4f6 e5f6 e1e8,503,94,100,449,advantage discoveredAttack endgame kingsideAttack short,https://lichess.org/7MxRtoq1/black#46,
UyCCm,R7/2q1kpp1/1p5p/2p1r3/3p1Q2/1P1P3P/2P2PP1/5K2 b - - 3 33,d2f4 e5e1 f1e1 c7f4,507,85,100,140,crushing discoveredAttack endgame master short,https://lichess.org/f1AJaEHU#65,
WFvXG,r1b2rk1/p1p3bp/1p1p2p1/3P2q1/2P2R2/2N4P/PP1Q2PK/R7 w - - 0 19,d8g5 f4f8 g7f8 d2g5,516,95,98,710,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/vDlgiEu1/black#36,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
1pIxn,3r2k1/pb3ppp/1p2p3/4P3/5P2/3B4/P4P1P/3R2K1 w - - 1 24,f8d8 d3h7 g8h7 d1d8,524,104,94,531,crushing discoveredAttack endgame master short,https://lichess.org/UwX7ICDF/black#46,
aYWBR,1r3bk1/5p2/N5pp/3Pp3/2P5/1nB4P/5PP1/1R3K2 b - - 1 36,d2c3 b3d2 c3d2 b8b1,527,90,100,498,advantage discoveredAttack endgame short,https://lichess.org/9OMmIKEC#71,
fpUtv,3r2k1/p2N1ppp/4p3/8/8/1P4P1/P4b1P/3R3K w - - 1 28,h8g8 d7f6 g7f6 d1d8,532,99,100,298,advantage discoveredAttack endgame short,https://lichess.org/NtFcVg7P/black#54,
FcYzT,4k1nr/1p1q1pbp/p1r1p1p1/3pP3/Q2P4/4BN2/PP3PPP/R1R3K1 b k - 1 14,f1c1 c6c1 a1c1 d7a4,539,88,100,172,advantage discoveredAttack middlegame short,https://lichess.org/6hCWBvPH#27,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Dragon
4hWr6,4k3/3r3p/6p1/3bP3/P2Q4/1P3PP1/2P3KP/8 b - - 2 49,c5d4 d5f3 g2f2 d7d4,544,86,100,228,advantage discoveredAttack endgame master short,https://lichess.org/uMPJyklc#97,
b4DbD,r5k1/pb1p1ppp/1p1rp3/8/8/3B4/PPP2PPP/3R1RK1 w - - 0 18,c6d6 d3h7 g8h7 d1d6,548,93,98,1688,advantage discoveredAttack endgame kingsideAttack short,https://lichess.org/2DATaVve/black#34,Sicilian_Defense Sicilian_Defense_Open
9mubz,3r3k/6p1/7p/1p1qp3/4Q2P/1PPP2P1/5PK1/3R4 b - - 2 36,f5e4 d5e4 d3e4 d8d1,552,82,100,524,crushing discoveredAttack endgame short,https://lichess.org/NZS1rDUW#71,
iV8cI,4r2k/pp2Nppn/2p4p/8/8/7P/PPP1RPP1/6K1 w - - 2 22,d8e8 e7g6 f7g6 e2e8,578,85,100,135,crushing discoveredAttack endgame short,https://lichess.org/g7tY9mVE/black#42,
81DP3,2k1r3/2p2p2/p1p2Pb1/7p/4N1p1/1P6/P1P4P/2K1R3 w - - 2 26,h8e8 e4d6 c7d6 e1e8,580,92,100,201,advantage discoveredAttack endgame short,https://lichess.org/Seok9bcm/black#50,
XIlOT,5r2/1pp2r2/1p1p1b2/5Rpk/3P4/P1P5/1P1B2P1/5RK1 b - - 1 30,f2f5 f6d4 c3d4 f7f5,587,87,100,224,advantage discoveredAttack endgame short,https://lichess.org/5RJEvveD#59,
G8LH6,4rk2/p6p/1pp3p1/3pn3/5P2/2P4P/PP4P1/4RBK1 b - - 0 28,f2f4 e5f3 g2f3 e8e1,593,83,100,467,advantage discoveredAttack endgame short,https://lichess.org/ACqcPVcD#55,
X62JF,1rb2r2/6pk/p2p1p1p/1ppPpP1q/2P3N1/PP1P3P/6P1/R2Q1RK1 w - - 1 22,f7h5 g4f6 f8f6 d1h5,604,84,100,159,crushing discoveredAttack middlegame short,https://lichess.org/mtt3r6FE/black#42,
