PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
6TJXd,3r3k/ppb4p/5ppn/8/1P2Pp1B/PB1r4/6K1/8 w - - 0 41,e5c7 h4f6,501,99,99,705,doubleBishopMate endgame master mate mateIn1 oneMove,https://lichess.org/5mjFnU3Y/black#80,
Gnn7R,2R5/p4kpp/4p3/3pP3/8/1P2bP2/PB2b2P/7K b - - 0 31,g2f3 e2f3,513,101,95,1652,doubleBishopMate endgame master mate mateIn1 oneMove,https://lichess.org/GKyldKJx#61,
1akdv,6k1/pb3p1p/8/8/3PN3/4b1B1/PP5P/R2Q3K b - - 0 29,c3e4 b7e4 d1f3 e4f3,517,102,93,1852,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/UP2towon#57,
FrCVG,rk4r1/pb4pp/1pnp4/8/5BB1/8/PPP2PPP/2K4R w - - 0 18,c7d6 f4d6,521,86,100,245,doubleBishopMate mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Wk0nXY2i/black#34,Owen_Defense Owen_Defense_Other_variations
dCh4V,r2qkb1r/pppbp3/2np2p1/P7/2PpB3/4B3/1P3PPP/R3K1NR w KQkq - 0 15,h7g6 e4g6,525,106,93,152,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/7U5O0cvK/black#28,Alekhine_Defense Alekhine_Defense_Two_Pawns_Attack
F8Tk5,6k1/pb2n2p/6p1/2p5/2Nb4/3B1Q2/PPP4P/3R3K b - - 0 24,g3f3 b7f3,537,95,98,570,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/2vWgYGSN#47,
EWt8S,4k2r/1p4bp/p5p1/5p2/b7/2P5/P3PPPP/R3KB1R b KQk - 0 18,b2c3 g7c3,542,91,100,394,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/ahvdPY66#35,English_Opening English_Opening_Kings_English_Variation
KI95G,3rrk2/1pp1np1B/1b5n/p3P2p/5B2/P4PP1/1P3P2/2R4K w - - 0 32,g8h6 f4h6,549,96,88,1479,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/RSUg1W3O/black#62,
e9by0,rn2k2r/pp3ppp/2p1p3/2Pp3b/3PP2b/1QN3P1/PP1B4/R3KB1R b KQkq - 0 14,h2g3 h4g3,554,90,97,585,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/H7yO1hZd#27,Slav_Defense Slav_Defense_Quiet_Variation
KP5Cc,4r2k/pp5p/2ppBr2/3P4/2n5/2B3P1/PPP4P/6K1 w - - 0 25,f8f6 c3f6,563,99,92,528,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/SjCy1wo7/black#48,
1uPo4,6k1/1p4b1/p2N2np/3P1bp1/8/1BP2pB1/P4P2/K3R3 b - - 0 31,c1e1 g7c3,566,90,100,286,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/HbNFrL3z#61,
wJZAR,r2qkbnr/1ppbp3/p1n2pp1/3p4/3P3B/3BP3/PPP2PPP/RN2K1NR w KQkq - 0 8,h7g6 d3g6,573,87,100,409,doubleBishopMate mate mateIn1 oneMove opening,https://lichess.org/OZQlAWRD/black#14,Queens_Pawn_Game Queens_Pawn_Game_Levitsky_Attack
FLFEZ,r3r2k/4B2p/5p2/2p5/1pBp4/3P3P/1Pb2PPK/6R1 w - - 5 37,d8e8 e7f6,578,84,100,369,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/FGFlmqDc/black#72,
j7yM8,r6k/pb4pp/2B2n2/1pb1P3/8/1Q4P1/PP5P/R1B4K b - - 0 25,g2c6 b7c6 b3f3 c6f3,587,83,100,200,doubleBishopMate mate mateIn2 middlegame short,https://lichess.org/xMei8vO6#49,
SrCuu,5k2/p4ppp/8/2p5/3b1P2/8/P1B1b2P/1R5K b - - 2 28,f1b1 e2f3,594,84,100,928,doubleBishopMate endgame master mate mateIn1 oneMove,https://lichess.org/uy7AyDNs#55,
aYKwM,r2qkb1r/pp1np3/2p2p1p/3p2pn/3P2b1/3BPNB1/PPPN1PPP/R2QK2R w KQkq - 0 10,h7h6 d3g6,602,88,100,313,doubleBishopMate mate mateIn1 oneMove opening,https://lichess.org/fCLU98gc/black#18,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
Eqrck,r1r4k/pp2n2p/6p1/4qb2/3n1B2/8/B4RPP/1N3RK1 w - - 0 27,f6e5 f4e5,607,88,100,209,doubleBishopMate master mate mateIn1 middlegame oneMove,https://lichess.org/hy1zecDn/black#52,
CE7rZ,4k2r/5ppp/1pb1p3/3pP3/Rb6/8/4NPPP/2BK3R b k - 0 18,a1a4 c6a4,619,94,100,491,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/wMCc4ysO#35,French_Defense French_Defense_Advance_Variation
JvigV,r1b1kb1r/1p1n4/1q2p1p1/2pp2B1/p7/3BP3/PP1N1PPP/1R3RK1 w kq - 0 16,h7g6 d3g6,622,93,100,109,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/99prvUKh/black#30,Queens_Pawn_Game Queens_Pawn_Game_Levitsky_Attack
Mv1FG,r2qk1n1/ppp2pp1/3b1n2/3p2P1/6b1/1P2P3/PBPP4/RN2KBNQ b Qq - 0 13,g2h1 d6g3,626,88,100,115,doubleBishopMate mate mateIn1 oneMove opening,https://lichess.org/DDSkXEch#25,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
LlyXA,7k/p6p/1p1p2p1/2p3BP/8/1B3K2/PP5P/q7 w - - 0 36,e1a1 g5f6,632,89,100,274,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/cOwHStvR/black#70,
0s5rR,8/6p1/p2p2bk/2bP4/5P2/1P6/P6P/3R3K b - - 0 51,c4d5 g6e4,635,81,100,271,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/GanGbKt3#101,
8B2ne,r3kb2/pp1n2p1/1qp1p3/4P1B1/3P4/2PB4/PP4P1/R4K2 w q - 0 24,f7e6 d3g6,641,83,100,925,doubleBishopMate master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/IHFkknFM/black#46,
NpfLr,8/1p4kb/p1p1B3/8/3bN3/P5P1/1P5P/5R1K b - - 0 31,e1f1 h7e4 f1f3 e4f3,657,81,100,278,doubleBishopMate endgame hangingPiece mate mateIn2 short,https://lichess.org/nixL1UDJ#61,
BXzIA,8/pp3ppk/1b1Q2b1/8/8/2P5/PP5P/R4R1K b - - 0 23,e5d6 g6e4 f1f3 e4f3,660,78,100,233,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/P234JAWd#45,
lFZW6,1B1r3k/p3p2p/b5p1/3B1P2/3p4/8/P4KPP/8 w - - 0 27,c5d4 b8e5,689,78,100,427,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/TQDV9KH9/black#52,
3f0tF,2kr3r/B1pn1pp1/1p1bpq1p/8/8/2PB4/PP3PPP/R2Q1RK1 w - - 0 14,b7b6 d3a6,692,87,100,407,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/xdZpLafB/black#26,French_Defense French_Defense_Rubinstein_Variation
