PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
bwcw8,6rk/1pp4P/2n2b2/p7/3P4/1PP1Pq2/P7/1K4RR w - - 0 38,a8g8 h7g8q,500,92,83,420,advancedPawn doubleCheck endgame mate mateIn1 oneMove promotion,https://lichess.org/NFlYOyUu/black#74,
ZDzVK,8/p2kp3/1p6/N2b1p2/P3r3/1PN5/2P4P/2R4K b - - 3 35,e2c3 e4e1,524,107,89,791,doubleCheck endgame master mate mateIn1 oneMove,https://lichess.org/d76KpB5D#69,
j7Wtx,k1q3r1/8/5p2/P7/5P2/b3P3/Q2P1RpP/6K1 b - - 1 30,b2a2 c8c1 f2f1 g2f1q,527,103,79,279,advancedPawn doubleCheck endgame mate mateIn2 promotion short,https://lichess.org/uZzQy0JX#59,
O4VNZ,r2qr1k1/2p3pp/pp2R3/5p2/3n1P2/BQ3P2/P5PP/R6K w - - 1 26,c6d4 e6e8,530,99,93,570,doubleCheck kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mhXUE09j/black#50,
6Qz3p,2k5/p1p4p/2q3p1/8/4n2Q/1P1P4/P1P2R1P/6RK b - - 0 27,g5h4 e4f2,535,92,93,845,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/EmOXHsqN#53,
b5W0c,r2qkb1r/p1p1pppp/5n2/1N1Pn3/Q1p1P1b1/8/PP3PPP/R1B1KBNR w KQkq - 1 8,c6e5 b5d6,541,95,86,247,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/mzTmwTRr/black#14,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
EdCTP,r4r1k/4q2p/3p1Rp1/1p6/8/1P6/P5PP/Q6K w - - 0 26,e3e7 f6f8,546,94,78,287,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/GkVcDRxg/black#50,
iOyhy,rnb1r1k1/ppp2p1p/6p1/4b3/8/B1N4P/PPP2PP1/3RKB1R b K - 2 12,e7a3 e5c3,584,95,90,631,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/ashpIDlL#23,Pirc_Defense Pirc_Defense_Classical_Variation
y1204,8/4p3/6p1/5k1p/p7/7P/2KB2r1/3N4 w - - 0 43,g3g2 d1e3 f5f4 e3g2,589,99,90,3041,advantage doubleCheck endgame fork master short,https://lichess.org/ZoDzXCqO/black#84,
U6WFi,8/p7/5kpK/3Bp3/4Pr2/1R2b2P/P7/8 b - - 0 36,h5h6 f4h4,623,92,95,1165,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/BymmXfxb#71,
kYeGn,7k/pp4p1/2b4p/4b3/8/5r2/1B2Q2R/5R1K b - - 0 33,g2h2 f3f1,625,81,99,700,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/jCHz0ooj#65,
omm9Q,8/1r1k3p/4ppp1/1pPp4/3P1PP1/7P/2RK4/8 w - - 0 40,f7f6 c5c6 d7c8 c6b7,630,99,85,648,advancedPawn crushing doubleCheck endgame fork rookEndgame short,https://lichess.org/pa9m2XmS/black#78,
g4fQq,r1b1kbnr/ppp1qppp/8/3Pn3/8/5N2/PPPN1PPP/R1BQKB1R b KQkq - 0 6,e4d5 e5f3,636,83,89,446,doubleCheck mate mateIn1 oneMove opening,https://lichess.org/X5wlNR7F#11,Englund_Gambit Englund_Gambit_Main_Line
LqmZK,1r3k1r/pp3pb1/3R2pp/2B1p3/2b1P3/5N2/PP3PPP/n5K1 w - - 0 24,c2a1 d6d8,644,85,98,622,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/6bKBWkTV/black#46,
4eBBi,rnbqkb1r/1p2pppp/p4n2/1Np5/Q1Pp4/5N2/PP1PPPPP/R1B1KB1R w KQkq - 0 6,a7a6 b5c7,647,88,97,434,doubleCheck mate mateIn1 oneMove opening,https://lichess.org/DVHgNQi1/black#10,English_Opening English_Opening_Anglo-Indian_Defense
u3Omg,rnb1r1k1/ppppbppp/5n2/6B1/8/3P1Q2/PPP2PPP/RN2KB1R b KQ - 4 9,e2f3 e7b4 e1d1 e8e1,661,94,88,1445,doubleCheck mate mateIn2 opening short,https://lichess.org/b8ODLzJG#17,Russian_Game Russian_Game_Damiano_Variation
dXAyL,r2qkb1r/pp2pppp/3p2n1/1NnP4/Q4P2/5N2/PP4PP/R1B1K2R w KQkq - 2 12,e4c5 b5c7,667,93,94,940,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/YDExjiAQ/black#22,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
I8vHL,r1b1kb1r/pp4pp/3p1p2/q1p1p1P1/1nP1P2P/P7/4PP2/RNBQKBNR b KQkq - 0 10,d3e4 b4c2,673,90,98,832,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/HPT7gGfz#19,English_Opening English_Opening_Kings_English_Variation
1HvsO,7k/p5rP/1p3n2/5b2/8/1KPR4/P4q2/7R w - - 10 45,g4f5 d3d8 f6e8 d8e8 g7g8 h7g8q,678,87,91,773,advancedPawn doubleCheck endgame exposedKing long mate mateIn3 promotion,https://lichess.org/bEYgIHD1/black#88,
TzGLG,r3kbnr/pp2pppp/3p4/q1pP4/1nP3b1/PN3N2/1P2PPPP/R1BQKB1R b KQkq - 2 7,d2b3 b4d3,685,81,100,310,doubleCheck mate mateIn1 oneMove opening,https://lichess.org/BaIJfqZB#13,Wade_Defense Wade_Defense_Other_variations
Iil3b,r2qkbnr/pbp1pppp/1n1p4/1N6/Q2PP3/6P1/PP3PBP/R1B1K1NR w KQkq - 1 9,c4b6 b5c7,693,84,97,537,doubleCheck mate mateIn1 oneMove opening,https://lichess.org/sxehCPMI/black#16,English_Opening English_Opening_Other_variations
AD2HZ,rn1qr1k1/pp1b1pp1/2p4p/2P1P3/1P2pP1b/P3P3/2Q3P1/RNBK1B1R b - - 1 14,e1d1 d7g4,698,84,100,229,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/jUtpRvwB#27,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
4ZgZR,r2q2k1/1p1n2pp/p3R3/3Q4/5r2/8/PPP2bPP/R6K w - - 0 18,f8f4 e6e8,702,101,95,1155,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/qEsmWMxc/black#34,French_Defense French_Defense_Advance_Variation
