PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
h2zcb,rn3r2/ppp1pk2/6q1/6Q1/8/2b2P2/PP1N3P/R3K1R1 w Q - 0 22,g8f7 g5g6,566,94,90,826,dovetailMate mate mateIn1 middlegame oneMove,https://lichess.org/vE5NTN0C/black#42,
0iyo0,r2q1b1r/pppk2p1/4pn1p/3pnQ2/5NPP/5P2/PPP5/RNB1K2R w KQ - 0 14,e7e6 f5e6,581,102,92,729,dovetailMate mate mateIn1 oneMove opening,https://lichess.org/wARp7eLg/black#26,Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation
GTzGQ,1k6/1p2R1p1/pNp5/2P2p2/4pq2/1P6/PK2QP2/7r b - - 2 30,b1b2 f4c1,654,98,93,870,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/2uvR1QYI#59,
dz1za,6k1/4qppp/2Q5/8/2P5/5P2/P2R1KPP/1r6 b - - 2 29,f1f2 e7e1,657,90,87,1038,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/haWv9r9w#57,
rGgHU,2r4r/ppk3p1/3pb2p/1q2p3/7N/2P4P/PP1Q2P1/2KR3R w - - 0 23,d7c7 d2d6,672,89,80,860,dovetailMate mate mateIn1 middlegame oneMove,https://lichess.org/l2uevIfO/black#44,
80I4e,3R4/p3n1kp/1p2q1r1/8/5Q1K/5N2/P6P/8 w - - 10 41,h8g7 f4f8,676,93,87,1559,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/90Cb36WJ/black#80,
wnBIT,6k1/3q1ppp/2p2b2/p7/Pp2P3/1P2QN1P/1PR1KPP1/1r6 b - - 6 27,c4c2 d7d1,689,90,96,2477,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/XJqZrydc#53,
pKf6n,5r2/3bk3/p1p1p1pB/q2p4/1b1P4/2N2Q2/PPP1KP2/r7 w - - 0 22,a8f8 f3f8,691,85,97,1522,dovetailMate mate mateIn1 middlegame oneMove,https://lichess.org/vCgOTPU7/black#42,
Z7eql,8/4qpk1/6pp/1Q6/P6P/1P1B2P1/2PK1P2/6r1 b - - 6 41,e2d2 e7e1,713,93,89,1368,dovetailMate endgame master mate mateIn1 oneMove,https://lichess.org/W4Kdlmhx#81,
WfaNz,8/5p1k/p5p1/2q4p/4P1PP/1P1Q1P2/PK1R4/6r1 b - - 0 35,g3g4 c5c1,717,95,90,1476,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/OKfxG42a#69,
GhiHO,8/8/3p4/4p3/3qk3/1Q5P/6PK/8 w - - 3 53,d3e4 b3f3,724,87,92,925,dovetailMate endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/Fe4mPyPC/black#104,
0dCph,1R6/2p2kp1/pp1b1q1p/3p4/3P4/2P5/PPK1Q3/8 w - - 0 36,b7b6 e2e8,727,98,90,1649,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/1KvNWVVz/black#70,
QdDh2,r6k/p1p1q2p/1p1p3Q/5p1R/3N4/3B1P2/PPPK1P2/6r1 b - - 0 21,e6d4 e7e1,732,91,96,1776,dovetailMate mate mateIn1 middlegame oneMove,https://lichess.org/uuFIlhCQ#41,
BhK2Y,1R6/4p1kp/3pp1p1/P1p1n3/7P/5QP1/5P1K/3r1q2 w - - 0 32,f7e6 f3f8,739,82,57,183,dovetailMate endgame master mate mateIn1 oneMove,https://lichess.org/ZG79O5yR/black#62,
Nb6I1,6k1/1p3pp1/2p2qp1/2Qp4/1P1PP3/3BP1P1/4R1KP/r7 b - - 2 27,f2g2 f6f1,743,82,90,927,dovetailMate endgame master mate mateIn1 oneMove,https://lichess.org/rlt6wil9#53,
66now,r5r1/ppp2pk1/2np4/2b1pq2/7R/2PP1N1P/PP1Q1PP1/R5K1 w - - 2 22,h7g7 d2h6,748,86,96,1318,dovetailMate mate mateIn1 middlegame oneMove,https://lichess.org/nQZG76Mi/black#42,
WnrpD,4r1k1/8/4P1B1/2p4p/p1P3pP/1R3q2/2KR3Q/2B5 b - - 0 35,a3b3 f3b3,756,84,98,1623,dovetailMate mate mateIn1 middlegame oneMove,https://lichess.org/OhqHASEF#69,
jYGRa,5k2/8/5p1p/p7/4Bq2/P2Q2R1/P3P1KP/2r5 b - - 1 30,g1g2 f4f1,760,85,93,731,dovetailMate endgame master mate mateIn1 oneMove,https://lichess.org/9tFLKDBO#59,
KM012,R7/3q2kp/2p3p1/p2p4/P4Q2/8/2r2P2/6K1 w - - 2 40,h6g7 f4f8,765,94,100,79,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/kYFopU2R/black#78,
UNPJ0,R7/3r1kpp/p1pq1p2/8/2p5/2PPQ3/PP4PP/6K1 w - - 0 27,c5c4 e3e8,772,81,89,397,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/kGjwVRrS/black#52,
y1mcK,5qk1/p7/2Q3p1/8/8/2B3P1/PPP3KP/3r4 b - - 2 35,g1g2 f8f1,782,87,93,2119,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/fVhiFXk4#69,
