PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
p3D6j,r3kbnr/p4pp1/4p1p1/1pPpq1B1/Q7/8/P2N1PPP/R4RK1 w kq b6 0 14,b7b5 c5b6,607,98,90,728,discoveredAttack enPassant mate mateIn1 middlegame oneMove,https://lichess.org/vWYs9lgI/black#26,Scandinavian_Defense Scandinavian_Defense_Other_variations
kFOSh,8/pk3p1p/1p2b1pP/1P1pPpP1/P2P1P2/2rK4/2N5/8 w - - 0 43,c4c3 d3c3 a7a5 b5a6,797,96,88,666,crushing enPassant endgame short,https://lichess.org/qk6uxUvF/black#84,
9LcoO,6k1/7p/1p2p1p1/p1p1P1P1/5P2/P1Pq4/1PK5/8 w - - 0 29,d5d3 c2d3 h7h5 g5h6,893,122,83,177,crushing enPassant endgame short,https://lichess.org/4xnNzahV/black#56,
wEwYV,r3q1r1/4p3/1p1pP1k1/p1pP1pP1/P1P2P1Q/2NB4/1PK5/8 w - f6 0 31,f7f5 g5f6,908,161,64,96,discoveredAttack enPassant endgame mate mateIn1 oneMove,https://lichess.org/EsL0hn2Q/black#60,
ApspH,r2q2nr/pp1bk3/4ppB1/2pPp2p/1Q1n2pB/P7/1PP2PPP/RN3RK1 w - c6 0 16,c7c5 d5c6,920,93,88,504,discoveredAttack enPassant mate mateIn1 middlegame oneMove,https://lichess.org/kga0uGbV/black#30,Rat_Defense Rat_Defense_Small_Center_Defense
658Hx,2kr2nQ/pp3p1p/1q2p3/1b2P3/2Pp3b/5N2/PP1BK1PP/1R1N3R b - c3 0 16,c2c4 d4c3,927,88,94,785,discoveredAttack enPassant mate mateIn1 middlegame oneMove,https://lichess.org/DRrNeK0c#31,French_Defense French_Defense_Advance_Variation
pck03,8/1p1k2p1/p4p2/n2p1Pp1/1PpP2P1/N1P4P/P7/2K5 b - b3 0 28,b2b4 c4b3 a2b3 a5b3,987,165,68,92,crushing enPassant endgame knightEndgame queensideAttack short,https://lichess.org/MehBSfRA#55,
XW5Qr,Qn1qkb1r/p3pppp/5n2/1p4B1/2pP2b1/4P3/PP3PPP/R3KBNR b KQk - 0 8,f3a8 d8a5 b2b4 c4b3,1028,79,89,477,discoveredAttack enPassant mate mateIn2 middlegame short,https://lichess.org/iRvZ2GVj#15,Slav_Defense Slav_Defense_Other_variations
mPB7T,8/4p3/3p4/2pP2k1/1pP1p1Pp/1P2P3/6K1/8 w - - 3 49,g6g5 g2h3 e7e5 d5e6,1035,82,80,418,crushing enPassant endgame pawnEndgame short zugzwang,https://lichess.org/wI8bq0tv/black#96,
YeFwm,8/8/8/5B2/PpK5/1Pb5/8/2k5 b - a3 0 57,a2a4 b4a3 c4c3 a3a2,1077,81,91,660,advancedPawn bishopEndgame crushing enPassant endgame sacrifice short,https://lichess.org/ZkfyxUeZ#113,
nMIpS,r1b2r2/3Bk3/3pNpQ1/8/pp2P3/4qP2/PPP3P1/R4K1R b - - 2 25,e1f1 c8a6 d7b5 a6b5 c2c4 b4c3,1080,97,93,7014,discoveredAttack enPassant long mate mateIn3 middlegame,https://lichess.org/lUVEvIcO#49,
Zo8Q9,2k1r3/Bpp1bppp/8/4P3/8/8/PPP1QP1q/2KR4 w - - 1 16,h8e8 e2g4 f7f5 e5f6,1093,79,85,140,discoveredAttack enPassant endgame mate mateIn2 short,https://lichess.org/9Ei1ZzWJ/black#30,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
zVTBF,8/6k1/4p3/4bpP1/4N2p/5K1P/5P2/8 w - f6 0 45,f7f5 g5f6 e5f6 e4f6,1115,108,64,154,crushing enPassant endgame master short,https://lichess.org/ql5uDmTt/black#88,
bFMhH,6k1/3b2p1/pb1p1p1p/1ppPrP2/8/1BP3NP/PP4P1/5R1K w - c6 0 25,c7c5 d5c6 g8f8 c6d7,1124,88,80,678,advancedPawn crushing discoveredAttack enPassant endgame short,https://lichess.org/iHRTVJ09/black#48,
VnI6U,rnb2k2/ppp3b1/8/1P1B1q2/3P4/6P1/P4P1P/R1B1R1K1 w - - 0 20,d7f5 c1a3 c7c5 b5c6,1133,82,94,2030,discoveredAttack enPassant mate mateIn2 middlegame short,https://lichess.org/WivqHMGW/black#38,
9m6Q9,8/8/8/5pk1/1p3Q2/1P6/P1P5/1K6 b - - 0 55,d2f4 g5f4 a2a4 b4a3,1139,85,60,270,crushing enPassant endgame short,https://lichess.org/KD1sDOsa#109,
a9rBg,6k1/5p1p/R3p1p1/1pr5/1Pp5/2P4P/P4PP1/6K1 b - b3 0 27,b2b4 c4b3 a2b3 c5c3,1146,111,85,146,crushing discoveredAttack enPassant endgame rookEndgame short,https://lichess.org/m7mtbEvG#53,
5Gpmb,2k5/2p4r/p4B2/P2P4/2p2b2/4p2r/4R1RP/7K w - - 2 39,h4h3 g2g8 c8b7 e2b2 b7a7 f6d4 c7c5 d5c6,1161,80,95,6531,discoveredAttack enPassant endgame mate mateIn4 veryLong,https://lichess.org/BXQaYv08/black#76,
mpZkh,7k/1p2p3/p5p1/3PppP1/8/5P2/PPP5/2K5 w - f6 0 26,f7f5 g5f6 e7f6 d5d6 h8g7 d6d7,1167,79,91,1741,advancedPawn crushing enPassant endgame long pawnEndgame,https://lichess.org/IVYqEH1l/black#50,
9LYVP,7Q/ppk3p1/2b5/2p5/3p4/4qP2/PPP3PP/R4K2 b - - 2 24,g1f1 c6b5 c2c4 d4c3,1187,80,94,5435,discoveredAttack enPassant endgame mate mateIn2 short,https://lichess.org/tdNTDcgb#47,
LDVW6,r5k1/5pp1/7R/2p5/Pp4Q1/1P6/5qPP/1K1R4 b - a3 0 33,a2a4 b4a3 h6h8 g8h8 g4h3 h8g8,1192,190,100,24,advantage enPassant endgame long,https://lichess.org/qCYttcbB#65,
ZG0S1,4k3/4P3/5K2/8/Pp6/1P6/6p1/6B1 b - a3 0 54,a2a4 b4a3 g1d4 a3a2,1198,78,87,280,advancedPawn bishopEndgame crushing enPassant endgame short,https://lichess.org/IYYE2jXt#107,
Vrb0F,3R4/ppr1ppbk/7p/4P3/5p2/P4BP1/1P5P/1K6 w - - 0 27,g5f4 f3e4 f7f5 e5f6,1204,82,94,7675,discoveredAttack enPassant endgame mate mateIn2 short,https://lichess.org/VcRawnxC/black#52,
