PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
vCCbv,6k1/3r1p1p/rp4p1/8/1P1B4/3pP2P/5PP1/2Rb2K1 w - - 0 33,a8a6 c1c8 d7d8 c8d8,501,85,100,78,endgame mate mateIn2 short,https://lichess.org/MJFhrWpe/black#64,
UYaPe,3r2k1/5ppp/7r/1n6/4P3/1B3P2/P5PP/1K1R4 w - - 0 34,a8d8 d1d8,508,91,100,88,endgame mate mateIn1 oneMove,https://lichess.org/vnRuzXAE/black#66,
cvyG9,6k1/5ppp/4p3/2Np1b2/1q1P4/5N2/5PPP/R5K1 w - - 0 27,b8b4 a1a8 b4b8 a8b8,512,86,100,380,backRankMate endgame mate mateIn2 short,https://lichess.org/MtJOArMf/black#52,
vRqvE,3r2k1/5pp1/p6p/1p2P1b1/1P2R3/P7/1B3PPP/6K1 b - - 0 27,e1e4 d8d1 e4e1 d1e1,540,87,100,51,backRankMate endgame mate mateIn2 short,https://lichess.org/Ufm0zhep#53,
G8Tea,8/p2n4/7p/4k1p1/B2p4/3K2P1/P4P1P/8 b - - 9 36,b3a4 d7c5 d3c4 c5a4,548,102,100,385,crushing endgame fork short,https://lichess.org/uqWWI2aT#71,
VbBBJ,1r4k1/2P5/p6p/5R1P/4p1Pb/3nPp2/P1R5/5K2 b - - 0 44,c6c7 b8b1 c2c1 b1c1,551,92,100,243,endgame mate mateIn2 short,https://lichess.org/6flTJaY7#87,
K1ZZe,8/1p5p/2p5/5K2/4PP2/p7/P1k5/8 w - - 1 47,d2c2 e4e5 c2b1 e5e6 b1a2 e6e7,566,89,100,148,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/ZqN9XrYb/black#92,
3vn9w,8/8/8/8/8/k7/4r3/KR6 b - - 36 76,c1b1 e2a2,572,88,100,91,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/x6kLSlQQ#151,
EFN7d,1k6/ppp5/8/4P3/8/1P4P1/PKPr1nq1/2R4R w - - 0 31,d8d2 h1h8 d2d8 h8d8,601,80,100,118,backRankMate endgame mate mateIn2 short,https://lichess.org/UXlUNuIV/black#60,
lBpBE,3q2k1/p4ppp/1p3n2/2B3N1/P3p3/2P1Q3/2P2PPP/6K1 b - - 0 20,a3c5 d8d1 e3e1 d1e1,609,85,100,89,endgame mate mateIn2 short,https://lichess.org/F1U2K81q#39,
92JCO,3q2k1/5pp1/p4B1p/1p3b1P/3Pp1Q1/4P3/Pr2B1P1/6K1 w - - 0 29,c8f5 g4g7,613,82,100,183,endgame mate mateIn1 oneMove,https://lichess.org/1fZ2x49u/black#56,
u207m,3r4/8/2b1p2p/P1N1k1p1/8/2R3PP/5P2/6K1 b - - 0 39,a4a5 d8d1 g1h2 d1h1,619,79,100,469,endgame mate mateIn2 short,https://lichess.org/0HBLhNFV#77,
AQEih,5r1k/p5pp/Pp6/5R2/8/B6P/1P1p4/4n2K w - - 0 38,d8f8 f5f8,625,88,100,74,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/Jk2efLA2/black#74,
eWeUm,6k1/6pp/p7/P7/8/2p4P/2r1RK2/1N6 b - - 1 39,d2b1 c2e2 f2e2 c3c2,633,81,100,156,advancedPawn crushing endgame short,https://lichess.org/8GfYI1wA#77,
Hm8Dl,8/8/3pRrk1/2pP4/2P1K1p1/6P1/8/8 w - - 14 61,g5g6 e6f6 g6f6 e4f4 f6g6 f4g4,635,94,100,310,crushing endgame long rookEndgame,https://lichess.org/KFs0UMf5/black#120,
9kfr1,r6k/pp3Qpp/3p2p1/4p3/1P2P3/P6P/4q1P1/5RK1 w - - 2 29,g8h8 f7f8 a8f8 f1f8,642,86,100,344,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/uQmr8EVE/black#56,
dZVLH,8/8/p2r4/1k1K4/7P/8/8/8 w - - 0 44,g6d6 d5d6 a6a5 h4h5 a5a4 h5h6 a4a3 h6h7 a3a2 h7h8q,647,82,100,243,advancedPawn crushing endgame promotion quietMove veryLong,https://lichess.org/kknz3OPX/black#86,
