PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
J6M7y,8/5kR1/4N3/1p2p3/1Pp5/2K1Pb2/P2p4/3Br3 b - - 2 39,g6g7 f7e6,526,121,100,234,endgame equality hangingPiece oneMove,https://lichess.org/44sngwGr#77,
6wG0r,6k1/8/ppn1p1pp/3P4/4pP2/P1B2K2/5P1P/8 w - - 0 38,f5e4 f3e4 e6d5 e4d5,607,110,100,215,endgame equality short,https://lichess.org/M264oWGf/black#74,
mNRNY,8/5q1k/1p2p1Qp/8/3P1P2/1P2P3/1K4R1/8 b - - 0 51,e4g6 f7g6 g2g6 h7g6,649,97,100,355,endgame equality short,https://lichess.org/AX2RQ1WZ#101,
oOopp,5r1k/1b5p/5r2/1p1p3P/pP1p3R/3P4/B1PN4/2K2R2 b - - 1 32,h1h4 f6f1 d2f1 f8f1,680,105,100,250,equality middlegame short,https://lichess.org/NSiVwxVu#63,
zMeqG,6k1/3r4/p2P3p/5p2/4N3/8/K5P1/8 w - - 0 43,f7f5 e4f6 g8f7 f6d7,686,104,100,248,endgame equality fork short,https://lichess.org/BcCtT31T/black#84,
QEP4n,r4rk1/p5b1/1pq1b1p1/5p1p/5P2/2P4P/PP1BQ1P1/4RRK1 w - - 0 24,c8e6 e2e6 c6e6 e1e6,704,97,85,251,equality kingsideAttack middlegame short,https://lichess.org/G3hfIhrC/black#46,
2AwlB,2rr2k1/pp2qppp/3B4/4n3/2b5/2P4P/1K1Q1PP1/3R3R w - - 0 23,e6e7 d6e7 d8d2 d1d2,707,130,64,118,equality middlegame short,https://lichess.org/qo8UoRNb/black#44,
KBxas,r4rk1/1pp2pp1/1p1p3p/4n3/4P3/2N2B2/PPPQ1P1P/R4RK1 b - - 0 17,e2f3 e5f3 g1g2 f3d2,724,110,100,143,equality fork middlegame short,https://lichess.org/XbQNenRY#33,
ZShLp,rnbqkb1r/p4Bp1/2pp1n1p/1p2p3/3PP3/2N2N1P/PPP2PP1/R1BQK2R b KQkq - 0 7,c4f7 e8f7,737,126,100,90,equality hangingPiece oneMove opening,https://lichess.org/UDONCDk9#13,
WjmKm,1r6/7p/6p1/8/pB3kP1/3K3P/8/8 w - - 1 48,f5f4 b4d6 f4g5 d6b8,745,100,100,270,endgame equality fork short,https://lichess.org/1JXS2Jah/black#94,
