PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
xaOpY,7k/2R4P/6rK/8/8/8/4p3/8 w - - 0 59,d6g6 h6g6 e2e1q c7c8 e1e8 c8e8,507,103,95,741,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/Wzg6BBVn/black#116,
vCKyW,5k2/4n2p/5Kp1/6P1/5P2/R5P1/3r4/8 w - - 5 51,e2d2 a3a8 e7c8 a8c8 d2d8 c8d8,511,99,100,253,endgame exposedKing long mate mateIn3,https://lichess.org/TjecZYOV/black#100,
1qn45,r4r1k/p1pp2pP/1p1n1q2/4p1B1/bPn4P/2PB2Q1/P6R/RNK3N1 b - - 8 21,d1c1 f6f1 d3f1 f8f1 g3e1 f1e1,524,97,95,904,exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/K4lp5xob#41,
iQKXQ,7k/p5n1/2p3K1/2P2r1p/1P4p1/P3P1q1/8/3R4 w - - 0 42,h2g3 d1d8 g7e8 d8e8 f5f8 e8f8,526,101,93,622,endgame exposedKing long mate mateIn3,https://lichess.org/KYW9wLxV/black#82,
cUvH8,8/p7/3PR3/6pp/8/PP1r3k/5R2/B6K b - - 0 45,f1f2 d3d1 e6e1 d1e1 f2f1 e1f1,532,93,98,944,endgame exposedKing fork long mate mateIn3,https://lichess.org/Nk43qq1d#89,
GAq2J,5qrk/1b3p2/p4Pp1/1p1pP2p/7Q/1P5R/P1r3PP/6RK w - - 0 34,h7h5 h4h5 g6h5 h3h5 f8h6 h5h6,538,101,91,348,exposedKing kingsideAttack long master mate mateIn3 middlegame sacrifice,https://lichess.org/NZVEgWRn/black#66,
Zmxon,3r4/4R2R/1p1r3p/p1p2P2/6P1/1P3BkP/P7/6K1 b - - 0 36,g2f3 d6d1 f3d1 d8d1 e7e1 d1e1,540,97,94,338,endgame exposedKing long mate mateIn3 sacrifice,https://lichess.org/LbItOAiT#71,
VFdli,1k5r/2q2pR1/1pp5/1p1p4/3PpP2/1Q2P3/PP2r3/1K4R1 w - - 0 29,b7b6 g7g8 h8g8 g1g8 c7c8 g8c8,547,99,87,869,crushing endgame exposedKing long queensideAttack,https://lichess.org/9FNebPNa/black#56,
gtxhZ,5r2/pp4p1/2p4k/5r1b/2Np4/3P1P1Q/PP4B1/5K2 b - - 0 38,f2f3 f5f3 g2f3 f8f3 h3f3 h5f3,570,84,100,163,advantage endgame exposedKing fork long,https://lichess.org/k0GqoXYG#75,
bYYxD,1r6/5pkp/1q1p1np1/4pPP1/2PpP3/1r1P3P/2Q3B1/RR4K1 b - - 0 24,g4g5 b3b1 c2b1 b6b1 a1b1 b8b1,579,106,89,454,crushing exposedKing long middlegame,https://lichess.org/VWbwUUWB#47,
n1PUa,8/K1k3p1/8/6p1/1P4P1/7n/8/8 w - - 0 53,f4h3 b4b5 h3f2 b5b6 c7c6 b6b7,584,100,79,531,advancedPawn crushing endgame exposedKing knightEndgame long quietMove,https://lichess.org/XvD56qLZ/black#104,
f6TuV,8/8/8/5r2/6R1/6pK/5kP1/8 b - - 2 74,h4g4 f5h5 g4h4 h5h4 h3h4 f2g2,585,90,96,303,crushing endgame exposedKing long rookEndgame,https://lichess.org/gmeu0EJT#147,
mm4RK,8/4K1k1/8/8/5P2/8/8/n7 w - - 3 64,g8g7 f4f5 a1c2 f5f6 g7g6 f6f7,603,101,87,829,advancedPawn crushing endgame exposedKing knightEndgame long quietMove,https://lichess.org/SYgEoezu/black#126,
7KUHJ,8/P7/5R2/2p5/2P2np1/2P5/1P3k1K/8 b - - 1 48,h6f6 g4g3 h2h1 g3g2 h1h2 g2g1q,608,100,80,307,advancedPawn endgame exposedKing long mate mateIn3 promotion,https://lichess.org/ln7JeAng#95,
WqRoR,2r2r1k/1p4qP/p2p4/4p2p/2P5/5R1P/P4QP1/5RK1 w - - 0 31,f6e5 f3f8 c8f8 f2f8 g7f8 f1f8,618,82,84,688,crushing endgame exposedKing long master,https://lichess.org/9U0AvN4t/black#60,
8rtlX,8/8/p7/6kp/4q1n1/8/6Q1/5R1K b - - 6 43,a2g2 e4g2 h1g2 g4e3 g2g1 e3f1,622,84,100,341,attraction crushing endgame exposedKing fork long master,https://lichess.org/t0m01U6I#85,
AWrm2,6k1/p1r5/3prpK1/6p1/1R6/P5P1/P4P2/8 w - - 4 34,e2e6 b4b8 c7c8 b8c8 e6e8 c8e8,629,96,96,263,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/8Rh6qYAI/black#66,
HRJKK,3r3k/p4pqP/1p4p1/8/2rPR3/4Q3/P2K1P2/7R w - - 1 35,c8c4 e4e8 d8e8 e3e8 g7f8 e8f8,634,84,96,159,endgame exposedKing long mate mateIn3,https://lichess.org/ZRllPyGl/black#68,
