PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
YXRiP,8/p1b1kp2/6p1/2PP3p/3P4/2K2P1P/P5P1/8 w - - 1 31,f8e7 d5d6 c7d6 c5d6,513,93,100,334,bishopEndgame crushing endgame fork short,https://lichess.org/0ECv411C/black#60,
6UXWI,k4b2/p7/r7/2pr2pp/3n3P/4R1P1/P4P2/1R4K1 w - - 0 28,d8d5 e3e8 d5d8 e8d8,515,80,100,255,endgame fork mate mateIn2 short,https://lichess.org/5W0HcCKh/black#54,
AilsX,2R2bk1/5p1p/1p4pQ/p2p4/q2P4/4P3/PP1B1PPP/6K1 b - - 5 24,f4h6 a4d1 d2e1 d1e1,534,88,100,1263,endgame fork mate mateIn2 short,https://lichess.org/k4zaABAs#47,
EaTwM,3rk3/pp5p/4b3/8/1P2R3/P7/5PPP/1N5K b - - 0 25,d4e4 d8d1 e4e1 d1e1,536,89,100,187,backRankMate endgame fork mate mateIn2 short,https://lichess.org/YcCD4SHF#49,
6BGbP,2r3k1/6p1/5nN1/p2p4/3P4/2P1n3/P5PP/R5K1 w - - 1 28,f8c8 g6e7 g8f7 e7c8,553,91,100,133,advantage endgame fork short,https://lichess.org/6C6CsNSw/black#54,
l2Qim,8/8/Pq5k/1B6/1KR2ppp/8/6P1/8 w - - 2 47,g7h6 c4c6 b6c6 b5c6,559,92,100,300,crushing endgame fork short,https://lichess.org/Pw5e01z5/black#92,
fLGnL,Q3rb2/p2q2k1/1p2ppp1/4N1p1/8/7P/PP2RPPB/6K1 b - - 0 30,e1e2 d7d1 e2e1 d1e1,560,139,100,42,fork mate mateIn2 middlegame short,https://lichess.org/ORUOkwJo#59,
RVtAp,8/1r3kp1/2N1p2p/2K1P3/6P1/P5P1/8/8 w - - 1 45,e7f7 c6d8 f7e7 d8b7,568,87,100,195,crushing endgame fork short,https://lichess.org/hSs55fU4/black#88,
wmJSz,8/3n4/3k1ppp/4p3/B1K1P2P/5PP1/8/8 b - - 6 56,d1a4 d7b6 c4d3 b6a4,573,84,100,225,crushing endgame fork short,https://lichess.org/K5zOZe3q#111,
QvJyQ,7r/2k2p2/2P2b2/1P2pPp1/P7/2NP2Pp/7P/7K w - - 3 34,h6h8 c3d5 c7d6 d5f6,576,84,100,300,advantage endgame fork short,https://lichess.org/6VhTha1v/black#66,
PFQdb,8/8/1p6/2pR2pk/n2Pp3/2P1B3/4K3/8 b - - 0 52,d8d5 a4c3 e2d2 c3d5,584,88,100,88,crushing endgame fork short,https://lichess.org/4TijDGsK#103,
DDrcr,4r3/pp2P2p/2pq2k1/6p1/8/P6P/4R1P1/4Q2K w - - 2 47,h6g6 e2e6 d6e6 e1e6,588,89,100,236,crushing endgame fork short,https://lichess.org/34u8COcp/black#92,
1DeXH,r2r2k1/2Q2pp1/p4n1p/4pN2/P7/1p6/1Pn1RPPP/1BB3K1 b - - 0 25,d6c7 d8d1 e2e1 d1e1,590,84,100,227,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/HezW9VlW#49,
