PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
EGNSD,r3k2r/1pp1b1pp/p1n2p2/8/PqN5/8/QPP2PPP/R1B1R1K1 b kq - 8 18,b3a2 b4e1,500,88,100,94,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/NteGQmdA#35,Ruy_Lopez Ruy_Lopez_Cozio_Defense
HsnWP,1r4k1/2p2ppp/8/8/2p1P3/2P1r3/1R4PP/2R3K1 w - - 0 26,b5c4 b2b8,511,89,100,154,backRankMate endgame hangingPiece master mate mateIn1 oneMove rookEndgame,https://lichess.org/GtakGNfl/black#50,
B3PnO,1Q1q2k1/5ppp/4p1b1/4P3/5P2/1P1p2PP/r1r2N2/3R1RK1 w - - 2 32,d5d8 b8d8,515,89,100,215,backRankMate hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/rdhmkF8V/black#62,
u1cg2,7k/pp4p1/2p5/4p2p/2qbQ3/2N5/PPP4P/5R1K b - - 7 30,g2e4 c4f1,522,87,100,241,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/7lNmjwdu#59,
0ECsS,1rr3k1/Qb4pp/5p2/8/1qPR3N/P7/6PP/4R1K1 b - - 0 28,a2a3 b4e1,525,84,100,212,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/S8ClTbDG#55,
RECpe,7r/5q1k/7p/3Pr2Q/2P5/8/1P6/6RK w - - 0 38,f4f7 h5f7,536,87,100,270,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/6rLoRZYa/black#74,
Atpi1,3q1k1r/1p3ppp/1Q2p3/8/4b3/8/PP3PPP/4R1K1 w - - 0 26,d6d8 b6d8,543,93,100,225,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/mvPlZTFT/black#50,
YNqxV,8/4k1p1/4p3/8/3b4/1P2B2P/P2N2P1/6K1 b - - 0 38,c4d2 d4e3 g1f1 e3d2,545,95,100,111,advantage endgame fork hangingPiece short,https://lichess.org/GEAVqeED#75,
kv6mo,2k1q1nr/p1p5/Pp6/2Np1p2/1P1P1p1p/8/5PPP/1R2R1K1 w - - 0 27,e6d5 e1e8,553,84,100,140,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/aUdakNaA/black#52,
ySRLf,4rk2/7p/6p1/8/3B4/1B5b/P4P1P/4R2K b - - 0 32,e7e1 e8e1,558,88,100,90,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/t0N3WonQ#63,
Gd9Gf,8/2R5/p3Qpkp/3p2p1/P7/1P1q2P1/3r2PP/5R1K b - - 0 48,c8e6 d3f1,560,80,100,355,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/EGLxKxhM#95,
gI7gR,8/p5p1/1p6/4q3/5P1p/1k5P/6K1/8 w - - 0 51,a2b3 f4e5 b3b4 e5e6,572,87,100,402,crushing endgame hangingPiece master short,https://lichess.org/kXKfEjOj/black#100,
QwL4z,r4rk1/pp3ppp/2pR2n1/q3P3/4NP2/1Q6/PPP3PP/4R1K1 b - - 0 18,f2f4 a5e1,576,87,100,595,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/NhAxkLAi#35,Scotch_Game Scotch_Game_Scotch_Gambit
w7dN2,5r1k/R6p/6p1/2QB4/p2b4/6N1/3q4/7K w - - 4 41,g7d4 c5f8,587,80,100,279,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/Lo9zkVyU/black#80,
qzjpf,5rk1/5ppp/4p3/4n3/3p3Q/1R1q1P2/P6P/5R1K b - - 1 29,b7b3 d3f1,594,83,100,305,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/Q5o67LLU#57,
bgL8d,3q1k1r/p1p2ppp/4b3/6Q1/8/8/PPP2PPP/5RK1 w - - 0 18,a8d8 g5d8,618,81,100,256,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/ai3f8HTY/black#34,Scotch_Game Scotch_Game_Schmidt_Variation
t8UlB,1Q2r1k1/5pp1/7p/6q1/2P5/3B2PP/r1P3PK/5R2 w - - 2 30,e6e8 b8e8,621,87,100,342,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/G19vRSpA/black#58,
a9co9,rnb1k2r/pp3ppp/1q6/3p4/6n1/2N1BN2/PPP3PP/R2Q1BKR b kq - 4 10,f2g1 b6e3,625,82,100,499,hangingPiece kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/UD0LRJT6#19,French_Defense French_Defense_Exchange_Variation
zGSFM,4r1k1/prp2ppp/5b2/2pqp3/Q7/2PP1N2/PP3PPP/3RR1K1 w - - 0 18,d8f6 a4e8,631,85,100,160,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/H77WEbvJ/black#34,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
7QfVW,3rr2k/R5p1/5bQp/2p5/2N5/2P2p2/P4PPP/4R1K1 b - - 0 31,b1g6 e8e1,646,89,100,60,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/t5MzVxuv#61,
u4EHA,8/6k1/4np2/8/2B1P3/3P4/5Kp1/8 w - - 2 58,f4e6 c4e6 g2g1q f2g1,653,81,100,165,crushing endgame hangingPiece master short,https://lichess.org/FKRajpkc/black#114,
ketJo,8/4kpr1/7R/4R2K/7P/8/4r3/8 b - - 12 51,d5e5 e2e5,664,81,100,86,endgame hangingPiece mate mateIn1 oneMove rookEndgame,https://lichess.org/V3s7VGKv#101,
IQDp7,5b1k/1bq2p1p/2n1pP1Q/pp1nP2P/8/2pP4/P1P2PK1/R3R3 w - - 1 30,c5f8 h6f8,665,90,100,61,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/759uwqFw/black#58,
3FalB,Qn2k2r/p4p1p/2pbp3/3p2p1/3P1P2/1BP4q/P1P4P/R1B2R1K b k - 1 18,b2c1 h3f1,681,79,100,612,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mRxzJ8A9#35,Czech_Defense Czech_Defense_Other_variations
LnoYs,8/4N1pk/1p6/nR5r/3pp3/8/5PP1/6K1 w - - 0 45,a7b6 b5h5,685,87,100,121,anastasiaMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/jMwOpvor/black#88,
e5c8g,3r3k/pp4p1/2Rb3p/8/4R3/1P2P3/P5PP/4qQ1K b - - 2 28,f7f1 e1f1,704,84,100,94,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/KNOdqm9N#55,
OXNpQ,2r1kbr1/4pp1p/p2pbp2/Rq1N4/4PP2/5B2/P1PQ2PP/5R1K b - - 16 21,a4a5 b5f1,707,77,100,263,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/BNiVudiA#41,
5b2vZ,r3k2r/1p1qpp1p/6p1/p2P4/1b1QP3/8/P4PPP/2R2KNR w kq - 0 16,a7a5 d4h8,715,77,100,1530,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/dEGicMvL/black#30,Grunfeld_Defense Grunfeld_Defense_Exchange_Variation
SBXmA,2kr3r/p1p2ppp/1p6/R7/Q1q5/5B2/P5PP/5R1K b - - 0 23,b5a5 c4f1,722,89,100,96,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/DWWrThOb#45,
CrlG3,r1b1r1k1/pp3ppp/5b2/3q1P2/3p2Pn/3N4/PP1N1B1P/R2QR1K1 w - - 6 18,d8d5 e1e8,741,78,100,794,backRankMate hangingPiece mate mateIn1 oneMove opening,https://lichess.org/l554jxgG/black#34,Ruy_Lopez Ruy_Lopez_Berlin_Defense
uVuBH,8/6p1/2Q2p1k/5P2/1P2B2p/P5qP/6P1/3r1R1K b - - 2 48,f4f1 d1f1,747,80,100,99,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/FROpyy6l#95,
GatFx,8/8/8/2p1npk1/2N5/5KP1/8/8 w - - 2 49,d3e5 c4e5 c5c4 e5c4,762,78,100,280,crushing endgame hangingPiece knightEndgame master short,https://lichess.org/8J06BdOD/black#96,
8EHIJ,r3r3/pQ6/3p1B1p/5k1q/3R2p1/8/PP3PPP/4R1K1 b - - 0 26,g5f6 e8e1,768,78,100,320,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/viw7I0eG#51,
ZqC1e,3r1k2/1pr2ppp/4p3/pR4Q1/3p4/P7/2q2PPP/4R1K1 w - - 2 28,e7f8 g5d8,776,77,100,307,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/oi36AYDf/black#54,
ael8O,4r1k1/p1B3pp/2p2p2/8/2bP4/2P5/P4PPP/4R1K1 b - - 2 22,f1g1 e8e1,783,114,100,23,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/kV7bVYq0#43,
gIfv2,5r1k/6pp/2p3p1/4R3/p1Pq2P1/Q5BP/5PK1/1r6 w - - 0 33,d8d4 a3f8,795,108,100,24,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/VRmO8QD0/black#64,
qto9m,3R1r1k/6pp/4Q1p1/p7/1p6/8/Pq3PPP/5bK1 w - - 2 30,f7f8 d8f8,801,78,100,233,backRankMate endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/7lKA8wPf/black#58,
hRw3P,5r2/5p1k/4pPpR/2qpP3/2r5/2pQ4/PP4PP/5R1K b - - 0 27,h3h6 h7h6 d3h3 h6g5,810,78,100,200,advantage endgame hangingPiece short,https://lichess.org/vApOa5El#53,
zpfvu,r4r2/8/1k4p1/1p1Q4/p2pP3/P2Pq3/1PP3P1/R2K1R2 b - - 6 31,e2d1 f8f1,815,78,100,570,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/aC1mGd09#61,
Gc7QP,r1q1k2r/pppbpp2/3p4/1B1P2p1/4P3/2N3P1/PPP3P1/1K1R3R w kq - 0 18,h6g5 h1h8,821,83,100,202,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/3DVUpp2P/black#34,London_System London_System_Other_variations
fymLe,r4r1k/ppp3pp/2n5/3q3Q/8/3B2P1/PPP1RbP1/RNB4K b - - 0 18,h2g3 d5h5,828,78,100,320,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/gfQv4O5E#35,Scotch_Game Scotch_Game_Scotch_Gambit
4yaQ8,3r2k1/5pp1/4p3/4P2p/4QK1P/3R1PP1/8/5q2 w - - 10 39,h3f1 d3d8,836,80,100,83,endgame hangingPiece master masterVsMaster mate mateIn1 oneMove,https://lichess.org/CPN5uNwJ/black#76,
h3dBz,1r2r1k1/2p3pp/p4p2/3R4/5P2/8/P4PPP/4R1K1 b - - 0 22,d1d5 e8e1,842,134,100,18,backRankMate endgame hangingPiece mate mateIn1 oneMove rookEndgame,https://lichess.org/h1k6vT3e#43,
p0Lxy,1r4k1/p4ppp/2p2n1q/2Pp4/1P3Q2/P3PpP1/5P1r/1R2RBK1 w - - 0 26,h5h2 f4b8 f6e8 b8e8,847,77,100,171,hangingPiece kingsideAttack mate mateIn2 middlegame short,https://lichess.org/F2dSuOk1/black#50,
