PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
UZ7sf,5k1r/5pN1/3p1P1p/2pP4/1p4P1/1P4K1/r7/4R3 w - - 6 41,h2a2 e1e8,502,102,93,999,endgame hookMate mate mateIn1 oneMove,https://lichess.org/vpUtlhPB/black#80,
B5Kr5,8/pp4k1/8/3PN2p/6n1/2P3RK/PP3r2/3R4 b - - 0 36,g6e5 f2h2,508,93,98,376,endgame hookMate mate mateIn1 oneMove,https://lichess.org/Ctxceqhg#71,
j7hgv,1r6/2p5/2pkrn2/2Np1p1p/1P1P4/2P4P/5PP1/4R1K1 w - - 0 29,e8e6 e1e6,511,97,83,453,endgame hookMate mate mateIn1 oneMove,https://lichess.org/rDtI7nNu/black#56,
2ry8y,3r4/1pp2pp1/5k1p/p3p3/PP2Pn2/2PBKP2/5P1P/R5R1 b - - 0 27,c4d3 d8d3,520,89,100,535,endgame hookMate master mate mateIn1 oneMove,https://lichess.org/WC0YCQbo#53,
x3sKl,5R2/1p4pk/p1pn2Np/4r2P/3r4/1P2PP2/P3K3/8 w - - 2 37,g8h7 f8h8,529,90,99,638,endgame hookMate mate mateIn1 oneMove,https://lichess.org/i5tAfWo5/black#72,
mO2DH,1k1r4/1pp1r3/p5p1/5pN1/1P5P/2R1pRP1/4PnB1/4K3 b - - 0 31,a3b4 d8d1,553,99,90,394,hookMate mate mateIn1 middlegame oneMove,https://lichess.org/KX85z6BG#61,
B4cDZ,6r1/2r4p/3kpR2/2Np2P1/1PbP4/P7/1K5P/8 w - - 0 40,f7e6 f6e6,557,88,97,255,endgame hookMate master mate mateIn1 oneMove,https://lichess.org/wNuyoKqd/black#78,
jKR2A,3r4/1p3k2/p3p2p/5pp1/PPP2n2/3RKP2/1B3P2/R7 b - - 0 32,c3d3 d8d3,568,108,93,2022,endgame hookMate mate mateIn1 oneMove,https://lichess.org/L0XRutk3#63,
brW6K,8/7R/3pkpp1/2nNp2p/4P2P/1r3PK1/6P1/8 w - - 4 43,f7e6 h7e7,574,98,94,1035,endgame hookMate mate mateIn1 oneMove,https://lichess.org/YZsjcXNu/black#84,
PkYuM,4r3/pkp4R/8/1p5p/1BnP1P2/P1RKP3/1r5P/8 b - - 5 32,e2d3 e8e3,584,83,100,228,endgame hookMate mate mateIn1 oneMove,https://lichess.org/S1RFMBUT#63,
