PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
60cHo,6rk/7p/p2N4/2p1p1r1/p2p4/5P1P/1PP2KP1/R7 w - - 2 32,f8g8 d6f7 h8g7 f7g5,536,94,86,697,advantage endgame fork interference short,https://lichess.org/teHrmzMp/black#62,
H82W7,rn1qkb1r/1p1b4/p1p1p1p1/4P1p1/2PP4/3B4/PP3PPP/R1B1K2R w KQkq - 0 13,f7g6 d3g6 e8e7 c1g5,541,92,79,201,interference mate mateIn2 middlegame short,https://lichess.org/8L2CNki5/black#24,Semi-Slav_Defense Semi-Slav_Defense_Marshall_Gambit
HDOvr,6rk/2p2p1p/p7/4N1r1/8/1P1P4/P1P2P1P/5R1K w - - 3 29,g6g5 e5f7 h8g7 f7g5,558,99,85,642,crushing endgame fork interference short,https://lichess.org/DgnE8t6z/black#56,
Lm7Jr,4r1k1/2p2pp1/p2p3p/1p1P4/4P1R1/3n4/PP1N1P1P/6RK b - - 4 26,a1g1 d3f2 h1g2 f2g4,640,92,73,163,crushing endgame fork interference short,https://lichess.org/erXAbJPn#51,
JJJPL,8/2r4p/4k3/3ppp2/8/1PPK4/2P3P1/7R w - - 0 43,g6f5 h1h6 e6e7 h6h7,660,89,83,96,crushing endgame interference master rookEndgame short,https://lichess.org/AUhQ06UP/black#84,
2yy6K,2r1r3/pp3pkp/6p1/P1nN3n/1P6/3PP3/3KN1PP/R4R2 b - - 0 22,b3b4 c5b3 d2d1 b3a1,671,95,95,1216,crushing fork interference middlegame short,https://lichess.org/eLsBrxP7#43,
8rE28,8/7p/5pk1/3p1p2/pr1P1P2/4K1PP/1P4R1/8 b - - 1 34,d2g2 b4b3 e3e2 b3b2,681,96,93,696,crushing endgame interference rookEndgame short,https://lichess.org/sPHv1n2j#67,
tKZiS,rn5k/ppp2prp/3q1p2/3P4/3PQ3/3BPPP1/PP3KP1/2R4R b - - 2 19,c4d3 d6g3 f2e2 g3g2 e2d1 g2h1,695,107,91,1270,crushing deflection interference long middlegame,https://lichess.org/2MaHZ3LY#37,Trompowsky_Attack Trompowsky_Attack_Other_variations
FirDB,4rk2/5pp1/1N6/1Pp1qp1p/Pn1p4/6P1/1BPP1P2/2K4R w - - 0 27,e7e5 b6d7 f8e7 d7e5,713,93,91,1047,crushing endgame fork interference master masterVsMaster short,https://lichess.org/oVPqOh9o/black#52,
aePxa,r6r/p1q2kp1/5b2/1p1p1P2/8/3Q3P/PPP5/2K2R1R w - - 0 23,c6d5 d3d5 f7f8 d5a8,718,77,82,324,advantage interference master middlegame short,https://lichess.org/tUDHhhod/black#44,
JkN4E,5k2/2r3r1/pQPp1b1q/Pp1Pp3/1P2Pp2/7P/2R3PK/2R5 w - - 2 44,g4g7 b6b8 f8f7 b8c7,725,88,95,793,crushing interference middlegame short,https://lichess.org/qBnNibz3/black#86,
k9dwn,6k1/ppr3rq/2p1p1p1/2PpPpQp/1P1B1P1P/P3PR2/6P1/6K1 w - - 1 32,c8c7 g5d8 g8f7 d8c7,730,84,74,140,crushing endgame interference short,https://lichess.org/SPABAZrG/black#62,
PXbCP,8/8/6k1/P4R2/4KP2/4P3/8/r7 b - - 0 40,b5f5 a1a4 e4e5 a4a5,739,98,94,184,crushing endgame interference rookEndgame short,https://lichess.org/p77V1BS4#79,
wQj6s,1r5r/4k2p/p3p1p1/1p4P1/2nNK3/P7/7P/1R1R4 w - - 1 34,e5c4 d4c6 e7e8 c6b8,748,83,89,1222,crushing endgame fork interference short,https://lichess.org/0cKQXpY9/black#66,
O3bcV,r6r/2qnk3/p2ppp1p/1p6/5P2/3B2Q1/PPP3PP/2KR4 w - - 0 19,f7e6 g3g7 e7d8 g7h8,750,84,100,156,crushing interference middlegame short,https://lichess.org/vrFGRvof/black#36,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
KfaoJ,r1bqrbk1/p4p2/1p2p1p1/3pP3/2p1nBQ1/2P1PN2/PPB2P1P/R5RK b - - 2 19,f1g1 e4f2 h1g2 f2g4,782,80,100,199,advantage fork interference middlegame short,https://lichess.org/8ZOm0YY9#37,
lH4Dg,1r5r/4kp1p/4bb2/pp3p2/2pN4/4P3/PPK2PPP/3R1B1R w - - 2 20,a8b8 d4c6 e7f8 c6b8,787,82,100,154,advantage fork interference middlegame short,https://lichess.org/0EC7ZXBp/black#38,
uQ9JP,8/7r/4p3/2P2k2/3P1Pp1/4K3/1R5P/8 b - - 4 44,b3b2 h7h3 e3d2 h3h2,803,80,96,353,crushing endgame interference rookEndgame short,https://lichess.org/YylJTc5g#87,
QKsnQ,3k4/4R2P/3pK3/3Pp3/2p1P3/2P5/8/7r b - - 2 55,f5e6 h1h6 e6f7 h6h7,809,93,96,719,crushing endgame interference rookEndgame short,https://lichess.org/IUuASRHQ#109,
gPyVt,1q6/p3k3/2p1pppp/3pb3/3N4/2NP2P1/P1P4P/5R1K w - - 0 28,c7b8 d4c6 e7d6 c6b8,813,79,100,285,advantage endgame fork interference short,https://lichess.org/9qIPkTZr/black#54,
j68DR,8/5p1p/3p2pk/3P4/P2Q1P2/1q5r/2R3R1/6K1 b - - 2 35,c8c2 b3b1 g1f2 b1c2,819,83,96,1294,crushing endgame interference short,https://lichess.org/ogs3WuTB#69,
fnato,2r4r/1p1qk2p/p2bpp2/2np2Q1/8/P4P2/1PPN2PP/R3K1NR w KQ - 0 19,f7f6 g5g7 e7e8 g7h8,824,82,95,3640,crushing interference middlegame short,https://lichess.org/8vcvUPxF/black#36,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
Negzt,8/p3q2p/1p3k2/1Pp1pp2/P1P5/5P1P/3Q2P1/6K1 w - - 1 42,g7f6 d2h6 f6f7 h6h7,829,79,100,122,crushing endgame interference master queenEndgame short,https://lichess.org/y3uJQIYS/black#82,
8cgCU,8/6k1/4rpp1/8/P7/1P5P/3pr1P1/3R1R1K b - - 4 45,h2h1 e2e1 d1d2 e1f1,838,78,100,178,advantage endgame interference rookEndgame short,https://lichess.org/XNX665nj#89,
4RcEh,2b4r/1p3kpp/5p2/2R1pP2/3p3r/8/6P1/5RK1 w - - 0 29,e4h4 c5c7 f7e8 c7c8 e8d7 c8h8,842,84,96,944,advantage endgame interference long skewer,https://lichess.org/cB43Apv9/black#56,
bTs1y,5k2/4p3/4P1p1/2pP1p1p/2P3rP/2K5/R5P1/8 b - - 1 39,f2a2 g4g3 c3c2 g3g2,847,83,97,573,crushing endgame interference master rookEndgame short,https://lichess.org/2zEyNfe9#77,
t0exG,4r1k1/2p5/8/1p6/3n1R2/3P4/6PP/5RK1 b - - 3 31,f6f4 d4e2 g1f2 e2f4,852,85,97,1451,crushing endgame fork interference short,https://lichess.org/o2oDQa8B#61,
FB7iX,r6r/1pp1k3/p2p3p/3Pp2q/4P2b/2NB1p1b/PPPK3P/R4RQ1 w - - 0 22,g4h3 g1g7 e7e8 g7h8,857,93,100,71,advantage interference middlegame short,https://lichess.org/4cnfrQAM/black#42,
6fYsR,8/1p6/pr2k3/6pp/P3K3/1P3R1P/5PP1/8 b - - 7 45,f5f3 b6b4 e4e3 b4b3,862,90,92,1403,crushing endgame interference rookEndgame short,https://lichess.org/FKkoC811#89,
EZtYz,3r1k2/1q4nQ/1p1p1p2/1P1Ppb1B/2P5/8/5PPP/R5K1 w - - 0 32,c8f5 h7h8 f8e7 h8g7,865,101,86,57,deflection interference mate mateIn2 middlegame short,https://lichess.org/XXIqn8US/black#62,
tkHdA,8/pp2p2R/8/6p1/1P3kP1/4r3/5K2/8 w - - 1 34,a3e3 h7f7 f4e4 f7e7,870,100,94,1567,crushing endgame interference rookEndgame short,https://lichess.org/tq1Rcrg2/black#66,
PKCuS,1r6/6p1/7p/3k3P/p2p4/P2K4/1P2RPP1/8 b - - 11 33,c2e2 b8b3 d3d2 b3b2,879,89,98,283,crushing endgame interference rookEndgame short,https://lichess.org/p6kg7fPT#65,
EV0vd,r5r1/pb2kpb1/2n1p1pp/q2pP3/3P4/3B1N2/P4PPP/1Q3RK1 w - - 0 17,c8b7 b1b7 e7f8 b7a8,880,84,91,245,advantage fork interference middlegame short,https://lichess.org/51JclFPN/black#32,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation
4O5aR,r3b1k1/3n1pbp/1p1P2p1/p1qP4/2PpBP2/P6P/2Q1N1PB/1R3RK1 b - - 0 24,d3e4 d4d3 g1h1 d3c2,904,79,100,107,advancedPawn advantage discoveredAttack interference master middlegame short,https://lichess.org/cgsTCO3v#47,
