PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
WLCgH,3q1rk1/1pp2p2/4p1pp/4n3/7P/1P6/1B3PP1/1K1R3R w - - 0 26,d3e5 d1d8 f8d8 b2e5,650,88,80,143,advantage endgame intermezzo master short,https://lichess.org/sCXFHAVh/black#50,
Ph2oY,r3q2k/p1pp1rpp/1p6/3B4/8/P7/1P4PP/R3R1K1 w - - 0 23,f2f7 e1e8 a8e8 d5f7,713,82,72,162,advantage endgame intermezzo short,https://lichess.org/Mh1Jyvrn/black#44,
aCewA,1r3rk1/p4pp1/1p6/2p1pb1p/2Pp1R1P/P2Q1B1R/1PP3P1/5K2 b - - 0 24,e4f4 f5d3 c2d3 e5f4,728,104,60,36,advantage intermezzo middlegame short,https://lichess.org/4F5yajOv#47,
QQGPf,5r1k/1pp3p1/1p1p3p/8/2Bn1R2/7P/PP2RPP1/6K1 b - - 0 24,e4f4 d4e2 c4e2 f8f4,744,81,100,320,advantage endgame intermezzo short,https://lichess.org/NPTdcfZV#47,
H22Nr,r3kb1r/pp3ppp/2n1p3/8/3q4/5B2/PP3PPP/R1BQK2R w KQkq - 0 12,d5d4 f3c6 b7c6 d1d4,765,134,83,20,crushing intermezzo middlegame short,https://lichess.org/x5hOrxyy/black#22,Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
ppcBi,r4rk1/p1pq1pp1/2n2n1p/1B2p2P/1B1pP1P1/3Q1P2/2P5/R3K1NR b KQ - 0 17,d2b4 c6b4 b5d7 b4d3 c2d3 f6d7,777,93,91,337,crushing exposedKing intermezzo long middlegame,https://lichess.org/CKt1R4kR#33,Kings_Pawn_Game Kings_Pawn_Game_Kings_Head_Opening
FsN5a,6k1/5pp1/p1p4p/4p3/P1P1n3/1rNR3P/6P1/7K w - - 0 33,f6e4 d3d8 g8h7 c3e4,784,96,91,450,advantage endgame intermezzo short,https://lichess.org/6ORNTvxd/black#64,
cPi5X,r3kb1r/pp3ppp/2n1p3/8/3q4/5B2/PP3PPP/R1BQ1RK1 w kq - 0 13,d5d4 f3c6 b7c6 d1d4,792,88,97,818,crushing intermezzo middlegame short,https://lichess.org/4oCiLeDp/black#24,Sicilian_Defense Sicilian_Defense_Alapin_Variation
ahK8f,2kr3r/1bpnq3/1p1b4/1P1pn1Bp/8/1N1P1NP1/4PPB1/R2Q1RK1 b - - 0 18,c1g5 e5f3 e2f3 e7g5,796,102,94,867,crushing intermezzo kingsideAttack middlegame short,https://lichess.org/uiBa23qD#35,English_Opening English_Opening_Anglo-Indian_Defense
YyyfU,4r3/1bR2rkp/p3Q1p1/8/P5P1/1Pp5/2P2P1P/4R1K1 b - - 0 30,d7c7 e8e6 e1e6 f7c7,800,80,85,193,advantage endgame intermezzo short,https://lichess.org/eAgR8GC2#59,
gqgZ5,3rk1nr/ppp1pp1p/2n3p1/4b3/8/5B2/PPPN1PPP/R1BKR3 w k - 0 11,g7e5 f3c6 b7c6 e1e5,809,98,90,567,advantage intermezzo middlegame short,https://lichess.org/wUWX8ku5/black#20,Modern_Defense Modern_Defense_Other_variations
RASE4,r3k2r/1p3p2/p1n1p2p/6p1/P2qB3/6P1/1P3P1P/R2Q1RK1 w kq - 0 17,d6d4 e4c6 b7c6 d1d4,811,186,100,14,crushing intermezzo middlegame short,https://lichess.org/4rlxFsSV/black#32,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
3Ebie,r3kb1r/pp3ppp/2n1pn2/8/3q4/5B2/PP3PPP/RNBQ1RK1 w kq - 0 12,d5d4 f3c6 b7c6 d1d4,816,88,96,844,crushing intermezzo opening short,https://lichess.org/ZrP6VdV4/black#22,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation
0IC0n,r4rk1/pp3pp1/2p1pn1p/7q/3PN3/2P5/PP2QPP1/R4RK1 w - - 0 19,g5h5 e4f6 g7f6 e2h5,821,79,100,301,crushing intermezzo kingsideAttack middlegame short,https://lichess.org/ab9A59MG/black#36,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation
rTP3a,8/1R2rkpp/1B1b4/2N1p3/5p2/2P5/1P4PP/6K1 b - - 0 32,a7b7 d6c5 b6c5 e7b7,836,79,99,635,advantage endgame intermezzo short,https://lichess.org/cLaLEcVw#63,
mwqzx,r3k2r/ppp2ppp/2n1p3/8/3q4/5BP1/PP1QPP1P/R4RK1 w kq - 0 13,d5d4 f3c6 b7c6 d2d4,842,79,98,1260,advantage intermezzo middlegame short,https://lichess.org/PEeT1ifw/black#24,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
VtyqP,r3k2r/p1P2ppp/5p2/q4b2/2BnP3/2Q2P2/4N1PP/1R3RK1 b kq - 0 18,c1c3 d4e2 c4e2 a5c3,854,98,94,2783,crushing intermezzo middlegame short,https://lichess.org/qdnXJWIn#35,Slav_Defense Slav_Defense_Other_variations
LGiiW,r1bqkb1r/1ppn1p2/p2pp3/6B1/P1BPP2n/2N2N2/1PP1Q1PP/R4RK1 b kq - 0 11,c1g5 h4f3 e2f3 d8g5,857,85,94,1407,advantage intermezzo kingsideAttack middlegame short,https://lichess.org/CP8AhuFu#21,Rat_Defense Rat_Defense_Small_Center_Defense
