PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
hfu6n,3rk3/p4p1r/2p2Q2/4p2p/4P3/2q5/5PPP/3R2K1 w - - 0 25,a8d8 d1d8,500,98,90,161,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/M5VQoHia/black#48,
x8XEi,1R2qk2/6p1/4p1Qp/3pP3/p3r3/7P/6P1/7K w - - 10 38,d7e8 b8e8,507,108,82,740,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/0s7p6ZX4/black#74,
6QrGM,4r1k1/1p4pr/p2p2Qp/n1pq4/8/6BP/P4PP1/4R1K1 w - - 0 26,a8e8 e1e8,514,97,82,504,killBoxMate mate mateIn1 middlegame oneMove,https://lichess.org/wxg04f4O/black#50,
Dw2kd,4r1k1/Q5p1/1p5p/3R4/5p2/2P3qP/PP4P1/4NK2 b - - 0 30,f3e1 e8e1,533,99,98,1403,endgame killBoxMate master mate mateIn1 oneMove,https://lichess.org/6aw6KxmB#59,
Kt5RT,3rk3/5p1r/4pQp1/pp2p2p/1Pq1P3/2p5/P1P2P2/2KR4 w - - 0 31,c8d8 d1d8,535,104,71,130,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/IW1X95ON/black#60,
wj2wv,4r1kB/p6p/8/2p2p2/2P5/P3rPPq/1Q3R1P/R5K1 b - - 1 29,g7h8 e3e1 a1e1 e8e1 f2f1 e1f1,546,100,85,792,killBoxMate long mate mateIn3 middlegame,https://lichess.org/jhZYaRzu#57,
qVGA1,6k1/1p1b1p1p/3q1bpQ/p7/1P1pR3/P2P3P/1r3PP1/4R1K1 w - - 0 26,a7a5 e4e8 d7e8 e1e8 d6f8 e8f8,557,105,84,713,killBoxMate kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/KW1fDdsC/black#50,
3IvWZ,1RQ5/6pk/7p/3p4/3Ppr2/P5Pq/7P/6K1 b - - 3 31,a6c8 f4f1,566,96,96,939,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/N2gmbgTp#61,
OUS1k,1k6/p5b1/Qp1r1q2/P3p3/1P6/1N4pP/2R3P1/3r1BK1 w - - 3 37,d8d6 c2c8,572,95,83,779,killBoxMate mate mateIn1 middlegame oneMove,https://lichess.org/KuB5B62m/black#72,
8BaQ4,6k1/5ppp/b1p5/2B1p1Q1/p1P1P3/1P4Pq/P6P/3r1RK1 b - - 2 27,f6f1 d1f1,580,103,59,339,endgame killBoxMate kingsideAttack mate mateIn1 oneMove,https://lichess.org/DCHdTMjH#53,
YBCZN,6k1/pp2rp2/2p5/2Pp1ppp/3P4/2R2Pq1/PPQ3B1/5K2 b - - 5 30,c1c2 e7e1,593,99,93,1329,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/Cz8beaJa#59,
GfEbb,4r1k1/p1p2r1p/1pb1RppQ/5p2/8/1Pq2P2/P1P3PP/4R2K w - - 6 26,a8e8 e6e8 c6e8 e1e8 f7f8 e8f8,596,91,89,188,killBoxMate kingsideAttack long mate mateIn3 middlegame,https://lichess.org/6uRDa3iC/black#50,
Fq0fz,8/1k3p1P/pp3p2/3PpP2/2Pr4/qPQ4P/P6R/1K1R4 b - - 0 44,f1d1 d4d1 c3c1 d1c1,602,95,99,720,endgame killBoxMate mate mateIn2 queensideAttack short,https://lichess.org/yomVCywj#87,
27zl6,4r1k1/2Q2pp1/1p5p/3P4/8/2P2RPq/PP5P/4R1K1 b - - 0 30,a1e1 e8e1 f3f1 e1f1,607,96,87,347,endgame killBoxMate mate mateIn2 short,https://lichess.org/rO9o8EiH#59,
OoEk6,1r4k1/pp2Rr1p/5ppQ/8/3P4/8/q4PPP/4R1K1 w - - 0 24,d5a2 e7e8 b8e8 e1e8 f7f8 e8f8,614,98,89,623,endgame killBoxMate long mate mateIn3,https://lichess.org/zf6PhjUd/black#46,
MrMas,r4k2/ppp1r1p1/5bQ1/8/7P/2PR4/5qP1/2KR4 w - - 0 26,a2f2 d3d8 a8d8 d1d8 e7e8 d8e8,616,94,65,284,killBoxMate long mate mateIn3 middlegame,https://lichess.org/R22auKO8/black#50,
uOocz,5kr1/1p4p1/5pQ1/3P4/2P1R3/2q3P1/5PKP/1q6 w - - 0 45,b2b1q e4e8,624,87,93,969,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/JwOp4RCr/black#88,
ZYQoK,4r1k1/pp4pp/3P1p2/2p5/P1P2PN1/1P3QPq/7P/4R1K1 b - - 0 31,a1e1 e8e1 f3f1 e1f1,627,93,96,906,endgame killBoxMate kingsideAttack mate mateIn2 short,https://lichess.org/RcUx8w4P#61,
Gy9BA,3r2k1/1p4Pp/8/4p3/p4p2/PqB2P2/1P3QP1/2K2B1R b - - 2 27,c2c1 d8d1,634,94,96,695,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/pcxwRwXf#53,
