PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
3DLn6,1nb2rk1/r3qppp/4p3/p7/1ppPQ3/2P2N2/PPB2PPP/R3R1K1 w - - 1 16,a8a7 e4h7,503,81,100,94,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/iekcrgsP/black#30,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
SgDvZ,3rk2B/1b1p1p1p/3qp1p1/1B6/P3P3/2P2P1Q/1P3bPP/RN5K b - - 0 22,f6h8 d6d1 b5f1 d1f1,506,88,100,183,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/UqVFj7Ic#43,
QIF2r,3r1rk1/1pq1bppp/p1n5/4p3/2P1Q3/1N1B4/PP3PPP/3R1RK1 w - - 5 17,a8d8 e4h7,514,86,100,179,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/MvG7BkZe/black#32,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
QIkFm,8/2q2k2/p3r1p1/1p1prpp1/3Q4/P1P4P/1P1R1PP1/3R2K1 b - - 0 35,a2a3 e5e1 d1e1 e6e1,517,89,100,394,endgame kingsideAttack mate mateIn2 short,https://lichess.org/UydtJorI#69,
SUO9X,5rk1/1b4b1/p3p1Q1/1pp1pr2/7R/1P1P4/P1PN2PP/5R1K b - - 0 27,h3h4 f5f1 d2f1 f8f1,521,93,100,189,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/kl4imob9#53,
tfB9k,3r2k1/1pp2pp1/2n2q1p/p7/P6P/2P5/1PB1QPP1/4R1K1 w - - 0 30,f5f6 e2e8 d8e8 e1e8,534,83,100,176,endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/2uoF0V19/black#58,
Y6X7Y,3r2k1/1p1r1ppp/1pb2b2/2p5/5P1n/PPNB4/2PBR1PP/4R2K w - - 1 24,g6h4 e2e8 d8e8 e1e8,536,97,100,275,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/s6NnrGUz/black#46,
n2i2a,r4rk1/1b2bppp/p3p1B1/3qP3/P2p4/6BP/1P3PP1/RN1Q1RK1 b - - 0 18,d3g6 d5g2,542,91,100,321,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/MceSn328#35,Sicilian_Defense Sicilian_Defense_Closed
6nxvI,r4rk1/bb1pqppp/p7/1p2P1N1/8/1n1Q4/P1P2PPP/R1B1R1K1 w - - 0 17,a5b3 d3h7,545,93,100,751,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/b8rXfG5h/black#32,Sicilian_Defense Sicilian_Defense_Wing_Gambit
T884x,1b2r1nr/1k4pp/1Bpqpp2/P7/4P3/4Q3/1P3PPP/RN3RK1 b - - 2 18,e2e3 d6h2,554,79,100,334,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dKi4frx9#35,French_Defense French_Defense_Normal_Variation
GFKiM,3q3k/p2rn1p1/2P2p1p/2R1p3/4P3/Q3B1Pb/P4P1P/2R3K1 b - - 0 30,b5c6 d7d1 c1d1 d8d1,558,86,100,236,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/xuPFHzWh#59,
nwhCn,r2q1rk1/ppp1bpp1/2b4p/3n4/3Q4/1P2PN1P/PBP2PP1/2KR3R w - - 0 13,f6d5 d4g7,560,92,100,52,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/cSsFFZar/black#24,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
p579O,r4rk1/1bqnbppp/pp2p3/3pP3/3P1P2/P1NQBN2/1nB3PP/R4RK1 w - - 0 17,c4b2 d3h7,569,83,100,87,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/BGo8Q62F/black#32,Sicilian_Defense Sicilian_Defense_Alapin_Variation
HZJNa,3r1r1k/pB4pp/8/4Bp2/P1QP1Pq1/4PR1b/6PP/R5K1 b - - 3 22,f1f3 g4g2,629,84,100,343,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/PpOj3zfw#43,
zGSFM,4r1k1/prp2ppp/5b2/2pqp3/Q7/2PP1N2/PP3PPP/3RR1K1 w - - 0 18,d8f6 a4e8,631,85,100,160,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/H77WEbvJ/black#34,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
0Ek0N,r5k1/pp1n2pp/2pB2r1/3p2q1/P2Pp3/1PN1P2P/4QPP1/R4RK1 b - - 0 18,a3d6 g5g2,646,84,100,102,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/aqcq9YoW#35,Slav_Defense Slav_Defense_Quiet_Variation
SUyVs,1r3rk1/3qb1pp/p2pp3/1pp1p1N1/4Pn2/P6Q/1PPP1PPP/R1B2RK1 w - - 6 18,h5f4 h3h7,651,82,100,54,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mCaZLdeT/black#34,Sicilian_Defense Sicilian_Defense_Moscow_Variation
2gXwM,r4rk1/ppp2ppn/2b1pn2/3qN3/3P3Q/4B3/PPPN2PP/R4RK1 b - - 4 14,f3e5 d5g2,659,80,100,78,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/rCoO7tdx#27,French_Defense French_Defense_Alapin_Gambit
84EIF,3r2k1/pp3ppp/4pn2/4N3/P7/1q2P1BP/1P3PP1/3R2K1 w - - 0 23,c8d8 d1d8 f6e8 d8e8,664,87,100,61,endgame kingsideAttack mate mateIn2 short,https://lichess.org/8vEBx6d6/black#44,
