PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
gmLzi,8/K1k5/2P2p2/1P3P2/6n1/8/8/8 w - - 0 66,e3g4 b5b6 c7c6 b6b7,512,96,100,114,advancedPawn crushing endgame knightEndgame master short,https://lichess.org/iIM9SpIy/black#130,
ObTyd,8/8/8/8/6p1/3N1p2/5K1k/8 b - - 3 67,f1f2 g4g3 f2f3 g3g2 d3c1 g2g1q,517,96,100,230,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/DUA4KAoD#133,
o121F,8/8/8/4p1P1/1k6/p4n2/K7/8 w - - 0 69,h4f3 g5g6 f3d2 g6g7,526,97,100,131,advancedPawn advantage endgame knightEndgame short,https://lichess.org/DfakUFpQ/black#136,
mq8JV,4K3/8/4kP2/8/8/5n2/8/8 w - - 1 55,d5e6 f6f7 f3e5 f7f8q,530,85,100,225,advancedPawn crushing endgame knightEndgame master masterVsMaster promotion short,https://lichess.org/2YdeompE/black#108,
qU93u,8/8/5k2/P1K3p1/6Pp/2p2N1P/P7/8 b - - 0 62,a4a5 c3c2 f3d2 c2c1q,537,95,100,248,advancedPawn crushing endgame knightEndgame promotion short,https://lichess.org/G2pAnzbZ#123,
rlFlM,4k3/4P3/2N5/8/1K6/7p/P5PP/8 b - - 1 59,a3b4 h3g2 a2a4 g2g1q,541,84,100,486,advancedPawn advantage endgame knightEndgame master promotion short,https://lichess.org/eM6dDrgp#117,
0NJEi,5K2/8/3k2P1/8/3p4/3n4/8/8 w - - 0 62,e5d3 g6g7 d3e5 g7g8q,545,105,100,183,advancedPawn crushing endgame knightEndgame promotion short,https://lichess.org/tUt1m1pL/black#122,
23LFj,8/3k1p2/PK6/6p1/3n4/8/8/8 w - - 0 53,c6d4 a6a7 d4e6 a7a8q,553,87,100,177,advancedPawn advantage endgame knightEndgame promotion short,https://lichess.org/ON8Nzgq4/black#104,
lqZE7,8/8/8/7N/1p5P/2k5/2p5/2K5 b - - 0 62,f4h5 b4b3 h5g3 b3b2,559,93,100,70,advancedPawn endgame knightEndgame mate mateIn2 short,https://lichess.org/hLUlh9Zg#123,
Hv8R9,8/2n2K2/2P1p3/p2k4/P5P1/8/8/8 w - - 2 58,e4d5 g4g5 d5c6 g5g6,562,94,98,390,crushing endgame knightEndgame master quietMove short,https://lichess.org/LQ4s4McL/black#114,
