PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
pJpxf,1b2r1k1/ppn2ppp/2pq1p2/8/P2P3N/1PP3P1/1B2QP1P/4R1K1 w - - 6 20,d8e8 e2e8 c7e8 e1e8 d6f8 e8f8,531,90,100,183,advantage kingsideAttack long middlegame,https://lichess.org/NtV8yY6z/black#38,
cUO3J,r5k1/5pp1/3Rp2p/8/1p2R2N/1P6/5PPP/6K1 b - - 0 25,d1d6 a8a1 d6d1 a1d1 e4e1 d1e1,539,89,100,166,backRankMate endgame long mate mateIn3,https://lichess.org/9WTHR4d8#49,
hvRzi,8/8/3K4/2P3p1/6kp/8/8/8 w - - 0 61,h3g4 c5c6 h4h3 c6c7 h3h2 c7c8q,551,101,100,302,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/oxbfjKxp/black#120,
O0lYD,6k1/1p3p1p/2q2bpB/3R1b2/1pB5/1r2P2P/5PP1/3R2K1 w - - 2 30,c3f6 d5d8 f6d8 d1d8 c6e8 d8e8,555,83,100,163,long mate mateIn3 middlegame sacrifice,https://lichess.org/qOUh7RPo/black#58,
6mlr1,4R3/P7/1pNk4/1Pp5/2B4p/rP4pP/6P1/7K b - - 6 46,e7e8 a3a1 e8e1 a1e1 c4f1 e1f1,571,92,100,92,endgame long mate mateIn3,https://lichess.org/TTywyaky#91,
p5163,8/8/8/PK6/7p/6k1/8/8 w - - 1 61,h3g3 a5a6 g3f2 a6a7 h4h3 a7a8q,577,83,100,67,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/0vZWLHNl/black#120,
sZ0bE,8/8/6K1/1k5P/p7/8/8/8 b - - 1 44,h6g6 a4a3 h5h6 a3a2 g6f7 a2a1q,585,87,100,140,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/68aviwNi#87,
YcoKq,1r6/k2n2pp/p1pP1p2/Q1P1p3/R1b5/4B3/5PPP/6K1 b - - 3 36,a1a4 b8b1 e3c1 b1c1 a5e1 c1e1,594,86,100,224,backRankMate endgame long mate mateIn3,https://lichess.org/pGg7KPBC#71,
CQKR9,8/6K1/6P1/5Pk1/8/8/b7/8 w - - 5 54,h5g5 f5f6 a2b1 f6f7 b1g6 f7f8q,612,82,100,95,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/Jzeq6mea/black#106,
OUXHr,8/8/4K1k1/2p3P1/7P/8/8/8 b - - 0 51,d5e6 c5c4 e6e5 c4c3 e5f4 c3c2,616,81,100,183,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/Zy6oBr5G#101,
zvs5H,1r2k3/5pq1/p3p1p1/3p4/2pP3Q/2P4R/P4PPK/8 w - - 12 33,f8e8 h4h8 g7h8 h3h8 e8d7 h8b8,624,89,100,117,crushing endgame long skewer,https://lichess.org/kJxPBZXP/black#64,
XAlCr,6k1/5ppp/p3p3/1p2Pn2/3q1P2/P1r2Q1P/2P2RPK/8 w - - 4 30,c8c3 f3a8 c3c8 a8c8 d4d8 c8d8,625,90,100,218,backRankMate endgame long mate mateIn3,https://lichess.org/O4aRyuuC/black#58,
8ibKH,2r2rk1/pbq2ppp/1p2p3/3pP3/1P2n3/1P3NP1/PB2QPBP/2R1K2R b K - 0 16,c3b4 c7c1 b2c1 c8c1 e2d1 c1d1,631,90,100,331,advantage long middlegame,https://lichess.org/ziG2qkJc#31,Indian_Defense Indian_Defense_Tartakower_Attack
Hm8Dl,8/8/3pRrk1/2pP4/2P1K1p1/6P1/8/8 w - - 14 61,g5g6 e6f6 g6f6 e4f4 f6g6 f4g4,635,94,100,310,crushing endgame long rookEndgame,https://lichess.org/KFs0UMf5/black#120,
wyUvi,8/2R2pk1/4p2p/4P1p1/r2R4/8/5PPP/6K1 b - - 0 38,d1d4 a4a1 c7c1 a1c1 d4d1 c1d1,644,86,100,216,backRankMate endgame long mate mateIn3 rookEndgame,https://lichess.org/4cuuOw6i#75,
