PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2bZHo,8/5Bk1/8/5R1p/P7/3r1p2/1b3P2/5K2 b - - 0 44,b3f7 d3d1,501,92,100,107,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/Lb2wfk5z#87,
nkeFQ,4r2k/5Qpp/8/5PPn/8/1pqB3P/P1P5/1K6 w - - 0 34,a8e8 f7e8,508,99,97,422,backRankMate endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/lDSeLHdM/black#66,
CTA4x,r3qrk1/pp2bppp/1nb1p3/8/4QB2/2P5/PPB2PPP/RN1R2K1 w - - 9 16,d7c6 e4h7,513,105,100,193,kingsideAttack master masterVsMaster mate mateIn1 oneMove opening,https://lichess.org/1006gkRP/black#30,Sicilian_Defense Sicilian_Defense_Alapin_Variation
eSuLS,8/R1p2qk1/2p2Qp1/4P2p/1P1pp1b1/8/P4P2/6K1 b - - 1 35,h4f6 f7f6 e5f6 g7f6,524,92,100,241,crushing endgame master masterVsMaster short,https://lichess.org/RlA2gEVs#69,
TcVLt,5rk1/5pbp/p1nB2p1/1p2p3/4Qnq1/2P5/PP3P1P/1K1R1B1R b - - 0 23,c2e4 g4d1,528,93,100,74,hangingPiece master masterVsMaster mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/SFbaKlMS#45,
mq8JV,4K3/8/4kP2/8/8/5n2/8/8 w - - 1 55,d5e6 f6f7 f3e5 f7f8q,530,85,100,225,advancedPawn crushing endgame knightEndgame master masterVsMaster promotion short,https://lichess.org/2YdeompE/black#108,
Ex55M,2r1r1k1/pp3p2/1B4p1/3Pq3/2B2pb1/1Q1P4/PP3PPP/R3R1K1 b - - 0 20,e3b6 e5e1 a1e1 e8e1,539,89,100,209,backRankMate master masterVsMaster mate mateIn2 middlegame short,https://lichess.org/F6wA89hh#39,
wAvqg,4r2k/pp4pp/2n5/3N4/3q2b1/6P1/PP4rP/R3RN1K w - - 0 25,d8e8 e1e8,542,81,100,93,backRankMate master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/p3dbQRmb/black#48,
rQXMb,6k1/6pp/5p2/8/P1b2P2/1r1n3P/1B6/RK5R b - - 0 32,c3b2 b3b2,548,89,100,127,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/bf1cUH5L#63,
PgfNi,2br2k1/r3bppp/2q5/4BP2/p1pPn3/P1N3Q1/1P4PP/R4RK1 w - - 0 25,f6e4 g3g7,556,88,100,294,kingsideAttack master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/i0L6RYL5/black#48,
