PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
fImTO,6k1/1p3ppp/p7/q6P/8/2p4P/8/4R1K1 w - - 0 39,d5a5 e1e8,503,99,100,48,backRankMate endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/rmtlhGXo/black#76,
aBhSh,r1b1k2r/pp2ppbp/1q1p2p1/6B1/4P1PQ/P6N/1PP3PP/1K1R1B1R b kq - 0 14,f3g4 b6b2,512,88,100,432,master mate mateIn1 oneMove opening queensideAttack,https://lichess.org/TXyEvSxV#27,Trompowsky_Attack Trompowsky_Attack_Other_variations
tCjx7,5r1k/6p1/3PpR2/p2q3r/1pNp4/3B2K1/PP6/4R3 w - - 0 32,a8f8 f6f8,518,86,100,122,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/Ei0CXiuY/black#62,
TSamE,2r2rk1/pp2pp1p/3p3q/3P1Np1/5bP1/2P2P2/PP2Q1KP/3R1R2 b - - 1 24,d4f5 h6h2,521,101,100,170,master mate mateIn1 middlegame oneMove,https://lichess.org/s0EnjpEW#47,
DzVeS,5Q2/8/8/8/5K1k/8/8/6q1 w - - 0 81,g2g1q f8h8,528,101,100,342,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/F5mxmAQ5/black#160,
R2U3b,r3k2r/1p1n1ppp/1qp2n2/3NP3/p4B2/b2QPN2/1PP2PPP/1K1R3R b kq - 0 12,c3d5 b6b2,539,91,100,297,master mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Kz4nPXQb#23,Rapport-Jobava_System Rapport-Jobava_System_Other_variations
4hWr6,4k3/3r3p/6p1/3bP3/P2Q4/1P3PP1/2P3KP/8 b - - 2 49,c5d4 d5f3 g2f2 d7d4,544,86,100,228,advantage discoveredAttack endgame master short,https://lichess.org/uMPJyklc#97,
0WTYH,5rk1/5ppp/p4b2/1r3Q2/8/2n1P1P1/2B2PKP/8 w - - 6 30,b1b5 f5h7,552,94,100,161,endgame master mate mateIn1 oneMove,https://lichess.org/GpeXmI5X/black#58,
ySRLf,4rk2/7p/6p1/8/3B4/1B5b/P4P1P/4R2K b - - 0 32,e7e1 e8e1,558,88,100,90,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/t0N3WonQ#63,
Mj1II,r2r1nk1/1q3ppp/4p3/1PB1P3/p3PP2/6P1/P2Q2BP/3R2K1 w - - 1 27,d7f8 d2d8 a8d8 d1d8,567,91,100,921,advantage master middlegame short,https://lichess.org/8L3vzCl7/black#52,
exT9y,5k2/1b4pp/pq1N2r1/1p6/8/2P4P/PP2RP2/R4K2 w - - 0 26,g8f8 e2e8,574,91,100,104,endgame master mate mateIn1 oneMove,https://lichess.org/HLGwdLoo/black#50,
bWZ0v,4r3/pkpnr1Bp/1p6/8/8/2P1R3/P1P3PP/2K1R3 b - - 0 26,e5g7 e7e3 e1e3 e8e3,575,89,100,358,advantage endgame master short,https://lichess.org/2Scf1gsK#51,
0OidU,5k2/3r1pbp/p2N4/PbpN1p2/1p6/1P4P1/1PK4P/4R3 w - - 10 45,b7d7 e1e8,583,84,100,345,endgame master mate mateIn1 oneMove,https://lichess.org/jqHUveP2/black#88,
o6gzP,r3r1k1/pp3pp1/2ppbB2/q7/2n1PP2/2PQ1N1P/2P5/2K1RBR1 b - - 0 20,g5f6 a5a1,588,91,100,276,master mate mateIn1 middlegame oneMove,https://lichess.org/I3vgcyHa#39,
mo2PT,3r2k1/pp5p/6p1/2p2r1n/2N1q3/2P2P1P/PP6/3R1RK1 w - - 0 22,e7e4 d1d8 e4e8 d8e8,590,89,100,278,crushing hangingPiece master middlegame short,https://lichess.org/4QJtQx8u/black#42,
rYKVK,3k4/4p2r/Q2P1p2/1p6/1Pq3b1/2P1b1B1/1P4PP/5R1K b - - 2 39,g1h1 c4f1,612,90,100,319,hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/DSUyqhyM#77,
MIX0n,4R3/8/8/8/8/3K4/pr6/1k6 w - - 2 86,a1b1 e8e1,616,86,100,151,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/Gk5W2Fgp/black#170,
qYwOU,2kr2nr/pbp5/1p3p2/3q2pp/P2P4/7P/3NBPP1/R1BQ1RK1 b - - 0 15,c3d4 d5g2,620,80,100,117,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/H79x00lE#29,French_Defense French_Defense_Exchange_Variation
DOKuy,r1b1kb1r/ppp2ppp/4q3/4p1B1/1n2P3/5N2/PPP2PPP/R2QKB1R w KQkq - 2 9,f6e6 d1d8,628,86,100,76,master mate mateIn1 oneMove opening,https://lichess.org/EZ39q84Z/black#16,Four_Knights_Game Four_Knights_Game_Other_variations
eKvE1,1r6/6p1/2BR2n1/p1N3k1/P3pnP1/7p/5P1P/5K2 b - - 3 38,b7c5 b8b1 d6d1 b1d1,634,90,100,180,endgame master mate mateIn2 short,https://lichess.org/X38fZ1OR#75,
NYg8Z,r1bqr2k/p3bppp/npp5/3pPN2/3n1PQ1/6P1/PP4BP/R1B2RK1 w - - 0 18,e6d4 g4g7,639,100,100,38,kingsideAttack master mate mateIn1 oneMove opening,https://lichess.org/VFOEiFV9/black#34,Queens_Indian_Defense Queens_Indian_Defense_Classical_Variation
8bHUm,4r3/pp3kp1/3Br3/8/P1pP2p1/1nP2P2/8/1R2RNK1 b - - 0 33,g3d6 e6e1 b1e1 e8e1,662,78,100,347,advantage master middlegame short,https://lichess.org/4REwAGXI#65,
wrmx3,8/8/1k6/4p1p1/K3PpPp/5P1P/8/8 b - - 5 85,b4a4 b6c5 a4b3 c5d4,666,88,100,156,crushing endgame master pawnEndgame short,https://lichess.org/w0euqzmX#169,
