PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
s3RZL,2r3kr/2q2pp1/7p/4P3/1Q1R1B2/P7/1P3PPP/2R3K1 b - - 2 23,f1c1 c7c1 f4c1 c8c1 d4d1 c1d1 b4e1 d1e1,505,104,68,277,backRankMate mate mateIn4 middlegame veryLong,https://lichess.org/MSZzSSZz#45,
fRlzg,7k/3nr1pp/8/R7/4p3/4P3/5PKP/3r4 w - - 0 33,e8e7 a5a8 d7b8 a8b8 d1d8 b8d8 e7e8 d8e8,542,107,83,280,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/mlIvqeMU/black#64,
Y0wgK,6k1/n2r1p1p/p4Pp1/4r3/2R5/8/PP4PP/2R4K w - - 4 33,c6a7 c4c8 a7c8 c1c8 d7d8 c8d8 e5e8 d8e8,545,91,100,206,endgame mate mateIn4 sacrifice veryLong,https://lichess.org/7anhFeTL/black#64,
JZthD,4k3/p2R1p2/5p1p/1P2pB2/P1R5/r7/5PPP/6K1 b - - 3 33,d1d7 a3a1 f5b1 a1b1 c4c1 b1c1 d7d1 c1d1,560,91,72,202,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/MQ4IwauV#65,
jIo07,6k1/5p1p/2r3pB/4b3/2Pp3q/1P6/2P2PP1/R4K2 w - - 0 29,c8c6 a1a8 e5b8 a8b8 c6c8 b8c8 h4d8 c8d8,567,97,94,204,endgame mate mateIn4 veryLong,https://lichess.org/2lDKOAgh/black#56,
MZD66,6k1/r4ppp/4p3/1RP1P3/3P1B2/5N2/5PPP/6K1 b - - 0 35,b1b5 a7a1 b5b1 a1b1 f4c1 b1c1 f3e1 c1e1,571,86,87,229,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/dKQG5wC1#69,
otuOu,2r2rk1/2q2pbp/p3p1p1/1p1pP3/3R1B2/7P/PP2RPPQ/1B4K1 b - - 0 24,d1d4 c7c1 f4c1 c8c1 d4d1 c1d1 e2e1 d1e1,578,98,84,452,backRankMate fork mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/8pwWVGl6#47,
9AzAK,7k/p5pp/1p6/2q5/5rPP/1P1p4/P1n1rRQ1/2R3K1 w - - 0 37,f8f4 g2a8 e2e8 a8e8 f4f8 e8f8 c5f8 f2f8,580,91,85,395,backRankMate mate mateIn4 middlegame veryLong,https://lichess.org/GdKL7CI0/black#72,
rd35J,1r6/3R1pkp/4B1p1/Q3P3/8/8/2R2PPP/6K1 b - - 0 32,b3e6 b8b1 c2c1 b1c1 d7d1 c1d1 a5e1 d1e1,587,107,80,187,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/ED3r9mSl#63,
h4685,7k/p5pp/5q2/8/2P5/2bP3b/P3rP1P/1R4K1 w - - 0 31,e8e2 b1b8 h3c8 b8c8 e2e8 c8e8 f6f8 e8f8,591,88,100,197,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/gyiMnfjY/black#60,
vaAfE,1r3k2/pr1p1ppp/8/4R3/8/2N5/P1R2PPP/6K1 b - - 0 26,b5c3 b7b1 c3b1 b8b1 c2c1 b1c1 e5e1 c1e1,595,95,88,552,backRankMate endgame mate mateIn4 sacrifice veryLong,https://lichess.org/IBscyXfW#51,
1dHYp,6k1/p1p2ppp/2p5/5q2/7n/2P1r3/P1Pr3P/1R4KR w - - 0 26,g6h4 b1b8 f5c8 b8c8 d2d8 c8d8 e3e8 d8e8,609,102,84,230,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/dd6BV18u/black#50,
