PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
vCCbv,6k1/3r1p1p/rp4p1/8/1P1B4/3pP2P/5PP1/2Rb2K1 w - - 0 33,a8a6 c1c8 d7d8 c8d8,501,85,100,78,endgame mate mateIn2 short,https://lichess.org/MJFhrWpe/black#64,
SgDvZ,3rk2B/1b1p1p1p/3qp1p1/1B6/P3P3/2P2P1Q/1P3bPP/RN5K b - - 0 22,f6h8 d6d1 b5f1 d1f1,506,88,100,183,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/UqVFj7Ic#43,
cvyG9,6k1/5ppp/4p3/2Np1b2/1q1P4/5N2/5PPP/R5K1 w - - 0 27,b8b4 a1a8 b4b8 a8b8,512,86,100,380,backRankMate endgame mate mateIn2 short,https://lichess.org/MtJOArMf/black#52,
oZs3t,5k2/2R5/5K2/p3p3/P2pP3/1r6/8/8 w - - 0 52,d3b3 c7c8,517,91,100,261,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/Y6jBzeVM/black#102,
vRqvE,3r2k1/5pp1/p6p/1p2P1b1/1P2R3/P7/1B3PPP/6K1 b - - 0 27,e1e4 d8d1 e4e1 d1e1,540,87,100,51,backRankMate endgame mate mateIn2 short,https://lichess.org/Ufm0zhep#53,
3dQC1,4r2k/2qb2pp/n1p5/5p2/p2P1b2/PpPB1N1P/1P2QP2/1N1KR3 w - - 7 31,a8e8 e2e8 d7e8 e1e8,548,91,100,104,backRankMate mate mateIn2 middlegame short,https://lichess.org/4jzkO98a/black#60,
3vn9w,8/8/8/8/8/k7/4r3/KR6 b - - 36 76,c1b1 e2a2,572,88,100,91,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/x6kLSlQQ#151,
mn2xi,1b2r3/5pk1/P3r1pp/3N4/8/7P/R4PP1/1R4K1 b - - 0 36,a5a6 e6e1 b1e1 e8e1,578,84,100,116,endgame mate mateIn2 short,https://lichess.org/TOWat00F#71,
6uctT,r2qr1k1/2pn1ppp/1p1p4/p2n4/2P1P2P/1PQ3P1/PB3PB1/5RK1 w - - 0 19,b4d5 c3g7,588,99,100,48,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/FYFPqyH5/black#36,Queens_Indian_Defense Queens_Indian_Defense_Classical_Variation
iXY4A,r7/5pk1/2p5/2Bb4/7R/6P1/5P2/6K1 b - - 4 38,h5h4 a8a1 g1h2 a1h1,592,89,100,258,endgame mate mateIn2 short,https://lichess.org/4Y1EOOPF#75,
EFN7d,1k6/ppp5/8/4P3/8/1P4P1/PKPr1nq1/2R4R w - - 0 31,d8d2 h1h8 d2d8 h8d8,601,80,100,118,backRankMate endgame mate mateIn2 short,https://lichess.org/UXlUNuIV/black#60,
KNxqR,6k1/5ppp/p5r1/7q/2p1r3/N1Bp2Q1/PP4PP/R6K w - - 0 35,e8e4 g3b8 e4e8 b8e8,605,82,100,195,mate mateIn2 middlegame short,https://lichess.org/uFC14kV4/black#68,
u207m,3r4/8/2b1p2p/P1N1k1p1/8/2R3PP/5P2/6K1 b - - 0 39,a4a5 d8d1 g1h2 d1h1,619,79,100,469,endgame mate mateIn2 short,https://lichess.org/0HBLhNFV#77,
yBF47,8/8/8/8/6p1/6kp/5Rb1/6K1 b - - 2 57,f4f2 h3h2,624,82,100,202,advancedPawn endgame mate mateIn1 oneMove,https://lichess.org/XI15rtFe#113,
5CFqv,r1bqk2r/pp1p1ppp/8/2p1P2n/2B3P1/5Q2/PPP2P1P/RNb1K2R w KQkq - 0 11,g5c1 f3f7,633,81,100,280,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/Mo6HPQq5/black#20,Scotch_Game Scotch_Game_Benima_Defense
WXH6A,r3k2r/pp1n1p1p/1q2p1p1/3B1P2/3b2P1/7P/PPPBQ3/2KR3R b kq - 0 16,g2d5 b6b2,639,90,100,39,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/i3bV2mxA#31,Scandinavian_Defense Scandinavian_Defense_Main_Line
9kfr1,r6k/pp3Qpp/3p2p1/4p3/1P2P3/P6P/4q1P1/5RK1 w - - 2 29,g8h8 f7f8 a8f8 f1f8,642,86,100,344,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/uQmr8EVE/black#56,
rlfL3,r4rk1/5pp1/p1n1q2p/1p6/1b1P4/3QNb2/PPB2PPP/R4K1R w - - 0 17,g4f3 d3h7,647,89,100,122,mate mateIn1 middlegame oneMove,https://lichess.org/Fa8NXMYc/black#32,Queens_Gambit_Declined Queens_Gambit_Declined_Been-Koomen_Variation
KMlgF,r1b1k2r/pppp1pp1/7p/2P5/2B1P1n1/8/PP4PP/RNBQ2RK b kq - 0 12,e1g1 g4f2,657,95,100,119,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/Fjdo5yVL#23,Italian_Game Italian_Game_Anti-Fried_Liver_Defense
84EIF,3r2k1/pp3ppp/4pn2/4N3/P7/1q2P1BP/1P3PP1/3R2K1 w - - 0 23,c8d8 d1d8 f6e8 d8e8,664,87,100,61,endgame kingsideAttack mate mateIn2 short,https://lichess.org/8vEBx6d6/black#44,
xhTRa,r1b2Bk1/1pR3bp/3n2q1/3P4/4p3/PQ3p2/1P1NBPPP/1R4K1 b - - 0 23,e7f8 g6g2,665,112,100,38,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/OxBJN2G5#45,
E21A1,r2qk2r/ppp1ppbp/2n2np1/6N1/4P1b1/2P1Q3/PP3PPP/RNB1KB1R b KQkq - 2 8,f3e3 d8d1,673,81,100,84,mate mateIn1 oneMove opening,https://lichess.org/YOOawlT2#15,Modern_Defense Modern_Defense_Other_variations
DYSsb,r3qr2/pppb2bk/3p1n1p/3Pp3/2P1Pp1B/2NB1P2/PP4QP/2K3RR w - - 8 19,d8e8 g2g7,677,83,100,250,mate mateIn1 middlegame oneMove,https://lichess.org/X85prkTy/black#36,English_Opening English_Opening_Other_variations
3FalB,Qn2k2r/p4p1p/2pbp3/3p2p1/3P1P2/1BP4q/P1P4P/R1B2R1K b k - 1 18,b2c1 h3f1,681,79,100,612,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mRxzJ8A9#35,Czech_Defense Czech_Defense_Other_variations
o4sKS,2k2r2/p7/4P3/2p4p/1R2p1pP/1P2P1B1/P2rbPP1/6K1 w - - 0 28,b6c5 b4b8,686,79,100,94,endgame mate mateIn1 oneMove,https://lichess.org/oa9nSKUV/black#54,
dTfCX,6k1/5p2/R2p4/1pp2P2/2b5/2Br4/1P2K1P1/8 w - - 2 33,b3c4 a6a8 g8h7 a8h8,693,80,100,277,endgame mate mateIn2 short,https://lichess.org/Et3Gbm7U/black#64,
9PzrY,2r1k2r/bbq2pp1/p1n1p3/1p5p/1P4n1/P1N1P2P/1B1NBPP1/2RQ1RK1 b k - 1 16,f3d2 c7h2,696,91,100,117,mate mateIn1 middlegame oneMove,https://lichess.org/cvV0bZab#31,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations
uZz5D,r3k2r/pp1n1pp1/2pqP1p1/8/8/2N5/PPQ2PPP/4RRK1 b kq - 0 18,d5e6 d6h2,704,87,100,264,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/bBiSMnK0#35,Queens_Gambit_Declined Queens_Gambit_Declined_Exchange_Variation
konkQ,r1b2rk1/2p2p2/p3pq1p/1p4p1/3P4/2PQ1N2/PnB2PPP/4RRK1 w - - 0 19,c4b2 d3h7,713,82,100,72,mate mateIn1 middlegame oneMove,https://lichess.org/orrgKFQ2/black#36,Scandinavian_Defense Scandinavian_Defense_Valencian_Variation
dpNhO,3r3r/2pk1q2/Q1pPb3/6p1/4n3/8/PP2BBpP/3RR1K1 b - - 0 28,e5d6 f7f2,716,78,100,210,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/JWud3Znn#55,
GHq1c,r2qkb1r/p2bp3/2p2p1p/3pN1p1/3P4/3Q2P1/PPP3PP/RN3RK1 w kq - 0 14,f7f6 d3g6,739,81,100,152,mate mateIn1 middlegame oneMove,https://lichess.org/prHOD83H/black#26,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
8Bct5,8/5R2/2p3p1/2P5/8/2R2bkp/8/6K1 b - - 0 56,f1g1 h3h2 g1f1 h2h1q,740,89,100,115,advancedPawn deflection endgame mate mateIn2 promotion short,https://lichess.org/s9YV4lgj#111,
lvCnJ,r4r1k/ppp3pp/1q1n4/8/4Q1P1/7R/PPP5/4RN1K w - - 1 25,f5d6 e4h7,773,79,100,72,mate mateIn1 middlegame oneMove,https://lichess.org/tHSPQmGt/black#48,
pidQ1,2r2k2/ppr2Pp1/7p/4N3/5P2/1B6/PP5P/1K2n3 w - - 0 26,g2e1 e5g6,778,82,100,66,endgame master mate mateIn1 oneMove,https://lichess.org/YLH6qAg8/black#50,
2morC,2kr3B/ppp4p/1b4p1/5p2/8/7Q/P4RPP/6K1 b - - 0 25,f1f2 d8d1,793,88,100,89,endgame mate mateIn1 oneMove pin,https://lichess.org/Wbh5QqSH#49,
9bLYa,6K1/k1p2R2/8/5P2/1p2P3/1PbB4/P1P5/7r b - - 22 52,h7g8 h1h8,796,77,100,235,endgame mate mateIn1 oneMove,https://lichess.org/yrVeWXw0#103,
zTQBE,r6k/1p1R2p1/p1p4p/4p3/4Qn2/2N3q1/PP4r1/3R3K w - - 0 30,f2g2 d7d8 a8d8 d1d8,817,78,100,342,mate mateIn2 middlegame short,https://lichess.org/rsYySCxC/black#58,
QvkG1,8/8/3qr1pk/3P1p1p/1p1Q1P1P/6PK/8/8 w - - 0 44,e7e6 d4h8,821,86,100,124,endgame mate mateIn1 oneMove,https://lichess.org/NDHj64q0/black#86,
33aG0,8/7R/k6p/5P2/5B2/p7/P5r1/K7 b - - 7 45,g3f4 g2g1 f4c1 g1c1,829,78,100,91,endgame mate mateIn2 short,https://lichess.org/AWYN7Pya#89,
MgtCN,r4rk1/pp2pp1p/3pbBp1/8/4P1P1/5P2/qPPQ3P/2KR1B1R b - - 0 14,d4f6 a2a1,831,77,100,229,mate mateIn1 middlegame oneMove,https://lichess.org/lPrvcN2j#27,Sicilian_Defense Sicilian_Defense_Dragon_Variation
eLypZ,r5rk/1bpn1p2/p2p3p/1pbPq3/8/NBP3R1/PP1Q1PPP/R5K1 w - - 10 21,g7e5 d2h6,838,80,100,198,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/PibSVDB4/black#40,
h3dBz,1r2r1k1/2p3pp/p4p2/3R4/5P2/8/P4PPP/4R1K1 b - - 0 22,d1d5 e8e1,842,134,100,18,backRankMate endgame hangingPiece mate mateIn1 oneMove rookEndgame,https://lichess.org/h1k6vT3e#43,
Twf5x,4rrk1/pp3p2/1q3bp1/2pp1bN1/7Q/1nNP4/PPP3PP/R4R1K w - - 0 18,a5b3 h4h7,845,96,100,31,mate mateIn1 middlegame oneMove,https://lichess.org/3T6j2iTk/black#34,Sicilian_Defense Sicilian_Defense_Grand_Prix_Attack
Pvqzj,r1b4k/pp3rp1/5N1p/3p4/3P4/6Q1/Pq3PPP/4R1K1 w - - 0 22,f8f7 e1e8 f7f8 e8f8,853,78,100,203,mate mateIn2 middlegame short,https://lichess.org/FkB0H8cn/black#42,
ksmTm,8/p5k1/n2p1b2/2pPpQ1p/B1P1Pp1p/P4PNN/6PK/1r6 b - - 0 51,f1g3 h4g3,859,80,100,91,master mate mateIn1 middlegame oneMove,https://lichess.org/QqClX780#101,
TVNH8,6rk/3n2bp/4B1p1/pq1pP1N1/3P4/8/P5PP/4B1K1 w - - 0 30,f8g8 g5f7,864,79,100,80,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/5ZpmAkDQ/black#58,
xvVLr,5rk1/1b3pp1/1P2p2p/3q4/8/2R3P1/1P3Q1P/5RK1 b - - 4 30,e3f2 d5h1,868,77,100,396,endgame mate mateIn1 oneMove,https://lichess.org/5WypDU4u#59,
4RVEl,r1k2b1r/p4ppp/2p1p3/8/4bB2/8/PP2BPPP/R2R2K1 w - - 0 16,e7e6 e2a6,874,77,100,315,mate mateIn1 middlegame oneMove,https://lichess.org/JLW4vS4t/black#30,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
EN4CZ,8/5pk1/1p2p3/6pr/PP3P2/4Q1R1/5PK1/q7 b - - 2 44,g1g2 a1h1,884,77,100,129,endgame mate mateIn1 oneMove,https://lichess.org/I458cDx6#87,
QQKAM,2kr1b1r/1p1q2p1/p4n2/1Np4p/3p1B2/3Q3P/PPP2PP1/R3R1K1 w - - 0 17,a7a6 b5a7,885,78,100,205,mate mateIn1 middlegame oneMove,https://lichess.org/MNrNgIzm/black#32,Scotch_Game Scotch_Game_Scotch_Gambit
1zBmI,rnb2rk1/pp2Bppp/1q2p3/3PP3/8/2N5/PP2KbPP/R2Q1BNR b - - 1 10,e1e2 b6e3,901,79,100,70,mate mateIn1 oneMove opening,https://lichess.org/YDv2aG0l#19,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
Sg6EH,r4brk/1NB5/P1Pp4/1B1qp1pp/5n2/8/7K/RR1Q4 b - - 1 37,g4d1 d5g2,905,76,100,77,mate mateIn1 middlegame oneMove,https://lichess.org/1nwir9I6#73,
uaLqb,r1b2rk1/ppp1qpn1/3p3B/8/8/1BPP2Q1/P4PPP/bN4K1 w - - 0 18,e8g7 g3g7,914,109,100,49,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QbTUQ21O/black#34,Petrovs_Defense Petrovs_Defense_Italian_Variation
g2lSP,7Q/p4k1p/2n1p1pn/3pP3/3Pb3/N1P4R/PP1q2PP/R5K1 b - - 0 23,a8h8 d2g2,916,139,100,16,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/0xtuk644#45,
B13Iu,5br1/1pp2p1k/5p1r/p2PpN1R/2P1P3/qP5R/P5PP/7K w - - 0 32,g6h6 h5h6 f8h6 h3h6,926,82,100,65,mate mateIn2 middlegame short,https://lichess.org/nFSVRJl3/black#62,
BH2u8,5R2/6pk/4b2p/1p4PP/1P6/3rB3/7K/8 w - - 1 39,d7d3 g5g6,932,88,100,352,endgame mate mateIn1 oneMove,https://lichess.org/pLFdf1Dx/black#76,
SgZDG,rn2k2r/ppp2pp1/4p3/2b5/5P2/2NP2p1/PPPB3Q/R4R1K b kq - 0 17,g2h2 h8h2,937,77,100,191,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/gLCEDsMC#33,Scandinavian_Defense Scandinavian_Defense_Main_Line
QIP2s,5rk1/pBp1bppp/5n2/4p3/5P2/8/PPP3PP/RNBr1RK1 b - - 2 13,f3f1 e7c5 c1e3 c5e3 g1h1 d1f1,944,78,100,249,backRankMate long mate mateIn3 middlegame,https://lichess.org/dGVQCgZq#25,Kings_Gambit Kings_Gambit_Other_variations
eJ0tS,2k2b1r/2p1pp2/p1Pr4/8/1QP3P1/7p/P7/7K w - - 2 36,b8c8 b4b7 c8d8 b7b8,945,117,100,23,endgame mate mateIn2 short,https://lichess.org/jc7XkLEi/black#70,
Nbzbr,1k6/ppp3p1/8/3N1B2/4P3/P5Q1/2Pq1r1P/1K5R b - - 6 23,c1b1 d2c2 b1a1 c2b2,953,123,100,25,endgame mate mateIn2 short,https://lichess.org/crYxItn7#45,
rNPEp,2r2r1Q/1p1b2p1/4p1k1/q1bpP1N1/p3n3/P3B3/1P4PP/2R2RK1 w - - 0 27,f7g6 h8h7,960,98,100,49,master mate mateIn1 middlegame oneMove,https://lichess.org/lPyOALwD/black#52,
CHRbp,6k1/p5pp/1b3p2/5RP1/7P/8/PPP5/2KRr3 b - - 2 28,d2d1 b6e3 c1b1 e1d1,967,75,100,668,backRankMate deflection endgame mate mateIn2 short,https://lichess.org/WgDrcUu4#55,
KcwHV,r4k1r/1qp2p2/4b2p/1pb1pNp1/p3n3/2PQ1N2/PP2BPPP/2KR3R w - - 0 21,f6e4 d3d8 a8d8 d1d8,971,76,100,181,mate mateIn2 middlegame sacrifice short,https://lichess.org/WPuECcZk/black#40,
fJTFt,rb3rk1/1pq2ppp/p1n2n2/3p4/NP6/P3PB1P/1B3PP1/2RQ1RK1 b - - 0 16,e2f3 c7h2,976,180,100,27,mate mateIn1 oneMove opening,https://lichess.org/A1UGAYav#31,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
AVJqb,rnbq3r/1ppp2kp/p4pn1/7Q/2B1P3/2P5/P1P2PPP/R1B1K2R w KQ - 0 11,f8g7 h5h6,988,179,100,12,mate mateIn1 oneMove opening,https://lichess.org/OuVdX3UY/black#20,Kings_Pawn_Game Kings_Pawn_Game_Damiano_Defense
BzqWZ,2kr3r/Qpp2ppp/4qn2/8/5b2/2N3P1/PPP2P1P/3R1RK1 w - - 0 15,d6f4 a7a8,990,83,100,82,mate mateIn1 middlegame oneMove,https://lichess.org/iuX7fYpI/black#28,Scotch_Game Scotch_Game_Other_variations
KJhk5,8/6pk/7p/2q5/P6r/5P2/3pQ1K1/3R1R2 b - - 4 42,g1g2 c5g5 g2f2 h4h2,1000,76,100,725,endgame mate mateIn2 short,https://lichess.org/24H1KQyx#83,
eAEe8,3k4/6Q1/p3pNp1/3pP1P1/2qP1P1N/b1P5/2b4K/1r6 w - - 1 40,e7d8 g7d7,1009,76,100,1028,mate mateIn1 middlegame oneMove,https://lichess.org/O9Lec4yA/black#78,
