PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
3DLn6,1nb2rk1/r3qppp/4p3/p7/1ppPQ3/2P2N2/PPB2PPP/R3R1K1 w - - 1 16,a8a7 e4h7,503,81,100,94,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/iekcrgsP/black#30,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
SgDvZ,3rk2B/1b1p1p1p/3qp1p1/1B6/P3P3/2P2P1Q/1P3bPP/RN5K b - - 0 22,f6h8 d6d1 b5f1 d1f1,506,88,100,183,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/UqVFj7Ic#43,
QIF2r,3r1rk1/1pq1bppp/p1n5/4p3/2P1Q3/1N1B4/PP3PPP/3R1RK1 w - - 5 17,a8d8 e4h7,514,86,100,179,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/MvG7BkZe/black#32,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
hSLWq,2kr3r/1p1q1ppp/p1nQpb2/8/4P3/P1N2N2/1PP2PPP/2KR3R b - - 0 13,d3d6 d7d6 d1d6 d8d6,516,84,100,251,advantage middlegame short,https://lichess.org/wMYy2zbz#25,Sicilian_Defense Sicilian_Defense_Chekhover_Variation
TSamE,2r2rk1/pp2pp1p/3p3q/3P1Np1/5bP1/2P2P2/PP2Q1KP/3R1R2 b - - 1 24,d4f5 h6h2,521,101,100,170,master mate mateIn1 middlegame oneMove,https://lichess.org/s0EnjpEW#47,
69mG3,2b1kbnr/5ppp/prN1p3/1p6/2p5/2N1P3/PP3PPP/3RKB1R w Kk - 1 11,b8b6 d1d8,529,91,100,310,mate mateIn1 middlegame oneMove,https://lichess.org/jhXstLzd/black#20,Tarrasch_Defense Tarrasch_Defense_Other_variations
THB2a,8/pb2ppkp/1p3np1/8/4N3/5P2/PPP4P/1K1RqBNR b - - 2 18,d8d1 e1d1,531,92,100,72,hangingPiece mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Jk6dVKDX#35,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
SbNfk,r4r1k/2R3pp/4P1p1/3N4/pP1Q1PPb/P6P/7K/5q2 w - - 0 30,b5f1 d4g7,535,90,100,392,mate mateIn1 middlegame oneMove,https://lichess.org/m0N2K95g/black#58,
Mjntq,r5k1/5pp1/2Q1pn1p/3p3P/2n3P1/4PP2/2PP2B1/N1KN3R b - - 0 26,b3a1 a8a1,540,81,100,288,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/AIuWhwco#51,
3dQC1,4r2k/2qb2pp/n1p5/5p2/p2P1b2/PpPB1N1P/1P2QP2/1N1KR3 w - - 7 31,a8e8 e2e8 d7e8 e1e8,548,91,100,104,backRankMate mate mateIn2 middlegame short,https://lichess.org/4jzkO98a/black#60,
0JaFv,4r1k1/5p1p/p1nq2p1/8/4r3/P1B2QPP/3p2PK/1R3R2 w - - 6 34,d5d6 f3f7,550,90,100,96,mate mateIn1 middlegame oneMove,https://lichess.org/0OGja5DW/black#66,
MxBSL,r3r1k1/ppb3pp/3qpn2/1N1p4/3P4/PP3Q1P/5PP1/2B1RRK1 b - - 3 20,c3b5 d6h2,600,91,100,67,mate mateIn1 middlegame oneMove,https://lichess.org/z9zuxSlX#39,
KNxqR,6k1/5ppp/p5r1/7q/2p1r3/N1Bp2Q1/PP4PP/R6K w - - 0 35,e8e4 g3b8 e4e8 b8e8,605,82,100,195,mate mateIn2 middlegame short,https://lichess.org/uFC14kV4/black#68,
nBzhA,1b3rk1/1b3pp1/p2qpn1p/1pN5/1P1Pp3/P3P2P/1B2QPP1/1BR3K1 b - - 5 21,b3c5 d6h2 g1f1 h2h1,611,80,100,367,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/5mUG9fsQ#41,
eLv8k,r1b2k2/pp4b1/1n1N3p/3p2p1/5p2/1PP4P/P1B2PP1/4R1K1 w - - 3 29,f7f8 e1e8,615,82,100,194,mate mateIn1 middlegame oneMove,https://lichess.org/O8Qyts8A/black#56,
hqHwV,2krr3/ppp2ppp/8/2B1q3/Q1P5/7P/P2PNPP1/1R2K2R b K - 0 16,a3c5 e5e2,628,83,100,95,mate mateIn1 middlegame oneMove,https://lichess.org/G92dIRQz#31,Scandinavian_Defense Scandinavian_Defense_Icelandic-Palme_Gambit
m5gFN,2kr1b1r/pbp3pp/8/4qp2/3Pp3/8/PPP2PPP/RN1Q1RK1 w - - 0 17,e6e5 d4e5 d8d1 f1d1,630,84,100,150,advantage middlegame short,https://lichess.org/aSDXU6rK/black#32,Ruy_Lopez Ruy_Lopez_Schliemann_Defense
WXH6A,r3k2r/pp1n1p1p/1q2p1p1/3B1P2/3b2P1/7P/PPPBQ3/2KR3R b kq - 0 16,g2d5 b6b2,639,90,100,39,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/i3bV2mxA#31,Scandinavian_Defense Scandinavian_Defense_Main_Line
gjAAf,r4k1r/ppp3pp/3b1p2/3Bq3/4P3/1Q5P/P3NPP1/R4RK1 b - - 1 18,f3b3 e5h2,643,84,100,174,mate mateIn1 middlegame oneMove,https://lichess.org/TuKJXnEz#35,Scotch_Game Scotch_Game_Goring_Gambit
rlfL3,r4rk1/5pp1/p1n1q2p/1p6/1b1P4/3QNb2/PPB2PPP/R4K1R w - - 0 17,g4f3 d3h7,647,89,100,122,mate mateIn1 middlegame oneMove,https://lichess.org/Fa8NXMYc/black#32,Queens_Gambit_Declined Queens_Gambit_Declined_Been-Koomen_Variation
