PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
AwnsB,rnbq1rk1/1pp2p1p/4p1p1/5nN1/p2P4/1BP4Q/P4PPP/R1B2RK1 w - - 2 14,d6f5 h3h7,500,87,100,140,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/IzEQMTj5/black#26,Queens_Gambit_Declined Queens_Gambit_Declined_Three_Knights
XDCxU,rn3rk1/pbppb1pp/1p2pnq1/4Np2/3P1P2/2PBP3/PPQN2PP/R1B2RK1 b - - 4 10,f3e5 g6g2,508,102,100,183,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/8nGhxGbR#19,Dutch_Defense Dutch_Defense_Other_variations
CzU0u,1rbqnrk1/3pbppp/p3p3/1p2P3/4QP2/2NB4/PPP3PP/R1B2R1K w - - 3 13,a8b8 e4h7,518,99,100,46,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/4wZ1jRgH/black#24,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
mAwGs,r2qk1nr/ppp1bppp/8/4Q3/2P5/P3Pb2/1P3P1P/RNB1KBR1 b Qkq - 3 10,h1g1 d8d1,523,90,100,97,mate mateIn1 oneMove opening,https://lichess.org/inDO7g5p#19,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit
FOp2P,r2q1rk1/pb1n1ppp/1bp1p3/3pB3/1P6/P1N1P3/2Q2PPP/1BR1K2R w K - 1 17,f6d7 c2h7,526,94,100,345,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/vXe3MMY5/black#32,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
Nje0q,r1b2rk1/p1q2ppp/8/3p4/3N2Q1/2N1P3/PPP2PP1/R1B2RbK b - - 0 14,d1g4 c7h2,531,88,100,86,mate mateIn1 oneMove opening,https://lichess.org/wdc5UgmE#27,Queens_Pawn_Game Queens_Pawn_Game_Krause_Variation
6uNQ6,r2q1bkr/pp4pp/2npbn2/3Q4/8/2P5/PP3PPP/RNB2RK1 w - - 0 12,c8e6 d5e6,537,90,100,63,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/vWvMZoUa/black#22,Sicilian_Defense Sicilian_Defense_Modern_Variations
8hbSG,rnbq1bkr/pppn2p1/6Bp/3pp3/2QP4/8/PPP1PP1P/RNB1K1NR w KQ - 0 10,d6d5 c4d5,544,85,100,58,mate mateIn1 oneMove opening,https://lichess.org/353VNRWv/black#18,Grob_Opening Grob_Opening_Other_variations
cOU7x,rn2k2r/ppp1qppp/8/3P1Q2/1bPP1p2/2n2N2/PP2B1PP/R1B1K2R b KQkq - 0 10,d3f5 e7e2,548,87,100,282,mate mateIn1 oneMove opening,https://lichess.org/gefy3qJS#19,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
SUhC9,rnb1r3/ppp3kp/3b1np1/8/8/1B1P4/PPP2PPP/RNB1Q1KR b - - 0 14,c3e1 e8e1,552,91,100,160,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/rh321ESm#27,Petrovs_Defense Petrovs_Defense_Italian_Variation
3JiST,2kr1bnr/ppp2ppp/4p1q1/4Qb2/5B2/2NP4/PPP2PPP/R3KB1R w KQ - 0 10,e7e6 e5c7,556,88,100,235,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/h9oO1PPm/black#18,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
H6nJo,r1bqkbnr/ppppp2p/2n5/4Pp1p/8/8/PPPPBPPP/RNB1K1NR w KQkq - 0 5,g6h5 e2h5,564,92,100,144,bodenMate mate mateIn1 oneMove opening,https://lichess.org/cCRkd5sQ/black#8,Duras_Gambit Duras_Gambit_Other_variations
Wwmz6,rn2kb1r/1bqp1pp1/pp2p2p/8/P2NP1n1/1BNQ3P/1PP2PP1/R1B2RK1 b kq - 0 11,h2h3 c7h2,572,89,100,83,mate mateIn1 oneMove opening,https://lichess.org/Dx2JgFAf#21,Sicilian_Defense Sicilian_Defense_French_Variation
tEI6B,1k1r1b1r/ppp2ppp/2n5/3qPb2/Q3pB2/1NP1P3/PP3PPP/2KR2NR b - - 0 12,d4e5 d5d1,577,96,100,82,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/VeeZ1LbS#23,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
