PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2Qe6t,8/8/3P4/8/p1K5/P5p1/5k2/8 w - - 1 54,g2f2 d6d7 g3g2 d7d8q,501,93,100,413,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/pDNKMLwc/black#106,
nadTW,8/8/8/P7/P1K3kp/8/8/8 b - - 0 48,b4a5 h4h3 a5a6 h3h2 a6a7 h2h1q,513,91,100,601,advancedPawn crushing endgame long master pawnEndgame promotion,https://lichess.org/Y8EQBUr1#95,
VwoKr,8/8/2p5/8/P3k3/4p3/4K3/8 w - - 1 41,f4e4 a4a5 c6c5 a5a6,519,98,100,106,crushing endgame pawnEndgame quietMove short,https://lichess.org/zbAcN4nU/black#80,
YC4bk,8/8/8/8/5PKp/8/6k1/8 b - - 0 55,f3f4 h4h3 f4f5 h3h2 f5f6 h2h1q,523,89,100,160,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/ILamApKA#109,
qvKuh,8/8/1K6/P5k1/7p/8/8/8 b - - 1 53,a6b6 h4h3 b6b7 h3h2 a5a6 h2h1q,528,91,100,127,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/94wJHrf7#105,
rvFW3,8/8/8/2pp4/6P1/2k4K/2P5/8 w - - 0 49,d2c3 g4g5 c3c2 g5g6 d5d4 g6g7 d4d3 g7g8q,531,86,100,160,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/KJHepVi3/black#96,
HyzpW,8/8/8/1p4K1/7P/2k5/8/8 w - - 1 63,b4c3 h4h5 b5b4 h5h6 c3c2 h6h7 b4b3 h7h8q,536,99,100,306,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Xg75TjRm/black#124,
OFtsR,8/8/8/1K3k1p/PP6/8/8/8 b - - 0 68,a3a4 h5h4 b5a5 h4h3 b4b5 h3h2 b5b6 h2h1q,541,91,100,163,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/2zR59bn7#135,
bLX3L,8/8/4K3/2k3P1/5p1P/7P/8/8 b - - 0 50,g4g5 f4f3 g5g6 f3f2 g6g7 f2f1q,548,85,100,135,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/PASjnm8i#99,
XtZgK,8/6p1/1K5p/8/8/P5k1/8/8 w - - 0 51,h2g3 a3a4 g7g5 a4a5 g5g4 a5a6 g3h2 a6a7 g4g3 a7a8q,552,96,100,61,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Amjc8mEN/black#100,
de01q,8/8/5K2/p6p/Pk5P/1P6/8/8 b - - 0 50,f5f6 b4b3 f6g5 b3a4,559,91,100,208,crushing endgame master pawnEndgame short,https://lichess.org/2Hv5tVY2#99,
JKtLT,8/8/p7/1p6/4pPK1/k3P3/P7/8 w - - 1 56,b4a3 f4f5 a3a2 f5f6 b5b4 f6f7,564,89,100,233,advancedPawn crushing endgame long master pawnEndgame quietMove,https://lichess.org/WW8StZcY/black#110,
K1ZZe,8/1p5p/2p5/5K2/4PP2/p7/P1k5/8 w - - 1 47,d2c2 e4e5 c2b1 e5e6 b1a2 e6e7,566,89,100,148,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/ZqN9XrYb/black#92,
fbRB7,8/8/p5K1/8/8/1k6/6PP/8 b - - 0 47,h7g6 a6a5 g6f7 a5a4 g2g4 a4a3 g4g5 a3a2 g5g6 a2a1q,579,93,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/EBgThFi3#93,
KOjBl,8/8/1P6/6p1/K4pk1/8/8/8 w - - 0 41,f3g4 b6b7 f4f3 b7b8q,584,87,100,102,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/aVTLRK7d/black#80,
sZ0bE,8/8/6K1/1k5P/p7/8/8/8 b - - 1 44,h6g6 a4a3 h5h6 a3a2 g6f7 a2a1q,585,87,100,140,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/68aviwNi#87,
RTU6n,8/8/8/p1p1k3/K1P2p1p/P4P1P/8/8 b - - 3 42,b3a4 e5d4 a4a5 d4c4,594,86,100,80,crushing endgame pawnEndgame short,https://lichess.org/8CmH0tLt#83,
NtEAl,8/8/8/P7/1K5p/1P3k1p/8/8 w - - 0 52,g4h3 a5a6 f3f2 a6a7 f2g1 a7a8q,612,90,100,313,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/HVm6rT8N/black#102,
OUXHr,8/8/4K1k1/2p3P1/7P/8/8/8 b - - 0 51,d5e6 c5c4 e6e5 c4c3 e5f4 c3c2,616,81,100,183,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/Zy6oBr5G#101,
koBHj,8/8/8/6p1/PK6/5k2/8/8 w - - 1 48,g4f3 a4a5 g5g4 a5a6 g4g3 a6a7 g3g2 a7a8q,623,82,100,110,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/6SPvsCQ4/black#94,
xLraz,8/6K1/8/8/5k1p/7P/6P1/8 b - - 0 60,f7g7 f4g3 g7f6 g3g2 f6e5 g2h3,625,86,100,232,crushing endgame long pawnEndgame,https://lichess.org/FvfmnwKI#119,
xqOb8,8/8/8/p1P5/P5p1/1K6/5k2/8 w - - 0 46,h5g4 c5c6 g4g3 c6c7 g3g2 c7c8q,630,83,100,89,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/l1TEOdss/black#90,
7Dl9v,8/5K2/8/6Pp/p6P/8/1k6/8 w - - 2 56,a3b2 g5g6 a4a3 g6g7 a3a2 g7g8q,635,85,100,55,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/r6BQXZtg/black#110,
AlnGr,8/8/8/6KP/5Pp1/5k2/8/8 b - - 0 59,g3f4 g4g3 f4f5 g3g2 f5f6 g2g1q,660,82,100,90,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/V1oYWylt#117,
wrmx3,8/8/1k6/4p1p1/K3PpPp/5P1P/8/8 b - - 5 85,b4a4 b6c5 a4b3 c5d4,666,88,100,156,crushing endgame master pawnEndgame short,https://lichess.org/w0euqzmX#169,
Jre06,8/8/1p5p/p1p2Kp1/P3P3/3k4/1P6/8 w - - 0 43,d4d3 e4e5 d3c2 e5e6 c5c4 e6e7 c2b2 e7e8q,670,90,100,301,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/t1f6zpcG/black#84,
DSO4C,8/8/2p1pk2/p1P2p2/2K2P2/P5P1/8/8 b - - 5 48,d4c4 e6e5 f4e5 f6e5,675,83,100,198,crushing endgame master pawnEndgame short,https://lichess.org/J5Qm7ii5#95,
n2aQG,8/5pk1/4p3/P5p1/1p5p/8/8/3K4 w - - 0 50,h5h4 a5a6 h4h3 a6a7,689,120,100,32,advancedPawn advantage endgame pawnEndgame short,https://lichess.org/2QUy2Z3H/black#98,
