PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
aWHyE,7k/1q4rp/pp6/2b5/2B2n2/1P6/PB3PbP/3R2K1 w - - 0 31,f7g7 d1d8 c5f8 d8f8,504,101,90,494,mate mateIn2 middlegame pin short,https://lichess.org/AV9jETaW/black#60,
QxK0A,5rk1/ppp2pp1/6b1/n1b1p1Np/1P5P/2Pr4/P4RPQ/RNB3K1 b - - 0 17,f1f2 d3d1,508,106,96,994,mate mateIn1 middlegame oneMove pin,https://lichess.org/RipIu0Cf#33,Bishops_Opening Bishops_Opening_Berlin_Defense
fTWmu,6k1/5rpp/bp6/p7/8/1B5P/Pq3PP1/R2R2K1 w - - 0 25,f8f7 d1d8,510,88,100,540,endgame master mate mateIn1 oneMove pin,https://lichess.org/of9AAKK3/black#48,
c3krl,4r2k/1bp2Q1p/3p2p1/p7/2N5/1P6/P5RP/7K b - - 0 29,g1g2 e8e1 f7f1 e1f1,523,87,87,389,endgame mate mateIn2 pin short,https://lichess.org/N0zFTw03#57,
XHms5,r5k1/p4p2/2p4p/1pbpr3/8/2NR3Q/PPP2RPP/6K1 b - - 0 23,f1f2 e5e1,527,99,93,905,mate mateIn1 middlegame oneMove pin,https://lichess.org/pL2qHgyS#45,
jVLF5,rn4k1/pp3rpp/2p5/8/4R3/1B6/P1P2PPK/qN6 w - - 0 17,f8f7 e4e8,531,105,100,825,mate mateIn1 middlegame oneMove pin,https://lichess.org/bbLTKhcM/black#32,Russian_Game Russian_Game_Other_variations
ocpXf,6k1/5bpp/4R3/4Pp2/2B2P1r/4K3/8/8 w - - 2 38,g6f7 e6e8,539,94,91,149,endgame mate mateIn1 oneMove pin,https://lichess.org/cl9xn8CU/black#74,
IfhGC,8/7k/5r2/7Q/5rPK/P6P/8/8 b - - 0 54,g5h5 f6h6 h5h6 h7h6,563,84,100,451,crushing defensiveMove endgame pin queenRookEndgame short,https://lichess.org/CAnmoQTl#107,
ubXiZ,r1b3k1/ppp2rpp/5n2/8/8/P7/BPP2PPP/3RK2R w K - 0 15,f8f7 d1d8 f6e8 d8e8,567,87,100,285,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/b9cgkthc/black#28,Bishops_Opening Bishops_Opening_Vienna_Hybrid
5OfF7,r3r1k1/1b1N2pp/p2Q1p2/1p6/5P2/P7/1PP3RP/7K b - - 0 22,g1g2 e8e1,577,88,100,400,endgame mate mateIn1 oneMove pin,https://lichess.org/LY1x2LEQ#43,
HNJ8O,5r2/pbk4p/1p4p1/2p1N3/8/3P4/P1P3RP/5R1K b - - 0 28,f2g2 f8f1,580,84,100,320,endgame hangingPiece mate mateIn1 oneMove pin,https://lichess.org/dhLRiXYF#55,
nx1Pu,8/6pk/4P1qp/8/4KQ2/6P1/8/8 w - - 2 56,h5g6 f4f5 g6f5 e4f5,590,86,100,379,crushing defensiveMove endgame pin queenEndgame short,https://lichess.org/8cmkmyyd/black#110,
dGnPZ,1rbq1rk1/p2pbp1p/1p5p/2pBP3/5Q2/2N5/PPP2PPP/2KR3R b - - 5 14,c4f4 e7g5 f4d2 g5d2,597,91,96,650,crushing middlegame pin short,https://lichess.org/lsyWJZWU#27,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted
WAskq,3r2k1/1p1P1p1p/p5p1/8/4b3/2R3P1/PP3P1P/6K1 w - - 0 28,g7g6 c3c8 g8f8 c8d8,602,93,98,356,crushing endgame pin short,https://lichess.org/PvExCBQQ/black#54,
eVIue,4r3/6kp/p3r1p1/1p6/1P6/P1P4P/6P1/5QK1 b - - 0 39,d1f1 e6e1 f1e1 e8e1,605,90,100,129,crushing endgame pin queenRookEndgame short,https://lichess.org/uJEO7evy#77,
Vy7z2,8/6p1/7p/7P/1PR3P1/1K2qk2/8/8 w - - 6 49,e5e3 c4c3 e3c3 b3c3,612,83,100,155,crushing defensiveMove endgame pin queenRookEndgame short,https://lichess.org/GoGA6Bo6/black#96,
Y5Sua,3r2k1/pp1r1bpp/4R3/8/1P1q4/PQ1P3P/5PP1/4R1K1 w - - 1 27,g6f7 e6e8 d8e8 e1e8,618,87,100,123,mate mateIn2 middlegame pin short,https://lichess.org/nRdxw5I8/black#52,
LWfm6,6k1/5pp1/4p3/4P2P/8/1P5P/1r1r1PQK/8 b - - 0 37,g3g2 d2f2 g2f2 b2f2,636,83,100,227,crushing endgame master pin queenRookEndgame short,https://lichess.org/K0meFJfp#73,
dTzjl,6k1/2p1q1pp/3rpn2/p1B5/P1P2P2/1P2PQ2/6PP/3R2K1 b - - 0 24,a3c5 d6d1 f3d1 e7c5,643,81,100,244,advantage discoveredAttack endgame pin short,https://lichess.org/jg1Jk6KP#47,
4xQZj,4Rr1k/1p3Pp1/p6p/2qp4/8/8/P1P3PP/4R2K w - - 0 26,h7h6 e8f8 c5f8 e1e8 h8h7 e8f8,646,87,100,303,attraction clearance crushing endgame long pin queenRookEndgame,https://lichess.org/nu0X6QNg/black#50,
