PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2Qe6t,8/8/3P4/8/p1K5/P5p1/5k2/8 w - - 1 54,g2f2 d6d7 g3g2 d7d8q,501,93,100,413,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/pDNKMLwc/black#106,
PZn9y,r4rk1/p1p3pp/b1p5/2bPP3/3N4/2P5/PP1Qp1PP/RN3R1K b - - 0 18,e1f1 e2f1q,509,90,100,560,advancedPawn kingsideAttack mate mateIn1 middlegame oneMove promotion,https://lichess.org/KzA9cdUd#35,Italian_Game Italian_Game_Scotch_Gambit
mq8JV,4K3/8/4kP2/8/8/5n2/8/8 w - - 1 55,d5e6 f6f7 f3e5 f7f8q,530,85,100,225,advancedPawn crushing endgame knightEndgame master masterVsMaster promotion short,https://lichess.org/2YdeompE/black#108,
55m66,6k1/8/1pPp4/6b1/8/1K2p3/8/8 w - - 0 57,e4e3 c6c7 g8g7 c7c8q,535,87,100,334,advancedPawn bishopEndgame crushing endgame master promotion short,https://lichess.org/yGildlfX/black#112,
OFtsR,8/8/8/1K3k1p/PP6/8/8/8 b - - 0 68,a3a4 h5h4 b5a5 h4h3 b4b5 h3h2 b5b6 h2h1q,541,91,100,163,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/2zR59bn7#135,
bLX3L,8/8/4K3/2k3P1/5p1P/7P/8/8 b - - 0 50,g4g5 f4f3 g5g6 f3f2 g6g7 f2f1q,548,85,100,135,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/PASjnm8i#99,
XtZgK,8/6p1/1K5p/8/8/P5k1/8/8 w - - 0 51,h2g3 a3a4 g7g5 a4a5 g5g4 a5a6 g3h2 a6a7 g4g3 a7a8q,552,96,100,61,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Amjc8mEN/black#100,
RBeQu,8/8/1K6/P5k1/7p/8/8/8 b - - 1 52,a6b6 h4h3 a5a6 h3h2 b6b7 h2h1q,555,98,100,149,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/4GpyyjSU#103,
PuoiX,8/8/1p6/p3K3/1k3P2/1P6/8/8 w - - 2 53,b5b4 f4f5 b4b3 f5f6 a5a4 f6f7 a4a3 f7f8q,571,88,100,280,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/shVS8pO4/black#104,
fbRB7,8/8/p5K1/8/8/1k6/6PP/8 b - - 0 47,h7g6 a6a5 g6f7 a5a4 g2g4 a4a3 g4g5 a3a2 g5g6 a2a1q,579,93,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/EBgThFi3#93,
KOjBl,8/8/1P6/6p1/K4pk1/8/8/8 w - - 0 41,f3g4 b6b7 f4f3 b7b8q,584,87,100,102,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/aVTLRK7d/black#80,
sZ0bE,8/8/6K1/1k5P/p7/8/8/8 b - - 1 44,h6g6 a4a3 h5h6 a3a2 g6f7 a2a1q,585,87,100,140,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/68aviwNi#87,
tqq1O,4r1kr/pp1P1ppp/1bp5/5q2/2B1R3/2N2P1b/PPP4P/R6K w - - 0 19,a8e8 d7e8q,591,88,100,84,advancedPawn kingsideAttack mate mateIn1 middlegame oneMove promotion,https://lichess.org/zo5Qe7CD/black#36,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
DCbu0,8/p7/k5K1/1p6/7P/8/7P/8 b - - 1 43,g7g6 b5b4 h4h5 b4b3 h5h6 b3b2 h6h7 b2b1q,598,97,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/gFxDkQIl#85,
CQKR9,8/6K1/6P1/5Pk1/8/8/b7/8 w - - 5 54,h5g5 f5f6 a2b1 f6f7 b1g6 f7f8q,612,82,100,95,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/Jzeq6mea/black#106,
BX0Ku,8/8/5KP1/8/p7/1k6/8/8 w - - 1 59,a3b3 g6g7 a4a3 g7g8q,617,90,100,107,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/qWkou7B8/black#116,
0jSSw,5r1k/pp4pp/8/2pN4/2B1R3/2P4b/PP4pP/6K1 b - - 0 26,e1e4 f8f1 c4f1 g2f1q,620,88,100,104,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/A5JcHaAs#51,
vWkds,r7/1K6/1P4k1/2n5/8/3R2p1/8/8 w - - 1 54,e6c5 b7a8 c5d3 b6b7 g6f5 b7b8q,625,81,100,183,advancedPawn crushing endgame long promotion,https://lichess.org/g85D0nks/black#106,
AlnGr,8/8/8/6KP/5Pp1/5k2/8/8 b - - 0 59,g3f4 g4g3 f4f5 g3g2 f5f6 g2g1q,660,82,100,90,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/V1oYWylt#117,
MvLSD,5k2/8/2K2P2/3P4/8/2n5/8/8 w - - 2 53,a4c3 d5d6 c3e4 d6d7 e4f6 d7d8q,667,78,100,185,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/BrCGbBvT/black#104,
c52Q6,8/1p4K1/8/2k3pP/1p4P1/5P2/8/8 b - - 1 48,h6g7 b4b3 h5h6 b3b2 h6h7 b2b1q,679,82,100,142,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/eMQaDM1d#95,
meJmh,k7/P1R5/K1p5/2p5/2P5/1r6/8/8 w - - 0 53,b1b3 c7c8 b3b8 a7b8q,683,79,100,104,advancedPawn endgame mate mateIn2 promotion rookEndgame short,https://lichess.org/5CDirkgd/black#104,
wLcLb,8/7p/2N2ppk/8/1p2p3/4P1PP/5PK1/8 b - - 1 50,d8c6 b4b3 c6e7 b3b2 e7d5 b2b1q,687,79,100,350,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/aCL6nYbf#99,
Fjwmz,8/8/8/1K3p2/P7/6k1/8/8 b - - 1 51,a5b5 f5f4 a4a5 f4f3 a5a6 f3f2 a6a7 f2f1q,690,118,100,27,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/L4b7tnfC#101,
ym3R0,8/7K/6qP/8/1p6/2k5/8/8 w - - 0 56,g5g6 h7g6 b4b3 h6h7 b3b2 h7h8q,698,88,100,66,advancedPawn crushing endgame long master promotion,https://lichess.org/SuIxXnRm/black#110,
4LToV,4r1k1/p5pp/8/5P2/8/5B2/PP1p1PPP/3R2K1 b - - 1 28,c1d1 e8e1 d1e1 d2e1q,700,82,100,205,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/0PVt1K3Y#55,
gmQCH,2r4k/p1P4p/1p4pr/8/8/5PK1/P5P1/3R4 w - - 0 34,h5h6 d1d8 c8d8 c7d8q,727,82,100,148,advancedPawn crushing endgame promotion rookEndgame short,https://lichess.org/aYgQJwmF/black#66,
ug9wG,8/8/6Kb/8/1k1p2P1/3P4/8/8 w - - 0 44,g5h6 g6h6 b4c3 g4g5 c3d3 g5g6 d3c3 g6g7 d4d3 g7g8q,732,104,100,33,advancedPawn crushing endgame promotion quietMove veryLong,https://lichess.org/qDQBVs25/black#86,
Xy4t1,8/2p5/8/8/k1K5/pp2P3/8/R7 b - - 1 46,a2a1 b3b2 a1b1 a3a2 b1b2 a2a1q,739,81,100,354,advancedPawn crushing endgame long promotion rookEndgame,https://lichess.org/pmkyJd4c#91,
8Bct5,8/5R2/2p3p1/2P5/8/2R2bkp/8/6K1 b - - 0 56,f1g1 h3h2 g1f1 h2h1q,740,89,100,115,advancedPawn deflection endgame mate mateIn2 promotion short,https://lichess.org/s9YV4lgj#111,
Rhihg,8/p4k2/3P1P2/1p4Kp/8/1p5P/8/8 w - - 0 54,c4b3 d6d7 b3b2 d7d8q,765,89,100,38,advancedPawn crushing endgame master pawnEndgame promotion short,https://lichess.org/lQNl9oud/black#106,
1M1PP,8/8/8/5p2/P4Br1/6P1/R2p3P/2k2K2 b - - 1 39,e5f4 g4f4 g3f4 d2d1q,773,79,100,209,advancedPawn crushing endgame promotion short,https://lichess.org/Jq1zAviS#77,
C5CDC,4k2r/r4pp1/1pP1p2p/pB1pb3/7B/1R6/5PPP/6K1 w k - 0 26,d4e5 c6c7 e8f8 c7c8q,785,77,100,224,advancedPawn discoveredAttack endgame mate mateIn2 promotion short,https://lichess.org/qKeeHL3X/black#50,
DWn9Z,8/8/1P6/3p4/3r4/P7/2K5/5k2 w - - 0 53,e2f1 b6b7 f1e2 b7b8q,793,77,100,278,advancedPawn crushing endgame master promotion rookEndgame short,https://lichess.org/fE0SsWxf/black#104,
MOSIL,6k1/p3bR2/4P3/5P2/4K3/1p6/8/8 b - - 0 51,f3e4 b3b2 f7e7 b2b1q,795,78,100,526,advancedPawn advantage endgame master promotion short,https://lichess.org/21yznnEY#101,
MbKyT,1r5k/2RP2pp/8/8/r4P2/6PK/7P/8 w - - 0 40,a8a4 c7c8 b8c8 d7c8q,801,87,100,67,advancedPawn backRankMate endgame mate mateIn2 promotion rookEndgame short,https://lichess.org/TOpYxZCZ/black#78,
cHt1p,8/8/K7/5pk1/1P6/P7/8/8 b - - 0 55,a5a6 f5f4 b4b5 f4f3 b5b6 f3f2 b6b7 f2f1q,805,97,100,36,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/gLQV6STF#109,
1rJiT,R7/8/1PK5/8/8/6k1/7p/8 b - - 0 61,h8a8 h2h1q c6c7 h1a8,810,85,100,219,advancedPawn crushing endgame master promotion short skewer,https://lichess.org/E7Xo8M3a#121,
67p5K,8/8/7p/6p1/1PK5/6kP/8/8 w - - 1 47,f3g3 b4b5 g3h3 b5b6 g5g4 b6b7 g4g3 b7b8q,818,81,100,187,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/JspRl8Ap/black#92,
Vjpl6,3k4/1R6/p3P3/1b3r2/P6p/1P5P/3Np1P1/4K3 b - - 0 41,a2a4 f5f1 d2f1 e2f1q,821,89,100,253,advancedPawn crushing endgame promotion short,https://lichess.org/P8fOA8A2#81,
vuJOj,8/8/p5Kp/5P2/4p1k1/8/P5P1/8 w - - 0 43,f4g4 f5f6 e4e3 f6f7 g4g3 f7f8q,831,84,100,361,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/8la6UCUS/black#84,
0Lmrj,4bb1k/4P2p/6p1/rp1B4/4P3/2N5/PP1r2PP/7K w - - 0 33,g7f8 e7f8q,838,79,100,522,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/SJH890Ut/black#64,
thX87,8/8/8/6R1/4k1Kp/3p4/8/8 b - - 0 60,b5g5 d3d2 g4h4 d2d1q,840,83,100,163,advancedPawn crushing endgame promotion rookEndgame short,https://lichess.org/XOdBYZvq#119,
PKloS,8/8/6R1/p4K1p/6rP/6Pk/8/8 w - - 6 75,a4g4 g6g4 h5g4 h4h5 h3g3 h5h6 g3f3 h6h7 g4g3 h7h8q,846,114,100,19,advancedPawn crushing endgame promotion quietMove rookEndgame veryLong,https://lichess.org/mA05Fu6L/black#148,
q1VPL,8/8/8/6KP/2R3P1/2pk4/8/8 b - - 0 44,c8c4 d3c4 h5h6 c3c2 h6h7 c2c1q,854,77,100,208,advancedPawn crushing endgame long master promotion,https://lichess.org/HSvACgKc#87,
ZL3FE,8/8/7P/1p6/1P1B4/P2bKp2/6k1/8 b - - 9 53,f4e3 f3f2 e3d3 f2f1q,859,80,100,175,advancedPawn bishopEndgame crushing endgame promotion short,https://lichess.org/myuJQoUS#105,
s8mnU,3r2k1/p2PRn1p/1p4p1/1P6/2b5/2B4P/P4P1K/8 w - - 1 42,d5c4 e7e8 d8e8 d7e8q,863,87,100,337,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/sSL38Gyb/black#82,
iBNEp,3r1k2/3PRp2/5P2/2p5/8/8/1p4K1/r3R3 w - - 2 43,a8a1 e7e8 d8e8 d7e8q,868,81,100,82,advancedPawn endgame mate mateIn2 promotion rookEndgame short,https://lichess.org/S7YxLMlm/black#84,
eDgyK,Q7/8/8/4k3/4pb2/3p4/1p5p/3K3B b - - 0 66,a7a8q b2b1r,876,79,100,228,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/VXHGjTO3#131,
MZdE6,8/2K5/7k/8/1P4p1/2P5/8/8 b - - 1 59,b7c7 g4g3 b4b5 g3g2 b5b6 g2g1q,881,87,100,51,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/B3noCrO3#117,
MQo8B,rnb1k2r/pp2Pp1p/6p1/q5B1/4n3/5N2/PbP1KPPP/R2Q1B1R w kq - 0 10,c3b2 d1d8 a5d8 e7d8q,888,80,100,99,advancedPawn fork mate mateIn2 middlegame promotion short,https://lichess.org/N2w2hgBN/black#18,Pirc_Defense Pirc_Defense_Classical_Variation
Z1LYr,2r3k1/5p1p/6p1/1N6/4p3/6P1/3p1PBP/R4K2 b - - 2 46,g1f1 c8c1 a1c1 d2c1q,895,78,100,108,advancedPawn crushing endgame promotion short,https://lichess.org/APebwrQO#91,
