PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
f8tgK,6k1/5ppp/p1q5/8/8/7P/P4PP1/3Q2K1 w - - 0 27,c8c6 d1d8 c6e8 d8e8,503,92,100,110,endgame mate mateIn2 queenEndgame short,https://lichess.org/7rVIU0Uw/black#52,
AYLOG,3q2k1/5pp1/1pQ1p2p/p7/8/2P3P1/PP3PP1/5K2 b - - 5 25,g1f1 d8d1,506,90,100,62,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/J0P442i0#49,
K8NSh,6k1/1q4pp/3pp3/5p2/3P4/4P3/P2Q1PPP/6K1 b - - 0 26,d3d2 b7b1 d2c1 b1c1,514,88,100,94,backRankMate endgame mate mateIn2 queenEndgame short,https://lichess.org/06FQnThG#51,
TraXb,5k2/p7/3q4/7P/P3Qp2/6K1/8/8 w - - 0 58,g5f4 e4f4 d6f4 g3f4,524,97,100,231,crushing endgame queenEndgame short,https://lichess.org/zeA6ojmW/black#114,
DzVeS,5Q2/8/8/8/5K1k/8/8/6q1 w - - 0 81,g2g1q f8h8,528,101,100,342,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/F5mxmAQ5/black#160,
Hc9xW,8/1Q3ppk/p1P5/3p4/3q3p/7P/PP3PP1/5K2 b - - 0 38,c5c6 d4d1,536,98,99,425,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/6w1OtBGs#75,
WhqH1,7k/ppp3pp/6q1/4p3/2P5/7P/P2Q2P1/6K1 w - - 0 32,d6e5 d2d8 g6e8 d8e8,540,99,100,182,backRankMate endgame mate mateIn2 queenEndgame short,https://lichess.org/NLYGJfCU/black#62,
QLiKl,6QK/p4k2/1p4q1/8/1P5P/P7/8/8 b - - 0 54,g7g8q g6g8,550,84,100,118,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/0ONY7YoI#107,
APlpd,8/8/p7/1p1K1qk1/1P1Q4/2P5/8/8 w - - 16 69,f1f5 d4e5 f5e5 d5e5,558,86,100,278,crushing defensiveMove endgame master queenEndgame short,https://lichess.org/oqC9vas2/black#136,
j7p0s,6k1/5p1p/p3pp2/8/1q1P4/4P3/1PQ2PPP/6K1 b - - 0 24,e2c2 b4e1,573,87,100,110,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/cdvIIu1A#47,
6fuGf,8/5pk1/PQ4p1/8/2K2q2/8/8/8 w - - 2 50,g3f4 b6d4 f4d4 c4d4,577,86,100,610,crushing endgame master queenEndgame short,https://lichess.org/lPiyHffa/black#98,
MfyAq,8/5p1k/3P2p1/p6p/P3P2P/3Q2PK/8/q7 b - - 0 53,d5d6 a1h1,584,91,100,168,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/lYh1tMps#105,
KnxwI,KQ6/2k5/8/8/8/8/1q6/8 b - - 0 69,b7b8q b2b8,585,85,100,178,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/rizCLHsp#137,
cwq36,7k/6pp/8/1q6/p7/2Q4P/1P4P1/6K1 w - - 1 38,e8b5 c3c8 b5e8 c8e8,613,86,100,200,backRankMate endgame mate mateIn2 queenEndgame short,https://lichess.org/uFoeAqw3/black#74,
E32Cg,7k/5q2/p7/4P3/1Q1P4/8/PP5P/7K b - - 0 44,c5b4 f7f1,618,87,100,98,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/6cf49SwN#87,
tAbEZ,4k3/p1K2p2/1p1P1Pp1/6P1/8/1P6/P7/7q w - - 0 46,h2h1q d6d7 e8f8 d7d8q,630,90,100,106,advancedPawn deflection endgame mate mateIn2 promotion queenEndgame short,https://lichess.org/ijBFGKSa/black#90,
jM8nL,8/6pk/1p4Q1/1P1P1P2/1P5p/4p1qP/6P1/7K b - - 1 40,f7g6 g3g6 f5g6 h7g6,637,83,100,1023,crushing endgame queenEndgame short,https://lichess.org/CAEkIUwO#79,
jD3yo,8/8/1p6/8/k5P1/q6K/Q7/8 w - - 2 58,c5a3 a2a3 a4a3 g4g5 b6b5 g5g6 b5b4 g6g7 b4b3 g7g8q,640,83,100,337,advancedPawn crushing endgame promotion queenEndgame quietMove veryLong,https://lichess.org/m2cMGGKw/black#114,
