PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
fImTO,6k1/1p3ppp/p7/q6P/8/2p4P/8/4R1K1 w - - 0 39,d5a5 e1e8,503,99,100,48,backRankMate endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/rmtlhGXo/black#76,
O8NlJ,4r1k1/pQ4pp/2p5/3p4/8/2P2P2/4r1PP/R6K b - - 0 28,f1a1 e2e1 a1e1 e8e1,513,92,100,111,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/tYNH1cBz#55,
KrVGz,5r2/pkp3pp/1p2p3/8/3QPr2/2P5/PP2R1PP/6K1 b - - 0 29,e1e2 f4f1,516,95,100,122,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/g3VkjVsO#57,
GBS4m,8/p6R/8/8/8/k1K5/r7/1q6 w - - 2 71,a1a2 h7a7,529,90,100,245,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/PZ8cyLv0/black#140,
9ukvE,1kr5/1p3p2/pQ1p3r/4p3/4Pp2/3R4/PP3P2/K1R5 b - - 0 32,d1c1 c8c1,530,97,100,248,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/kd7ASgaS#63,
2Ymrf,1r4k1/p4ppp/8/3P2q1/4R3/7P/P4PP1/4R1K1 w - - 0 26,a8b8 e4e8 b8e8 e1e8,538,86,100,185,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/i1I6zCwD/black#50,
gxDwX,4r1k1/6p1/p5R1/3p1p2/5P2/P7/4r1PP/2Q4K b - - 0 39,f1c1 e2e1 c1e1 e8e1,541,97,100,63,backRankMate endgame fork master mate mateIn2 queenRookEndgame short,https://lichess.org/AI2LW5iq#77,
o7Pyg,6k1/5ppp/1q2p3/R2pP3/5P2/2r4P/6PK/8 w - - 0 33,c8c3 a5a8 c3c8 a8c8 b6d8 c8d8,552,90,100,276,backRankMate endgame long mate mateIn3 queenRookEndgame,https://lichess.org/Lo532jEn/black#64,
TbSap,8/8/2p3Rp/ppp5/6P1/Pq4Pk/1P3P2/3R2K1 b - - 2 36,g7g6 b3d1,559,85,100,142,endgame hangingPiece master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/qKjCf1e8#71,
u8TWi,6k1/5ppp/r5r1/8/4q3/6P1/5P1P/RR4K1 w - - 0 29,a8a6 b1b8 e4e8 b8e8,560,86,100,128,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/GpewcOdJ/black#56,
yABlp,7k/pp4pp/3p3r/2p4q/5r1P/P2P1PP1/4R1K1/4R3 w - - 0 28,f8f4 e2e8 h5e8 e1e8 f4f8 e8f8,565,84,100,207,backRankMate endgame long mate mateIn3 queenRookEndgame,https://lichess.org/YUYgK2Zt/black#54,
veq2L,3r2k1/pp3pp1/4p2p/5Q2/8/P1P1R3/1P3PPP/6K1 b - - 0 27,g4f5 d8d1 e3e1 d1e1,571,96,100,124,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/tm1DzfRu#53,
kxMNz,5r1k/1p4pp/2p5/4r3/1p6/1P4P1/P3q2P/3R1R1K w - - 0 24,a8f8 f1f8,575,90,100,112,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/mhlIar5k/black#46,
SIumJ,6k1/1p3rpp/p7/8/8/P1Q5/1P4PP/3r1RK1 b - - 2 26,f2f1 d1f1,596,99,100,40,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/A0g3mA6V#51,
sjKqJ,3r3k/6pp/p4p2/1p2pP2/4P3/2Q5/6PP/7K b - - 0 33,a1c3 d8d1 c3e1 d1e1,604,88,100,62,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/5Bq7o2xh#65,
gDWXr,7k/p2R2pp/8/2q2pr1/P6P/5K2/1P3P2/8 w - - 0 35,g1g5 d7d8 c5f8 d8f8,609,93,100,135,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/8uqhaOyK/black#68,
Q0eZR,3r3k/7p/5RpP/8/p2p2P1/8/1qP5/3K1R2 w - - 0 37,b4b2 f6f8 d8f8 f1f8,610,88,100,77,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/W3aJJHoJ/black#72,
B0035,6rk/pQ6/3p1p1p/2p2Pp1/4r3/8/PPP2RPP/7K b - - 0 28,f1f2 e4e1 f2f1 e1f1,619,98,100,37,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/PoCFRZOY#55,
zAlr5,2rr2k1/p4pp1/1p2p2Q/8/2p5/6R1/PP3PPP/3R2K1 b - - 0 25,c1d1 d8d1,622,106,100,36,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/x9LwtuIX#49,
sZVDj,2r3k1/3R1ppp/8/1pP5/1q6/7P/5PP1/3R2K1 w - - 0 32,f8c8 d7d8 c8d8 d1d8,626,84,100,87,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/6FlqxohU/black#62,
LpHio,8/8/4k2q/2p1P3/6P1/1P4KP/P4R2/8 w - - 7 60,h7h6 f2f6 h6f6 e5f6,631,79,100,217,crushing endgame fork master queenRookEndgame short,https://lichess.org/IMPNmW93/black#118,
JxzbB,5rk1/6pp/2Q5/P2p4/8/2P1p3/6PP/5R1K b - - 0 28,d1f1 f8f1,662,84,100,53,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/aKgsOLZV#55,
oonPQ,4r1k1/p4ppp/8/7q/8/6P1/P4P1P/4R1K1 w - - 0 28,d8e8 e1e8,667,96,100,54,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/Gczji28q/black#54,
