PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
rY2O3,2k4r/1p2r2p/pB3ppb/3R4/bPPRp3/8/P4PPP/5K2 w - - 0 23,d7a4 d5d8 h8d8 d4d8,517,89,100,163,master mate mateIn2 middlegame queensideAttack short,https://lichess.org/weiOAMJC/black#44,
pTtV7,2kr3r/pppq1ppp/3b1n2/4n3/5BP1/2P2Q1P/PP4BK/RN3R2 w - - 0 16,c6e5 f3b7,521,92,100,469,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/ExUCnvjb/black#30,Kings_Gambit Kings_Gambit_Other_variations
s0Ksg,2kr2nr/ppqbb1pp/4p3/3pQ3/3P1B2/2NB4/PP3PPP/R3K2R w KQ - 1 14,a5c7 e5c7,529,86,100,213,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/VYIUMfYR/black#26,French_Defense French_Defense_Advance_Variation
THB2a,8/pb2ppkp/1p3np1/8/4N3/5P2/PPP4P/1K1RqBNR b - - 2 18,d8d1 e1d1,531,92,100,72,hangingPiece mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Jk6dVKDX#35,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
R2U3b,r3k2r/1p1n1ppp/1qp2n2/3NP3/p4B2/b2QPN2/1PP2PPP/1K1R3R b kq - 0 12,c3d5 b6b2,539,91,100,297,master mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Kz4nPXQb#23,Rapport-Jobava_System Rapport-Jobava_System_Other_variations
Mjntq,r5k1/5pp1/2Q1pn1p/3p3P/2n3P1/4PP2/2PP2B1/N1KN3R b - - 0 26,b3a1 a8a1,540,81,100,288,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/AIuWhwco#51,
3JiST,2kr1bnr/ppp2ppp/4p1q1/4Qb2/5B2/2NP4/PPP2PPP/R3KB1R w KQ - 0 10,e7e6 e5c7,556,88,100,235,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/h9oO1PPm/black#18,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
5jwxQ,r1b2rk1/5ppp/pNnppb2/4q3/1p2P1P1/5Q1P/PPP1NP2/1K1R1B1R b - - 3 15,a4b6 e5b2,560,89,100,608,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/MBC7oByO#29,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
l41yu,1k1r1r2/1pp3b1/p2q2pp/2N2pp1/Pn1P4/2N1PQ1P/1P3PP1/R3K2R w KQ - 1 19,c6b4 f3b7,571,89,100,508,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/XssqEEDT/black#36,Queens_Gambit Queens_Gambit_Other_variations
tEI6B,1k1r1b1r/ppp2ppp/2n5/3qPb2/Q3pB2/1NP1P3/PP3PPP/2KR2NR b - - 0 12,d4e5 d5d1,577,96,100,82,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/VeeZ1LbS#23,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
0iCwz,2k1r3/1pp4p/1r4p1/p2Rn3/7B/b2R4/P1P3PP/K7 w - - 0 27,c4e5 d5d8 e8d8 d3d8,594,79,100,182,mate mateIn2 middlegame queensideAttack short,https://lichess.org/S5fAQjNE/black#52,
cQO35,2kr4/ppp5/4p2p/8/1r1pPQ2/3q1P2/1PR4P/1K5R w - - 0 32,b6b4 f4c7,599,85,100,218,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/RXW85R6V/black#62,
BEGwu,1k1r1b1r/1ppbqppp/p2p1n2/3B4/3nP3/1QN1B3/PP3PPP/R1R3K1 w - - 0 13,c6d4 b3b7,600,82,100,220,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/VOsOi9QR/black#24,Danish_Gambit_Accepted Danish_Gambit_Accepted_Other_variations
j62rO,r2n1rk1/ppp3pp/4Ppb1/8/q7/P1B1Q1P1/1PP4P/2KR1BR1 b - - 0 19,a2a3 a4c2,614,90,100,115,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/UYAltUJ0#37,
