PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
dfbvn,8/8/8/2K3p1/1P5k/8/8/8 b - - 1 53,b5c5 g5g4 b4b5 g4g3 b5b6 g3g2,502,93,100,180,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/yIzUHYiO#105,
GT9Zy,8/8/6K1/1p6/7P/2k5/8/8 w - - 2 51,b4c3 h4h5 b5b4 h5h6 c3c2 h6h7 b4b3 h7h8q,507,92,100,280,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/XtWz6pGW/black#100,
yXnYR,8/8/8/p5K1/1k4P1/5P2/8/8 b - - 0 59,f5g5 a5a4 g5h5 a4a3 g4g5 a3a2,512,91,100,140,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/QKnILYtW#117,
VwoKr,8/8/2p5/8/P3k3/4p3/4K3/8 w - - 1 41,f4e4 a4a5 c6c5 a5a6,519,98,100,106,crushing endgame pawnEndgame quietMove short,https://lichess.org/zbAcN4nU/black#80,
KLcl4,8/1p6/1K6/P6p/6k1/1P6/8/8 b - - 1 52,c5b6 h5h4 b6b7 h4h3 b7b8 h3h2 a5a6 h2h1q,523,87,100,461,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/9cDkVOLc#103,
rvFW3,8/8/8/2pp4/6P1/2k4K/2P5/8 w - - 0 49,d2c3 g4g5 c3c2 g5g6 d5d4 g6g7 d4d3 g7g8q,531,86,100,160,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/KJHepVi3/black#96,
HyzpW,8/8/8/1p4K1/7P/2k5/8/8 w - - 1 63,b4c3 h4h5 b5b4 h5h6 c3c2 h6h7 b4b3 h7h8q,536,99,100,306,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Xg75TjRm/black#124,
OFtsR,8/8/8/1K3k1p/PP6/8/8/8 b - - 0 68,a3a4 h5h4 b5a5 h4h3 b4b5 h3h2 b5b6 h2h1q,541,91,100,163,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/2zR59bn7#135,
MB1ey,8/8/1K3k2/2p5/8/P7/8/8 b - - 0 50,b5b6 c5c4 a3a4 c4c3 a4a5 c3c2 a5a6 c2c1q,545,93,100,206,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/0hwj2xE4#99,
XtZgK,8/6p1/1K5p/8/8/P5k1/8/8 w - - 0 51,h2g3 a3a4 g7g5 a4a5 g5g4 a5a6 g3h2 a6a7 g4g3 a7a8q,552,96,100,61,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Amjc8mEN/black#100,
OiFlU,2k5/8/3K3p/2p5/4P3/8/6PP/8 b - - 1 43,e7d6 c5c4 d6e5 c4c3,559,87,100,116,crushing endgame pawnEndgame quietMove short,https://lichess.org/hE3gd6Ch#85,
JKtLT,8/8/p7/1p6/4pPK1/k3P3/P7/8 w - - 1 56,b4a3 f4f5 a3a2 f5f6 b5b4 f6f7,564,89,100,233,advancedPawn crushing endgame long master pawnEndgame quietMove,https://lichess.org/WW8StZcY/black#110,
K1ZZe,8/1p5p/2p5/5K2/4PP2/p7/P1k5/8 w - - 1 47,d2c2 e4e5 c2b1 e5e6 b1a2 e6e7,566,89,100,148,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/ZqN9XrYb/black#92,
fbRB7,8/8/p5K1/8/8/1k6/6PP/8 b - - 0 47,h7g6 a6a5 g6f7 a5a4 g2g4 a4a3 g4g5 a3a2 g5g6 a2a1q,579,93,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/EBgThFi3#93,
PJhEA,8/8/p7/1p4p1/1P2Pp2/P2k1K2/8/8 w - - 0 43,d4d3 e4e5 d3d4 e5e6 d4e5 e6e7,583,86,100,215,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/HbC7tkfd/black#84,
g8Rfu,8/8/4K3/1p6/3k4/8/5P2/8 b - - 1 54,f7e6 b5b4 f2f4 b4b3 f4f5 b3b2 f5f6 b2b1q,585,85,100,223,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/kjwcJWuc#107,
