PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
5jzmW,2k5/R1P2p2/6p1/7p/p7/5PPK/6P1/r7 b - - 1 43,h2h3 a1h1,500,92,100,255,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/6hx56MTv#85,
oZs3t,5k2/2R5/5K2/p3p3/P2pP3/1r6/8/8 w - - 0 52,d3b3 c7c8,517,91,100,261,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/Y6jBzeVM/black#102,
OGJ5A,8/5pp1/7p/3R4/4pkPP/2r2P2/5K2/8 w - - 0 39,c6c3 d5f5,524,92,100,175,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/xOt5cD8Q/black#76,
yW4T9,8/8/5k2/1R5K/6P1/r7/8/8 b - - 0 65,g3g4 a3h3,528,83,100,539,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/1rnld0ZM#129,
0XqGm,8/8/1r2P3/5p2/5P2/3R1P1k/8/7K b - - 0 44,d1d3 b6b1 d3d1 b1d1,530,87,100,225,endgame mate mateIn2 rookEndgame short,https://lichess.org/aV9Ie1Hz#87,
FEVy3,1r6/5p2/4pp1p/8/2P5/1rkp1P2/1R4PP/1R1K4 w - - 0 30,b4b3 b2b3 b8b3 b1b3,539,93,100,149,crushing endgame rookEndgame short,https://lichess.org/PD4ns4La/black#58,
DgoV8,3r2k1/5ppp/p7/8/PpR5/1P6/2Pr1PPP/2R3K1 b - - 2 28,c5c4 d2d1 c1d1 d8d1,544,85,100,182,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/7TzsG7Gi#55,
pSkUA,2k5/p1pp4/Pp6/3P4/4r2P/R1P5/2r5/5RK1 w - - 7 30,e1e4 f1f8 e4e8 f8e8,550,86,100,85,endgame mate mateIn2 rookEndgame short,https://lichess.org/ZPgoyL2t/black#58,
PfUxI,3r2k1/5pp1/5p1p/8/5RP1/Pp3P2/1P5P/1K6 b - - 0 39,a1b1 d8d1,559,89,100,77,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/xqSv0ZZN#77,
oft1v,8/2R2rk1/8/pK6/P7/8/8/8 w - - 0 62,f6f7 c7f7 g7f7 b5a5,569,79,100,168,crushing endgame master rookEndgame short,https://lichess.org/TR32N1mB/black#122,
3vn9w,8/8/8/8/8/k7/4r3/KR6 b - - 36 76,c1b1 e2a2,572,88,100,91,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/x6kLSlQQ#151,
eN1HZ,5R2/8/4p3/3p4/3Pk3/4P3/4K3/7r w - - 7 48,f5e4 f8f4,576,84,100,136,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/X6D6cPk0/black#94,
nJoCC,3R4/8/6p1/6rk/8/5K2/8/8 w - - 0 59,g4g5 d8h8,584,86,100,184,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/TXv2AYUb/black#116,
ww7tp,r7/8/3RR3/5p2/1k1p4/3P2pP/2P3P1/6K1 b - - 2 49,c6d6 a8a1 e6e1 a1e1,585,90,100,352,endgame mate mateIn2 rookEndgame short,https://lichess.org/3CHnIYrg#97,
zvF0J,3k4/rPR2p1p/3P2p1/8/8/8/5PPP/6K1 b - - 0 41,a6b7 a7a1 c7c1 a1c1,594,90,100,205,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/oVfobQxF#81,
coCkm,2r2r2/8/p6p/1p6/3p1kPP/5P2/PP3K2/4R3 w - - 0 31,e5d4 e1e4,598,87,100,401,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/BYdKHyOD/black#60,
Xbebo,8/1k6/R7/KP6/1P6/3r4/8/8 b - - 0 80,b3b4 d3a3,604,85,100,66,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/sLahZmgr#159,
vOFFM,6k1/5ppp/p1R5/1p6/8/PP1r3P/5PP1/6K1 w - - 2 29,d8d3 c6c8 d3d8 c8d8,606,96,100,35,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/IZMOZXC5/black#56,
4xwHA,r7/8/1R5p/6p1/6P1/5k2/7P/5K2 b - - 0 39,e6b6 a8a1 b6b1 a1b1,611,83,100,93,endgame mate mateIn2 rookEndgame short,https://lichess.org/8HeTTc6f#77,
MIX0n,4R3/8/8/8/8/3K4/pr6/1k6 w - - 2 86,a1b1 e8e1,616,86,100,151,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/Gk5W2Fgp/black#170,
lLLr0,6k1/R4p1p/6pP/8/5PK1/1r6/R5P1/6r1 w - - 3 40,a1g1 a7a8 b3b8 a8b8,620,109,100,37,endgame mate mateIn2 rookEndgame short,https://lichess.org/6ih2nYIL/black#78,
aUnoL,7k/3R2p1/pP5p/5r2/8/P7/2P1p1PP/4R2K b - - 0 32,c5b6 f5f1 e1f1 e2f1q,629,88,100,102,advancedPawn endgame mate mateIn2 promotion rookEndgame short,https://lichess.org/wT8LgOch#63,
jyjKD,3r2k1/p2P1ppp/8/2p1R3/2r1P1P1/7P/8/6K1 w - - 1 37,f8d8 e5e8 d8e8 d7e8q,630,88,100,284,advancedPawn endgame mate mateIn2 promotion rookEndgame short,https://lichess.org/btjFNQiL/black#72,
