PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
vCCbv,6k1/3r1p1p/rp4p1/8/1P1B4/3pP2P/5PP1/2Rb2K1 w - - 0 33,a8a6 c1c8 d7d8 c8d8,501,85,100,78,endgame mate mateIn2 short,https://lichess.org/MJFhrWpe/black#64,
SgDvZ,3rk2B/1b1p1p1p/3qp1p1/1B6/P3P3/2P2P1Q/1P3bPP/RN5K b - - 0 22,f6h8 d6d1 b5f1 d1f1,506,88,100,183,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/UqVFj7Ic#43,
cvyG9,6k1/5ppp/4p3/2Np1b2/1q1P4/5N2/5PPP/R5K1 w - - 0 27,b8b4 a1a8 b4b8 a8b8,512,86,100,380,backRankMate endgame mate mateIn2 short,https://lichess.org/MtJOArMf/black#52,
hSLWq,2kr3r/1p1q1ppp/p1nQpb2/8/4P3/P1N2N2/1PP2PPP/2KR3R b - - 0 13,d3d6 d7d6 d1d6 d8d6,516,84,100,251,advantage middlegame short,https://lichess.org/wMYy2zbz#25,Sicilian_Defense Sicilian_Defense_Chekhover_Variation
Iix5F,2r3k1/5ppp/p3pn2/8/5b2/P2P4/1P2qP1P/2R3K1 w - - 0 36,a8c8 c1c8 f6e8 c8e8,521,94,100,47,backRankMate endgame mate mateIn2 short,https://lichess.org/TbBBVMsy/black#70,
3By7U,6k1/7p/6pn/6N1/3B4/1P6/P3r1rP/2R2K2 w - - 2 41,g4h6 c1c8 e2e8 c8e8,529,84,100,280,endgame mate mateIn2 short,https://lichess.org/QkzbnsqF/black#80,
vRqvE,3r2k1/5pp1/p6p/1p2P1b1/1P2R3/P7/1B3PPP/6K1 b - - 0 27,e1e4 d8d1 e4e1 d1e1,540,87,100,51,backRankMate endgame mate mateIn2 short,https://lichess.org/Ufm0zhep#53,
G8Tea,8/p2n4/7p/4k1p1/B2p4/3K2P1/P4P1P/8 b - - 9 36,b3a4 d7c5 d3c4 c5a4,548,102,100,385,crushing endgame fork short,https://lichess.org/uqWWI2aT#71,
bo9cG,6k1/2Rp1ppp/1r1p4/1p6/3Pn2q/1N2P3/PP3PPP/5RK1 w - - 0 23,b8b6 c7c8 h4d8 c8d8,561,93,100,88,backRankMate endgame mate mateIn2 short,https://lichess.org/hUlv5Bdm/black#44,
V0LV1,1b2r1k1/p3qpp1/7p/2pQ4/2Np4/1P5P/P1P2PP1/R3B1K1 b - - 0 29,d2e1 e7e1 a1e1 e8e1,568,101,100,34,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/YoPJfl16#57,
w4y7F,r4r1k/3qpQnp/pp4p1/2P5/4bR2/1P1pP2P/P5P1/R5K1 w - - 2 23,e8f8 f7f8 a8f8 f4f8,587,85,100,128,backRankMate mate mateIn2 middlegame short,https://lichess.org/7ofe1Nlw/black#44,
iXY4A,r7/5pk1/2p5/2Bb4/7R/6P1/5P2/6K1 b - - 4 38,h5h4 a8a1 g1h2 a1h1,592,89,100,258,endgame mate mateIn2 short,https://lichess.org/4Y1EOOPF#75,
EFN7d,1k6/ppp5/8/4P3/8/1P4P1/PKPr1nq1/2R4R w - - 0 31,d8d2 h1h8 d2d8 h8d8,601,80,100,118,backRankMate endgame mate mateIn2 short,https://lichess.org/UXlUNuIV/black#60,
KNxqR,6k1/5ppp/p5r1/7q/2p1r3/N1Bp2Q1/PP4PP/R6K w - - 0 35,e8e4 g3b8 e4e8 b8e8,605,82,100,195,mate mateIn2 middlegame short,https://lichess.org/uFC14kV4/black#68,
nBzhA,1b3rk1/1b3pp1/p2qpn1p/1pN5/1P1Pp3/P3P2P/1B2QPP1/1BR3K1 b - - 5 21,b3c5 d6h2 g1f1 h2h1,611,80,100,367,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/5mUG9fsQ#41,
u207m,3r4/8/2b1p2p/P1N1k1p1/8/2R3PP/5P2/6K1 b - - 0 39,a4a5 d8d1 g1h2 d1h1,619,79,100,469,endgame mate mateIn2 short,https://lichess.org/0HBLhNFV#77,
ogFjD,r5k1/1pp2ppp/1p6/8/1P6/1q3P2/BP4PP/K2R3R w - - 4 24,c2b3 d1d8 a8d8 a2b3,622,79,100,142,advantage endgame short,https://lichess.org/Dtz9a2vF/black#46,
rT9pf,6k1/p3bpp1/2pq3p/8/1p6/1P2Q3/5PPP/1RBN2K1 b - - 0 27,c3d1 d6d1 e3e1 d1e1,627,85,100,44,endgame mate mateIn2 short,https://lichess.org/QjueHhBY#53,
m5gFN,2kr1b1r/pbp3pp/8/4qp2/3Pp3/8/PPP2PPP/RN1Q1RK1 w - - 0 17,e6e5 d4e5 d8d1 f1d1,630,84,100,150,advantage middlegame short,https://lichess.org/aSDXU6rK/black#32,Ruy_Lopez Ruy_Lopez_Schliemann_Defense
oMJSh,k7/pp1q2p1/4p3/2Ppn3/5Q2/P5P1/5PK1/8 w - - 0 31,f7e5 f4f8 d7c8 f8c8,637,82,100,269,endgame mate mateIn2 short,https://lichess.org/fWftaJGm/black#60,
rV5iJ,5rk1/5pp1/p3p2p/3p4/N2Qn3/5R1R/1Pr2PPP/6K1 b - - 0 26,e3d4 c2c1 d4d1 c1d1,649,79,100,264,mate mateIn2 middlegame short,https://lichess.org/jtTMo0sh#51,
NsxlX,1r5k/6pp/7q/P3P3/3R1P2/6P1/3R1K2/8 w - - 0 47,f8b8 d4d8 b8d8 d2d8,654,89,100,74,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/3KVNnMXE/black#92,
wrmx3,8/8/1k6/4p1p1/K3PpPp/5P1P/8/8 b - - 5 85,b4a4 b6c5 a4b3 c5d4,666,88,100,156,crushing endgame master pawnEndgame short,https://lichess.org/w0euqzmX#169,
2kQVj,8/1p6/p4R2/2k4p/4P3/8/PPP2K1n/8 b - - 0 35,d6f6 h2g4 f2f3 g4f6,671,82,100,199,advantage endgame fork short,https://lichess.org/aJtQxtPw#69,
JkeR9,r5k1/5ppp/2pQ4/pp6/8/P1P2q2/1P3P1P/3R2K1 w - - 0 30,e2f3 d6d8 a8d8 d1d8,685,86,100,72,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/kF4qimUO/black#58,
dTfCX,6k1/5p2/R2p4/1pp2P2/2b5/2Br4/1P2K1P1/8 w - - 2 33,b3c4 a6a8 g8h7 a8h8,693,80,100,277,endgame mate mateIn2 short,https://lichess.org/Et3Gbm7U/black#64,
MuL3R,3R4/1p1P3k/p7/5n1P/P5p1/4p1P1/1PrrN1K1/4R3 b - - 0 44,h4h5 d2e2 e1e2 c2e2,707,78,100,288,crushing endgame master short,https://lichess.org/AngUEp5u#87,
Fzs50,r7/ppp1qk2/3p2p1/5b2/2PPBQP1/8/PP2PP2/R3K3 b Q - 0 20,g3g4 e7e4 f4e4 f5e4,710,81,100,129,advantage endgame master short,https://lichess.org/bdDYQgez#39,
sqbG2,3r3k/1p2n1p1/p3n2p/4N3/PP2P3/2P5/6PP/R5K1 w - - 0 24,h7h6 e5f7 h8h7 f7d8,745,79,100,211,advantage endgame fork short,https://lichess.org/a6DZI6Hw/black#46,
WmQH0,4rr1k/1q4pp/pPp5/3p4/NP1R4/P6Q/5RPP/6K1 b - - 0 25,f1f2 e8e1 f2f1 e1f1,752,79,100,294,mate mateIn2 middlegame short,https://lichess.org/y3DVscFI#49,
cs3CE,r1bqkb1r/1p1np1p1/p1npp2p/8/P1B1PP2/2N5/1PP3PP/R1BQK2R w KQkq - 0 10,f7e6 d1h5 g7g6 h5g6,766,80,100,82,mate mateIn2 opening short,https://lichess.org/Ib3DHL9b/black#18,Sicilian_Defense Sicilian_Defense_McDonnell_Attack
YgiAw,8/6b1/3k2P1/1p3P2/2B5/8/P3K3/8 b - - 0 43,e6c4 b5c4 f5f6 g7f6,771,80,100,335,bishopEndgame crushing endgame hangingPiece master short,https://lichess.org/k0Qp7HUh#85,
jScWl,2r5/p7/8/pBk2p2/P6R/2p2P2/6n1/2K5 w - - 1 43,f4g2 h4c4 c5d6 c4c8,775,79,100,294,advantage endgame short skewer,https://lichess.org/Jcw252MG/black#84,
IWxok,6k1/3q1ppp/8/2P5/6P1/R3B2P/p4P2/4K3 w - - 0 36,b7d7 a3a8 d7c8 a8c8,782,117,100,50,backRankMate endgame mate mateIn2 short,https://lichess.org/tP1iXSdN/black#70,
aJj2p,8/R1p3pk/6rp/1P6/Pr6/7P/5R1P/7K b - - 0 42,f1f2 b4b1 f2f1 b1f1,791,83,100,334,endgame mate mateIn2 rookEndgame short,https://lichess.org/cv9XejqO#83,
yTr11,1rb2rk1/2pn1p2/p5pQ/3P2N1/2p5/2R5/P4PPP/6K1 b - - 2 28,f3g5 b8b1 c3c1 b1c1,798,86,100,61,backRankMate mate mateIn2 middlegame short,https://lichess.org/AGeK7Vy2#55,
Ov9Fe,1n1q3k/4r1pp/p3Qp2/1p1p4/3P4/1Pr2N1P/2n1RPP1/4R1K1 w - - 0 25,e8e7 e6e7 d8e7 e2e7,801,83,100,127,advantage middlegame short,https://lichess.org/y82w9QNh/black#48,
msGp7,3r2k1/p3rp1p/bpp1p1p1/4q3/BPP5/8/P2Q2PP/3R2K1 w - - 0 24,a8d8 d2d8 g8g7 d8e7,806,81,100,86,advantage fork middlegame short,https://lichess.org/bm6plLto/black#46,
AiJSS,r2q1rk1/p3ppbp/B1pp2p1/4n3/4P1P1/2N1B2P/PPPQ1P2/R3K2R b KQ - 0 13,e2a6 e5f3 e1e2 f3d2,811,79,100,403,advantage fork middlegame short,https://lichess.org/LZLONr59#25,Sicilian_Defense Sicilian_Defense_Dragon_Variation
zTQBE,r6k/1p1R2p1/p1p4p/4p3/4Qn2/2N3q1/PP4r1/3R3K w - - 0 30,f2g2 d7d8 a8d8 d1d8,817,78,100,342,mate mateIn2 middlegame short,https://lichess.org/rsYySCxC/black#58,
dDwWF,8/6pp/8/p2n1K2/1k6/6PP/P1R5/8 b - - 3 43,f4f5 d5e3 f5e6 e3c2,821,96,100,36,crushing endgame fork short,https://lichess.org/IFbLMrFA#85,
33aG0,8/7R/k6p/5P2/5B2/p7/P5r1/K7 b - - 7 45,g3f4 g2g1 f4c1 g1c1,829,78,100,91,endgame mate mateIn2 short,https://lichess.org/AWYN7Pya#89,
F49EP,6k1/5p1p/4p3/2Pp4/p4P2/8/2P2P2/7K w - - 0 37,a5a4 c5c6 g8g7 c6c7,833,131,100,15,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/8JGwBsk3/black#72,
neD26,6k1/p1q2pp1/7p/P1P1r3/5QPP/1P6/5P2/2R3K1 b - - 0 39,c4c5 e5e1 c1e1 c7f4,835,77,100,105,advantage discoveredAttack endgame short,https://lichess.org/GAuKAXqe#77,
xK2ig,r4k1r/4ppb1/6p1/2p4p/2N5/1P1P1Q1P/2P4q/3R1K2 w - - 0 30,c7h2 f3a8 h2b8 a8b8,842,77,100,378,backRankMate hangingPiece mate mateIn2 middlegame short,https://lichess.org/RxZ7TMDb/black#58,
bCGcY,r4rk1/p5pp/b1p1p3/3pP2q/3N4/4Q3/PR3PPP/R1B3K1 b - - 4 21,f3d4 h5d1 e3e1 d1e1,848,77,100,291,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/pHIqC4YS#41,
OY0mx,8/5kp1/3r4/pp2r3/2p2P2/2P4P/PP3RK1/8 w - - 0 42,d5e5 f4e5 f7e6 e5d6,851,78,100,331,crushing discoveredAttack endgame rookEndgame short,https://lichess.org/5G51dKo7/black#82,
UFVSX,5r2/pp4pk/5p2/5P2/5Q2/1B4P1/P3qPKP/1r6 w - - 0 32,h8h7 f4h4 e2h5 h4h5,857,100,100,29,endgame mate mateIn2 short,https://lichess.org/iA9I7PYu/black#62,
ckZjG,8/6pk/4Q2p/5p2/p3PP2/6P1/5PK1/1q6 b - - 2 39,g1g2 b1e4 e6e4 f5e4,867,77,100,334,crushing endgame queenEndgame short,https://lichess.org/3DREsQu9#77,
Ga1d5,1k3r2/1p3pp1/pq2p1p1/n2pN1Pn/3P2R1/2rB1Q1P/PP3P2/1K2R3 w - - 0 24,c8c3 e5d7 b8a7 d7b6,871,77,100,154,crushing fork master middlegame short,https://lichess.org/DJ0rj94w/black#46,
jhciK,3r4/1R1r3k/5qp1/2pBp2p/2P1P3/5P1b/P3QP2/1R4K1 b - - 3 42,d2e2 f6g5 g1h2 g5g2,902,91,100,38,mate mateIn2 middlegame short,https://lichess.org/Fkz8SCkS#83,
PB3sP,5qrk/5p2/r4P2/p2p2Qp/n1pP4/NpP2R2/1P4PP/6K1 w - - 0 34,g6h5 g5h5 f8h6 h5h6,905,76,100,421,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/PzLCv3tx/black#66,
9XEYc,r1b2k2/ppp1q1bp/6p1/2n5/1Q6/4B2P/PPP2PP1/RN2K2R b KQ - 4 15,f4e3 c5d3 c2d3 e7b4,916,76,100,177,advantage discoveredAttack middlegame short,https://lichess.org/FCQw32o6#29,Indian_Defense Indian_Defense_Other_variations
sreJe,r5k1/1R1Q2b1/4p3/3p4/3Pp1pP/4P1P1/4K1P1/r7 b - - 2 33,f1e2 a8a2 b7b2 a2b2,920,79,100,224,endgame mate mateIn2 short,https://lichess.org/N6uBlKjz#65,
B13Iu,5br1/1pp2p1k/5p1r/p2PpN1R/2P1P3/qP5R/P5PP/7K w - - 0 32,g6h6 h5h6 f8h6 h3h6,926,82,100,65,mate mateIn2 middlegame short,https://lichess.org/nFSVRJl3/black#62,
zABd8,2k5/8/5r2/6n1/P1N2p2/1PK5/2P2R2/8 b - - 1 41,b2c3 g5e4 c3d3 e4f2,931,104,100,40,advantage endgame fork short,https://lichess.org/JML1yCGS#81,
DqTWP,5rk1/1p3R2/2bNp1Bp/3nP3/p7/6P1/1P5P/6K1 w - - 1 35,a8f8 g6h7 g8h8 f7f8,936,77,100,438,advantage deflection endgame short,https://lichess.org/qe6kPjCZ/black#68,
paLuz,r2k1B1r/1p1n1ppp/p5b1/2N5/3Q2P1/7P/1P1K1P2/1qq1R1NR w - - 0 23,c2c1q e1c1 b1c1 d2c1,942,99,100,65,crushing middlegame pin short,https://lichess.org/pFP3cmPj/black#44,
Nbzbr,1k6/ppp3p1/8/3N1B2/4P3/P5Q1/2Pq1r1P/1K5R b - - 6 23,c1b1 d2c2 b1a1 c2b2,953,123,100,25,endgame mate mateIn2 short,https://lichess.org/crYxItn7#45,
aZHhl,6k1/5p1p/1q4p1/1P6/5P2/4p1P1/2R1Q1KP/r7 w - - 0 34,g7g6 c2c8 g8g7 e2b2,956,78,100,319,advantage endgame short,https://lichess.org/gNYR0GiX/black#66,
nFwgm,8/5R2/1k6/1p3P1r/pK6/P1P5/8/8 b - - 0 54,f4f5 h5h4 c3c4 h4c4,982,78,100,180,endgame mate mateIn2 rookEndgame short,https://lichess.org/7tdEV2z5#107,
Eut1n,1q6/p3kp2/4pp1p/2N2b2/3P2r1/1P6/P1PQ1PP1/4RR1K b - - 4 21,d3c5 g4h4 h1g1 b8h2,986,77,100,94,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/NHcYocJT#41,
jckGK,2r1r1k1/1p1q1pp1/p3p2p/3N4/7b/3Q3P/PP3PP1/3RR1K1 w - - 0 20,e7h4 d5f6 h4f6 d3d7,992,88,100,50,advantage discoveredAttack middlegame short,https://lichess.org/1oR23S8r/black#38,
W0BUi,4rr1k/1p1q3p/p5P1/8/P1QppP2/6R1/1P4PK/R7 w - - 2 27,g8h8 g6g7 d7g7 g3g7,996,79,100,114,advancedPawn crushing endgame fork short,https://lichess.org/x5cXoSlM/black#52,
bpgwG,8/1p5r/3pk3/1pp1n3/4P3/P1B1R2P/1P5K/8 b - - 1 43,g3e3 e5g4 h2g3 g4e3,1006,76,100,190,crushing endgame pin short,https://lichess.org/N0qDHqGQ#85,
6ckjz,5k2/b4p2/P2p4/2qPp1QP/2P2p2/3B4/5RP1/6K1 b - - 0 37,f1f2 c5f2 g1h2 f2g1,1012,78,100,126,crushing endgame master short,https://lichess.org/oEVwr9uW#73,
KThB5,5k2/b4pp1/1q2p1p1/pB2P3/PpQP4/1P1K2P1/8/8 w - - 22 47,g8f8 c4c8 b6d8 c8d8,1028,155,100,24,endgame mate mateIn2 short,https://lichess.org/CLLowovQ/black#92,
lpj0g,3Q4/pk1n4/1pp1Np2/q7/3P4/2P5/PP3P2/1K6 b - - 3 27,g8d8 a5f5 b1c1 f5e6,1033,76,100,120,advantage endgame fork master short,https://lichess.org/vfSbmt8R#53,
UTl9C,2r2r2/1b3pk1/p2p1n1p/1p2p3/4P2q/3P2NP/PP1Q1P2/R3K2R w KQ - 0 25,d7f6 g3f5 g7h7 f5h4,1042,76,100,274,crushing fork middlegame short,https://lichess.org/6OWTfbKS/black#48,
jp7vt,4kbr1/1pP1qp2/3p3p/r1pPp2n/2B1P1b1/3Q1N2/P1P2PP1/R4RK1 w - - 0 19,a8a5 c4b5 a5b5 d3b5,1045,76,100,307,crushing middlegame short,https://lichess.org/kQPiSoBU/black#36,Gunderam_Defense Gunderam_Defense_Other_variations
bTFxi,8/8/6p1/3R1nP1/P1pP1k1P/2P2P2/1P4K1/1b6 b - - 0 49,a3a4 f5e3 g2f2 e3d5,1051,124,100,45,advantage endgame fork short,https://lichess.org/CmFbL9tD#97,
