PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
X4tUT,8/2R5/1p1p4/p2Pk1p1/2P5/1P4K1/P3r3/8 w - - 1 45,e4e2 c7e7 e5d4 e7e2,509,88,100,308,crushing endgame master rookEndgame short skewer,https://lichess.org/0Ac55JWk/black#88,
jfacq,5k2/4b3/4p3/4Pp2/5P1p/4K2P/8/6R1 b - - 5 50,g7g1 e7c5 e3f3 c5g1,510,103,90,575,crushing endgame short skewer,https://lichess.org/aaJdDquf#99,
ZA3Tc,8/8/1R6/3p4/1p1k2r1/1P6/8/2K5 w - - 2 46,e5d4 b6b4 d4d3 b4g4,516,102,96,308,crushing endgame rookEndgame short skewer,https://lichess.org/uHAfQJrY/black#90,
fl9fk,4k2r/r4ppp/p3p3/3n4/8/1P3P2/P4KPP/2R4R w k - 0 23,c7a7 c1c8 e8e7 c8h8,521,105,84,572,advantage endgame short skewer,https://lichess.org/CeejdVKr/black#44,
pCQqC,6k1/1p4r1/p2Bp3/2P5/8/8/5P2/1R2K3 b - - 5 37,f1e1 g7g1 e1e2 g1b1,526,94,100,298,crushing endgame short skewer,https://lichess.org/sSYzZPo2#73,
8f9Ig,4R3/2pkP3/8/pp1r4/8/P1K5/1P6/8 w - - 1 47,d6d7 e8d8 d7e7 d8d5,531,105,93,1152,crushing endgame master rookEndgame short skewer,https://lichess.org/1ODzXZIn/black#92,
Ps0BX,2r3k1/1p1b1p2/p3pp1p/8/3P4/3BP3/PP3PPP/4K2R b K - 2 20,c2d3 c8c1 e1e2 c1h1,543,150,100,32,crushing endgame short skewer,https://lichess.org/1rAvocNa#39,
bVT82,3r1k2/5r2/pp1P3R/8/2P5/1P4PK/P7/8 w - - 0 42,g7f7 h6h8 f8g7 h8d8,549,108,81,216,crushing endgame rookEndgame short skewer,https://lichess.org/uzyFmRn4/black#82,
UQesU,6k1/3b2p1/5pPp/4pP2/1p1pP1BP/1P1P4/r1P5/2K2R2 b - - 3 32,d2c1 a2a1 c1d2 a1f1,551,85,93,343,crushing endgame short skewer,https://lichess.org/lS45pKeF#63,
5qXrP,3b4/8/2p1p3/p1Pp1p1k/P2P1P2/4P1K1/8/4B3 b - - 2 39,f3g3 d8h4 g3h3 h4e1,559,94,100,391,bishopEndgame crushing endgame short skewer,https://lichess.org/H8RlRkH6#77,
TIveC,4r3/p6p/1p5P/2p1k1p1/5pP1/7K/PPP1p3/4R3 w - - 2 40,f6e5 e1e2 e5f6 e2e8,560,87,100,241,crushing endgame rookEndgame short skewer,https://lichess.org/2QmVnOgn/black#78,
XPUf7,8/8/8/8/8/K1k3r1/1R6/8 w - - 1 70,g4g3 b2b3 c3d4 b3g3,567,85,100,241,crushing endgame rookEndgame short skewer,https://lichess.org/JZ28yfsq/black#138,
nkPOy,6k1/1p2p3/3p2p1/3P3p/3NPP2/6P1/7r/2R2K2 b - - 0 37,e6d4 h2h1 f1e2 h1c1,584,84,100,527,advantage endgame short skewer,https://lichess.org/19sXTxKa#73,
c9P4B,8/p4p2/8/2P1RP2/8/Pqk3K1/5P2/8 w - - 1 42,b7b3 e5e3 c3c4 e3b3,586,85,98,796,crushing endgame queenRookEndgame short skewer,https://lichess.org/dUyWdGnN/black#82,
f1Gng,8/1k6/1P4p1/1PP4p/4p2P/4r3/R1K3P1/8 b - - 0 43,a1a2 e3e2 c2d1 e2a2,597,101,100,39,crushing endgame rookEndgame short skewer,https://lichess.org/XEmdVpzo#85,
UsFlg,8/1pp5/p5kP/8/8/PrP1K2R/7P/8 b - - 0 40,g5h6 b3c3 e3f4 c3h3,601,89,99,1665,crushing endgame rookEndgame short skewer,https://lichess.org/KFQ9KAm7#79,
2QY9X,8/4n3/p5p1/P1k1p1P1/3p4/1K3P2/3B4/8 w - - 1 77,d5e7 d2b4 c5b5 b4e7,607,81,100,345,crushing endgame short skewer,https://lichess.org/A62rMHx1/black#152,
6i2ti,2r5/8/7p/6p1/2k3P1/7P/2p1KP2/2R5 w - - 4 37,d5c4 c1c2 c4d5 c2c8,613,86,100,426,crushing endgame master rookEndgame short skewer,https://lichess.org/HPQITDyG/black#72,
lPVnr,8/7p/4k1p1/8/2P1Pp2/5P2/7r/2R2K2 b - - 2 47,e2f1 h2h1 f1e2 h1c1,633,86,100,61,crushing endgame rookEndgame short skewer,https://lichess.org/CBVb4lIZ#93,
V2kim,8/6k1/8/8/3P4/1r2P3/1P2K2R/8 b - - 0 41,h1h2 b3b2 e2f3 b2h2,638,83,100,417,crushing endgame master rookEndgame short skewer,https://lichess.org/x7zWUFqf#81,
sTe5v,8/8/8/8/8/8/1r2k1K1/5R2 w - - 1 69,b3b2 f1f2 e2e3 f2b2,646,87,100,427,crushing endgame rookEndgame short skewer,https://lichess.org/S3KVck8G/black#136,
NJkSX,r2k3r/2p5/pp1p1R1p/3P4/3p4/8/PP4PP/5RK1 w - - 1 22,h7h8 f6f8 h8f8 f1f8 d8e7 f8a8,653,82,100,359,crushing endgame long rookEndgame skewer,https://lichess.org/0wMFBuD4/black#42,
Z32Jp,8/8/8/8/kr6/2K2R2/8/8 b - - 4 64,c4c3 b4b3 c3d4 b3f3,660,83,100,135,crushing endgame rookEndgame short skewer,https://lichess.org/kvMFOkRd#127,
33ggH,8/8/5k1r/1PP5/4P3/2R2K2/8/8 b - - 4 49,g3f3 h6h3 f3g4 h3c3,666,82,100,468,crushing endgame rookEndgame short skewer,https://lichess.org/fbD9Vcog#97,
