PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
DQ0Gg,6rk/p4qpp/1p4p1/6Nn/P2P4/2P5/1P1K1P2/8 w - - 0 40,e7f7 g5f7,505,104,78,391,endgame hangingPiece mate mateIn1 oneMove smotheredMate,https://lichess.org/OJpv8ZLD/black#78,
hY5dg,r3r1k1/5ppp/p1n1b3/1p1p4/6n1/1PN5/PBQNB1PP/3R2RK b - - 0 18,f1g1 g4f2,511,100,86,504,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/28DmwX1z#35,Queens_Pawn_Game Queens_Pawn_Game_Krause_Variation
YgcF6,4r1rk/5ppp/p2p4/1pp3N1/7P/P2q4/1P3PP1/6K1 w - - 0 29,f5d3 g5f7,523,101,94,1150,endgame mate mateIn1 oneMove smotheredMate,https://lichess.org/6h57DMKa/black#56,
wLGMx,2kr1b1r/ppp2pp1/3p3p/3P1P2/Q1B3n1/N1P5/PP4PP/4R1RK b - - 0 19,f1g1 g4f2,525,100,93,2293,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/b23afalM#37,Philidor_Defense Philidor_Defense_Other_variations
r4SCM,r1b3rk/1p1p1qpp/p2N4/2P1p3/8/8/PP3PPP/R3K2R w KQ - 0 25,f6f7 d6f7,534,95,100,518,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/xqYrXmNR/black#48,
M0gq1,r4rk1/4ppbp/6p1/1B2P3/P1N3n1/1R6/1P3QPP/2B3RK b - - 0 28,f3f2 g4f2,537,97,91,923,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/OTfaCX7v#55,
OrniL,r2q2rk/1pp2ppp/pb6/4P1N1/P7/3bpPQP/1PP3R1/R6K w - - 0 23,g6d3 g5f7,549,101,93,912,kingsideAttack master mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/wbOpWjBX/black#44,
L8Cvg,r3r1k1/p1qbb1p1/2np4/1pp1p1N1/4P1n1/2PP4/PP3PBN/R1BQ2RK b - - 3 19,f3g5 g4f2,553,81,100,517,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/d0K26y3A#37,
V7lhK,r1bqr1nk/p1p2pbp/1p1p2p1/3Pp1N1/2P1P3/1PNQ4/P4PPP/R1B2RK1 w - - 3 14,f6g8 g5f7,556,93,90,569,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/bGuLkx7R/black#26,Kings_Indian_Defense Kings_Indian_Defense_Semi-Classical_Variation
AvPAT,r5rk/pppbbppp/4pn2/4BqN1/1PPP4/P4B2/5P1P/R2QK1R1 w Q - 10 18,h3f5 g5f7,561,99,94,1538,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/KxVHdVbq/black#34,Reti_Opening Reti_Opening_Advance_Variation
eooEZ,r4rk1/1pq4p/p2p2p1/5p2/2PQp3/1P1nP1P1/P4PBP/3R2RK b - - 3 25,f1g1 d3f2,568,87,100,506,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/QbHaqwzr#49,
Q8U5I,2rq2rk/1p2bppn/p2p1n2/3Pp1Np/1P2P3/PQ1BB2P/4NPP1/5RK1 w - - 0 19,a8c8 g5f7,573,101,95,1048,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/KzdImipW/black#36,Sicilian_Defense Sicilian_Defense_Alapin_Variation
