PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1Iw3x,1r4k1/p4p1p/4p1p1/3p4/8/2P1P3/P4PPP/1Q4K1 b - - 0 22,b2c3 b8b1,506,116,83,1696,backRankMate endgame hangingPiece master mate mateIn1 oneMove superGM,https://lichess.org/W0UxCfVw#43,
dOPL7,R3b1k1/5p1p/4pqpB/1pr5/3p3P/6P1/5P2/5RK1 w - - 0 36,e5f6 a8e8,513,106,92,2170,endgame hangingPiece master masterVsMaster mate mateIn1 oneMove superGM,https://lichess.org/VQMQMKFL/black#70,
4RvRO,8/1r2k3/1P2p3/1p1p3R/8/8/PP6/2K5 w - - 2 40,e8e7 h5h7 e7d6 h7b7,530,108,87,946,crushing endgame master rookEndgame short skewer superGM,https://lichess.org/PBysk982/black#78,
XPKjf,8/6kp/6p1/4Kpn1/8/P7/8/6R1 b - - 5 54,h1g1 g5f3 e5d6 f3g1,560,114,87,768,crushing endgame fork master masterVsMaster short superGM,https://lichess.org/iMuZqqJ0#107,
pTkKm,1r1n1k2/p1n1p2p/1p5b/2pBPp2/P1N2P2/1PP1BK1P/6R1/8 w - - 1 32,e6c7 g2g8,566,102,93,149,master mate mateIn1 middlegame oneMove superGM,https://lichess.org/2sH3P9XZ/black#62,
sd2S0,Q7/6k1/5p2/5p1K/4n2P/6P1/8/8 b - - 0 58,a7a8q e4g3,588,104,79,394,endgame master masterVsMaster mate mateIn1 oneMove superGM,https://lichess.org/JduTmLsC#115,
JAkGg,8/8/7p/6k1/3r1N2/6PK/8/8 w - - 4 47,f5g5 f4e6 g5f5 e6d4,592,109,93,1721,crushing endgame fork master masterVsMaster short superGM,https://lichess.org/pbDVuNex/black#92,
6A9Sm,3Q4/8/8/8/p1p5/2P1pk2/1P3p2/5K2 b - - 0 67,d7d8q e3e2,595,90,100,174,advancedPawn endgame master mate mateIn1 oneMove queenEndgame superGM,https://lichess.org/9wOAYjXB#133,
JYip8,8/8/4p2p/3kPp1P/4rP2/8/2pKN3/2B5 w - - 14 70,c4e4 e2c3 d5d4 c3e4,604,95,95,1040,crushing endgame fork master short superGM,https://lichess.org/07xjuCFm/black#138,
i8DVo,8/8/r5p1/P6p/7P/R1Pk1KP1/6P1/8 b - - 8 57,f2f3 a6f6,608,91,100,481,endgame master mate mateIn1 oneMove rookEndgame superGM,https://lichess.org/Ad3ON1bi#113,
KZ5pP,6k1/4nR2/3N2p1/7p/8/6PP/2r1QK2/4q3 w - - 3 39,h1e1 f2e1 c2e2 e1e2,610,103,91,2308,crushing endgame master masterVsMaster short superGM,https://lichess.org/dYwuo2uM/black#76,
GC5MP,8/3R1ppk/7p/8/3B1n2/7P/3r1PP1/5K2 b - - 9 32,g1f1 d2d1,628,88,97,477,endgame master mate mateIn1 oneMove superGM,https://lichess.org/WkuWFHDQ#63,
EDmbR,6k1/p1Q2ppp/8/p4n2/8/P7/1q3PPP/4N1K1 w - - 0 26,b5b2 c7d8,633,89,96,870,backRankMate endgame master masterVsMaster mate mateIn1 oneMove superGM,https://lichess.org/Zs567wGM/black#50,
jt3ze,8/8/3Rb1k1/6P1/5P1K/r7/8/3B4 b - - 8 51,g3h4 a3h3,638,97,85,1654,endgame master masterVsMaster mate mateIn1 oneMove superGM,https://lichess.org/ItHAWAv8#101,
iFGxp,5k2/2q2pp1/1p3b1p/pBp4P/P3Q3/2P3P1/1P3PK1/8 w - - 0 38,a7a5 e4e8,644,86,100,465,endgame master masterVsMaster mate mateIn1 oneMove superGM,https://lichess.org/wFPKanvG/black#74,
Hw9qa,rbb2r1k/1p4p1/4Pq1p/p1pp2N1/6Q1/2P5/PPBB2P1/R4R1K b - - 3 31,e1f1 f6f1 a1f1 f8f1,648,108,86,1335,kingsideAttack master mate mateIn2 middlegame short superGM,https://lichess.org/3vA7cnKb#61,
gxeTD,8/R7/4k2B/2rp4/5p2/3n4/P7/K1R5 b - - 0 35,f1c1 c5c1,650,97,83,1012,endgame master mate mateIn1 oneMove superGM,https://lichess.org/EFMCVxjs#69,
