PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
wpxyl,r4rk1/p4pp1/2pbp2p/3p4/3N1P2/2PPqR2/PP4b1/RN1Q3K w - - 0 17,h3g2 h1g2 e3f4 f3f4,516,94,91,298,advantage hangingPiece middlegame short trappedPiece,https://lichess.org/VXdelGWe/black#32,Caro-Kann_Defense Caro-Kann_Defense_Hillbilly_Attack
NskoT,8/8/8/8/7P/2k3P1/p6K/N7 b - - 0 53,h3h4 c3b2 g3g4 b2a1,541,88,100,159,crushing endgame knightEndgame short trappedPiece,https://lichess.org/VJSO7c4c#105,
CaKRv,r1b3r1/ppp1k1bp/5B2/3pp2B/4p2Q/3P4/PP1K1PPP/nN5R b - - 0 15,g5f6 g7f6 h4f6 e7f6,557,87,69,134,advantage middlegame short trappedPiece,https://lichess.org/QwWbWNLB#29,Nimzowitsch_Defense Nimzowitsch_Defense_Colorado_Countergambit
SUEla,r1b1k2r/ppq2ppp/1b2p1n1/P2p4/1P6/2Pn1N2/4QPPP/RNB1K2R w KQkq - 0 12,e5d3 e2d3 b6f2 e1f2,590,88,85,408,advantage middlegame short trappedPiece,https://lichess.org/wPU0NR0v/black#22,French_Defense French_Defense_Advance_Variation
E16tz,r7/Rb1nk3/3RN3/1p1P1p1p/1P3P2/7P/5NP1/5K2 b - - 0 39,a5a7 a8a7 d6d7 e7d7,604,90,84,293,advantage master middlegame short trappedPiece,https://lichess.org/RJNyPDGt#77,
NwSlE,7b/5k2/7P/5KP1/5P2/8/8/8 w - - 1 58,b2h8 g5g6 f7e7 g6g7 h8g7 h6g7,616,94,91,682,advancedPawn bishopEndgame crushing endgame long master trappedPiece,https://lichess.org/S3GDPT4f/black#114,
jCL6E,6r1/pp1k1pN1/2p1rB2/2P5/3Pp3/4P1b1/PP3KP1/5R2 w - - 0 27,c7g3 f2g3 e6f6 f1f6,623,99,64,191,advantage endgame short trappedPiece,https://lichess.org/HcWuypj3/black#52,
SV87A,r1b2rk1/1p4pp/p7/2pP4/2P5/5PbP/PPB2KP1/R2QR2q w - - 7 24,d6g3 f2g3 h1e1 d1e1,625,97,88,711,advantage hangingPiece middlegame short trappedPiece,https://lichess.org/SwT8dhZI/black#46,
Kkj17,8/8/6Kp/7P/8/2k5/p7/N7 b - - 5 51,f5g6 c3b2 g6h6 b2a1,661,98,90,1013,crushing endgame knightEndgame short trappedPiece,https://lichess.org/TaueKQ82#101,
adwq5,7n/7P/5K2/2p5/3k4/8/8/8 w - - 2 57,c4d4 f6g7 d4c3 g7h8,668,94,81,129,crushing endgame knightEndgame master short trappedPiece,https://lichess.org/eSXPOXrr/black#112,
u4SRQ,8/8/8/K7/8/pPk5/B7/8 b - - 2 66,a6a5 c3b2 b3b4 b2a2,702,94,80,436,bishopEndgame crushing endgame short trappedPiece,https://lichess.org/bnc2AJHT#131,
CINkY,6k1/3nbpp1/1p2p2p/1PpqP3/5P1P/6P1/2Q1BBK1/8 w - - 1 49,d6d5 e2f3 d5f3 g2f3,705,89,89,284,advantage defensiveMove endgame master short trappedPiece,https://lichess.org/DgYQ57Ui/black#96,
1oL78,8/pp2kR2/2p2n1Q/7r/5P2/4r3/1P6/5RK1 b - - 0 35,g7f7 e7f7 h6h5 f6h5,721,90,100,115,crushing endgame master short trappedPiece,https://lichess.org/uvtJzxoa#69,
Dby20,1b6/1P6/5k2/3K1ppN/7P/6P1/8/8 b - - 0 64,f4h5 f6g6 h5f6 g6f6,726,89,96,236,crushing defensiveMove endgame master short trappedPiece,https://lichess.org/5PjRnEgQ#127,
