PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
u2HBX,8/pp1rP1k1/5q2/3p2p1/8/4Q3/PP5P/7K w - - 0 41,d8d7 e7e8n g7g6 e8f6,677,95,75,3382,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/Mur5hCPK/black#80,
xKxqn,8/1p6/1P6/8/8/3K4/4p1Q1/3k4 b - - 3 77,e4d3 e2e1n d3e4 e1g2,701,99,82,2980,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/i6NRSXHh#153,
FC1cu,5k2/1p3p2/p2N3p/3pP2P/1P1Pb1p1/P5P1/3Q1p1K/8 b - - 2 44,h1h2 f2f1n h2g1 f1d2,718,104,67,241,advancedPawn advantage endgame fork promotion short underPromotion,https://lichess.org/t0YCoSUx#87,
NNBMn,8/5R1P/6k1/6P1/2p4K/1b6/8/4r3 w - - 3 53,f5g6 h7h8n,730,96,51,1079,advancedPawn endgame mate mateIn1 oneMove promotion underPromotion,https://lichess.org/m4zZxUvl/black#104,
aaJZe,Q7/8/4Rp2/4p1k1/1B2P1p1/2P3K1/5r1p/8 b - - 0 54,a7a8q h2h1n,737,90,77,1329,advancedPawn endgame mate mateIn1 oneMove promotion underPromotion,https://lichess.org/GwEph3lL#107,
Hjvjs,8/8/8/8/8/5Q1p/4K1pk/8 b - - 1 58,f1e2 g2g1n e2e1 g1f3,742,92,84,4136,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/cl7JVOxB#115,
5LIoo,R7/p2q1P1k/1pp3p1/7p/5p2/6P1/PPP3KP/8 w - - 0 32,e5f4 f7f8n h7g7 f8d7,746,94,82,3887,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/Vod4pNjo/black#62,
LjZL1,8/8/p1p5/Pp6/1P6/4Q1K1/2k2p2/8 b - - 11 92,g4g3 f2f1n g3f4 f1e3,751,92,76,1179,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/kYHuh4aH#183,
fgHHs,5k2/p5p1/5p1p/7P/8/PQ2P3/2p1KPP1/3r4 b - - 0 37,b7b3 c2c1n e2d1 c1b3,759,90,82,896,advancedPawn advantage endgame fork master promotion short underPromotion,https://lichess.org/3cP9KUnK#73,
oHs6t,8/4P1kp/5qp1/8/pP2P3/P4P1P/2R3PK/3r4 w - - 0 47,g5f6 e7e8n g7f7 e8f6,772,91,83,5571,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/JAO3H4Uj/black#92,
S4wFn,8/3P1kbQ/p1q1p1p1/8/8/7K/5P1P/1r6 w - - 1 43,f6g7 d7d8n f7f8 d8c6,777,92,79,4270,advancedPawn advantage endgame fork promotion short underPromotion,https://lichess.org/2gJRneUu/black#84,
EjJ02,4K3/1q1P4/4k2p/6pP/8/1P4P1/P7/8 w - - 11 52,e5e6 d7d8n e6d5 d8b7,781,93,76,3263,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/Qv2pciUA/black#102,
VdPcJ,8/8/8/8/8/1K6/2p1Q3/1k2b3 b - - 18 69,c4b3 c2c1n b3c4 c1e2,789,93,80,3257,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/1AsLTZwJ#137,
iLc7O,8/2q1P1kp/1p1p2p1/pP3n2/P7/1B5P/1P4P1/7K w - - 1 39,g8g7 e7e8n g7f8 e8c7,794,92,86,6191,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/zQTn1PbF/black#76,
