PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
SG7ow,8/8/8/1K5p/PP4k1/8/8/8 b - - 0 52,a3a4 h5h4 b5a5 h4h3 b4b5 h3h2 b5b6 h2h1q,500,97,100,249,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/yWCgh2St#103,
GT9Zy,8/8/6K1/1p6/7P/2k5/8/8 w - - 2 51,b4c3 h4h5 b5b4 h5h6 c3c2 h6h7 b4b3 h7h8q,507,92,100,280,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/XtWz6pGW/black#100,
Sut5a,8/8/8/2p3K1/7P/3k4/8/8 b - - 2 62,h5g5 c5c4 h4h5 c4c3 h5h6 c3c2 h6h7 c2c1q,511,94,100,146,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/QijLzKQ9#123,
rvFW3,8/8/8/2pp4/6P1/2k4K/2P5/8 w - - 0 49,d2c3 g4g5 c3c2 g5g6 d5d4 g6g7 d4d3 g7g8q,531,86,100,160,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/KJHepVi3/black#96,
HyzpW,8/8/8/1p4K1/7P/2k5/8/8 w - - 1 63,b4c3 h4h5 b5b4 h5h6 c3c2 h6h7 b4b3 h7h8q,536,99,100,306,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Xg75TjRm/black#124,
OFtsR,8/8/8/1K3k1p/PP6/8/8/8 b - - 0 68,a3a4 h5h4 b5a5 h4h3 b4b5 h3h2 b5b6 h2h1q,541,91,100,163,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/2zR59bn7#135,
MB1ey,8/8/1K3k2/2p5/8/P7/8/8 b - - 0 50,b5b6 c5c4 a3a4 c4c3 a4a5 c3c2 a5a6 c2c1q,545,93,100,206,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/0hwj2xE4#99,
XtZgK,8/6p1/1K5p/8/8/P5k1/8/8 w - - 0 51,h2g3 a3a4 g7g5 a4a5 g5g4 a5a6 g3h2 a6a7 g4g3 a7a8q,552,96,100,61,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Amjc8mEN/black#100,
b3sF5,8/8/1K4p1/7p/P7/6k1/8/8 w - - 1 50,h4g3 a4a5 g6g5 a5a6 g3h2 a6a7 g5g4 a7a8q,558,89,100,268,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/hXrw5fvA/black#98,
Su7Y7,8/8/1K6/6p1/5k2/2P5/8/8 b - - 2 54,a7b6 g5g4 c3c4 g4g3 c4c5 g3g2 b6b7 g2g1q,560,114,97,1133,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/1RAxy7UB#107,
dlR6b,8/8/5K2/p7/6P1/8/8/1k6 b - - 1 51,g7f6 a5a4 g4g5 a4a3 g5g6 a3a2 f6f7 a2a1q,569,90,100,94,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/IlZcQ107#101,
PuoiX,8/8/1p6/p3K3/1k3P2/1P6/8/8 w - - 2 53,b5b4 f4f5 b4b3 f5f6 a5a4 f6f7 a4a3 f7f8q,571,88,100,280,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/shVS8pO4/black#104,
fbRB7,8/8/p5K1/8/8/1k6/6PP/8 b - - 0 47,h7g6 a6a5 g6f7 a5a4 g2g4 a4a3 g4g5 a3a2 g5g6 a2a1q,579,93,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/EBgThFi3#93,
hUNs1,8/8/6K1/pp6/1k5P/8/8/8 w - - 0 69,a6a5 h4h5 b4a4 h5h6 b5b4 h6h7 b4b3 h7h8q,581,88,100,80,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/6oLKoZha/black#136,
g8Rfu,8/8/4K3/1p6/3k4/8/5P2/8 b - - 1 54,f7e6 b5b4 f2f4 b4b3 f4f5 b3b2 f5f6 b2b1q,585,85,100,223,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/kjwcJWuc#107,
XG2nq,8/8/2p5/ppP3K1/1k5P/8/8/8 w - - 0 53,a6a5 h4h5 b4a4 h5h6 b5b4 h6h7 b4b3 h7h8q,590,90,100,577,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/LwEHIKpg/black#104,
DCbu0,8/p7/k5K1/1p6/7P/8/7P/8 b - - 1 43,g7g6 b5b4 h4h5 b4b3 h5h6 b3b2 h6h7 b2b1q,598,97,100,237,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/gFxDkQIl#85,
koBHj,8/8/8/6p1/PK6/5k2/8/8 w - - 1 48,g4f3 a4a5 g5g4 a5a6 g4g3 a6a7 g3g2 a7a8q,623,82,100,110,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/6SPvsCQ4/black#94,
fnQG1,8/8/5K2/p7/1k4P1/7P/8/8 b - - 1 42,g6f6 a5a4 f6f7 a4a3 g4g5 a3a2 g5g6 a2a1q,627,90,100,99,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/ehPptLmB#83,
1hfX7,8/8/8/6P1/1p6/k5q1/P6K/8 w - - 0 56,e5g3 h2g3 a3a2 g5g6 b4b3 g6g7 b3b2 g7g8q,636,89,100,207,advancedPawn crushing endgame promotion veryLong,https://lichess.org/d12tw6NF/black#110,
jD3yo,8/8/1p6/8/k5P1/q6K/Q7/8 w - - 2 58,c5a3 a2a3 a4a3 g4g5 b6b5 g5g6 b5b4 g6g7 b4b3 g7g8q,640,83,100,337,advancedPawn crushing endgame promotion queenEndgame quietMove veryLong,https://lichess.org/m2cMGGKw/black#114,
DSqEd,8/8/6K1/p7/1k5P/8/8/8 b - - 1 46,h6g6 a5a4 h4h5 a4a3 g6g7 a3a2 g7g8 a2a1q,663,96,100,104,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/FHRDJOLm#91,
oVbY4,8/8/8/1K3p2/PP4k1/8/8/8 b - - 0 48,a3a4 f5f4 b5c6 f4f3 b4b5 f3f2 b5b6 f2f1q,668,96,100,46,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/oH76LDPw#95,
Jre06,8/8/1p5p/p1p2Kp1/P3P3/3k4/1P6/8 w - - 0 43,d4d3 e4e5 d3c2 e5e6 c5c4 e6e7 c2b2 e7e8q,670,90,100,301,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/t1f6zpcG/black#84,
jU341,8/1K6/6p1/8/8/P3k3/8/8 w - - 1 83,f2e3 a3a4 e3f2 a4a5 g6g5 a5a6 g5g4 a6a7 g4g3 a7a8q,679,80,100,85,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/jDbnFs4d/black#164,
4JioP,8/8/8/7K/1p5P/8/1k6/Q7 b - - 0 57,a8a1 b2a1 h5g6 b4b3 h4h5 b3b2 g6g7 b2b1q,684,78,100,125,advancedPawn crushing endgame promotion veryLong,https://lichess.org/IkB9ttSD#113,
wImCK,8/8/8/2p5/P7/K7/2k5/8 w - - 1 57,c3c2 a4a5 c5c4 a5a6 c4c3 a6a7 c2d2 a7a8q,688,93,98,290,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/TmfUOYTz/black#112,
Fjwmz,8/8/8/1K3p2/P7/6k1/8/8 b - - 1 51,a5b5 f5f4 a4a5 f4f3 a5a6 f3f2 a6a7 f2f1q,690,118,100,27,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/L4b7tnfC#101,
