PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ZO2Kw,8/7p/5p2/8/5P2/r5NK/1R5P/3q2k1 w - - 9 48,f2g1 b2g2,570,93,92,762,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/PGKl6Icf/black#94,
NFjoE,6r1/1p6/p4k1P/3pRn1K/3P4/8/P7/5R2 b - - 6 46,e1f1 g8g5,620,95,80,380,endgame master mate mateIn1 oneMove vukovicMate,https://lichess.org/8vp6XP4i#91,
Oiv6i,6r1/pp6/3R4/5k1P/3p1n1K/8/PP6/5R2 b - - 1 39,h6d6 g8g4,632,99,88,1161,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/wJuXSoGO#77,
IPumF,5r2/pp6/2p4p/3p1r2/2nP1N1k/P1P1P2P/5K2/1R4R1 w - - 5 26,g5h4 g1g4,674,97,91,598,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/6jrDrYah/black#50,
gdcFq,6k1/6qR/1n4NK/8/8/7P/4b3/8 w - - 0 45,b2g7 h7g7,704,91,89,269,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/XFRckrXu/black#88,
beOaW,2k1Nn2/pp3p2/2pR4/2P5/4pq1r/1P1Q3P/1P3P2/1K6 w - - 2 37,c7c8 d6d8,722,84,83,292,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/yR4y7yiv/black#72,
28LfT,4rr2/2b2p2/p7/2pb4/1p3N1k/3P3P/PPP2R1K/6R1 w - - 0 29,g5h4 g1g4,728,99,90,541,mate mateIn1 middlegame oneMove vukovicMate,https://lichess.org/VcqRGZ0T/black#56,
nYdZL,4kn2/3n2R1/p3N3/2ppPp2/5P1B/Pq2P3/8/5K2 w - - 0 46,b8b3 g7e7,730,88,94,533,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/wPUwTSxT/black#90,
w5rBz,2r1k3/R5R1/4N1p1/7p/4p3/1P2P1bP/3r4/6K1 w - - 5 35,f8e8 g7e7,736,86,92,621,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/Ysb5Oh3s/black#68,
zWOR8,6r1/pp1k1p1Q/2pb4/8/4R2P/2N1Pn1K/PPP5/R1B3r1 b - - 6 26,h2h3 g8g3,825,87,94,423,mate mateIn1 middlegame oneMove vukovicMate,https://lichess.org/mhNB2goA#51,
u8HtP,5k2/1R4p1/5PBp/4b3/P7/7P/3r1n2/5RK1 b - - 0 35,g2h3 f2h3 g1h1 d2h2,833,87,85,730,endgame mate mateIn2 short vukovicMate,https://lichess.org/pYTm4Bxt#69,
ROmwy,7k/p7/1p1p3P/2pnp1N1/8/2P5/br6/4K1R1 w - - 0 37,f2b2 g5f7 h8h7 g1g7,849,88,91,417,endgame mate mateIn2 short vukovicMate,https://lichess.org/7KFrgjGK/black#72,
ASByU,r3r3/1p2bp2/p3p2k/P1PpPbNp/5P1P/4B3/5KR1/6R1 w - - 10 40,d3f5 g5f7 h6h7 g2g7,851,85,95,2166,mate mateIn2 middlegame short vukovicMate,https://lichess.org/6IuUQb1P/black#78,
2qscp,6k1/P4ppp/8/4N3/2p5/4P1P1/1rr2n1P/R4RK1 b - - 0 27,a6a7 f2h3 g1h1 c2h2,856,83,94,2305,discoveredAttack endgame mate mateIn2 short vukovicMate,https://lichess.org/SbU7AnIz#53,
7Ytyr,6k1/5pp1/8/3B4/P2P1P1N/2P3P1/1r1r1n1P/R4RK1 b - - 0 28,g2d5 f2h3 g1h1 d2h2,869,83,94,2250,discoveredAttack mate mateIn2 middlegame short vukovicMate,https://lichess.org/6WCg0Hlk#55,
dp1lT,7r/p5R1/1pp2r2/5N1k/4P2P/5K2/8/8 w - - 0 40,e6f6 g7g5,871,86,89,915,endgame master mate mateIn1 oneMove vukovicMate,https://lichess.org/kIP0zTiC/black#78,
st3Rn,3rr3/p6p/5p2/kP6/2pp4/P5P1/1N3P1P/1R4K1 w - - 0 32,d5c4 b2c4 a5a4 b1b4,878,78,89,236,endgame mate mateIn2 short vukovicMate,https://lichess.org/s55Z3ChI/black#62,
07uNx,3Q4/5Pkp/6p1/8/7P/6P1/rr3n2/5RK1 b - - 0 34,e6f7 f2h3 g1h1 b2h2,883,79,96,4592,endgame mate mateIn2 short vukovicMate,https://lichess.org/93vBHQOE#67,
hipjp,5Q2/p6p/6p1/3B1p1k/7P/1P2P1P1/q1r2n2/1R3RK1 b - - 0 31,h2h4 f2h3 g1h1 c2h2,888,89,94,1182,mate mateIn2 middlegame short vukovicMate,https://lichess.org/AZa5JA8F#61,
RH8RJ,6rk/p6p/8/8/3P4/1Q1n3b/PP3P2/RN5K b - - 2 30,b8b3 d3f2 h1h2 g8g2,894,85,96,2281,endgame mate mateIn2 short vukovicMate,https://lichess.org/AqN48dA6#59,
vteIf,6r1/2P2k2/8/3p4/1N1PpBn1/4P2b/2N5/1R5K b - - 2 49,g1h1 g4f2 h1h2 g8g2,896,78,97,1160,mate mateIn2 middlegame short vukovicMate,https://lichess.org/kgXLOxFr#97,
LHcGB,4rrk1/1RR2N1p/p4bp1/8/5P2/3n3P/P5P1/6K1 w - - 0 29,g7f6 f7h6 g8h8 c7h7,902,80,95,980,discoveredAttack mate mateIn2 middlegame short vukovicMate,https://lichess.org/HBsOpacI/black#56,
dMOoJ,4Q3/6bk/2p5/6P1/8/7P/rr3n1B/5RK1 b - - 0 35,f4g5 f2h3 g1h1 b2h2,906,85,95,2762,discoveredAttack mate mateIn2 middlegame short vukovicMate,https://lichess.org/I4corwkG#69,
M7O4B,4k3/6p1/p7/2p1p3/2P1B3/P2P1P1b/2r1n3/R2N3K b - - 8 31,g1h1 e2g3 h1g1 c2g2,911,79,95,3751,endgame mate mateIn2 short vukovicMate,https://lichess.org/LxyjSqtQ#61,
EMNy2,Q7/6k1/1B3p2/4pPp1/3pP1n1/6rp/8/R6K b - - 0 53,a7a8q g4f2 h1h2 g3g2,919,79,99,602,endgame mate mateIn2 short vukovicMate,https://lichess.org/PMUPM9pj#105,
ZNMex,7k/8/6RP/p4pN1/8/2n5/rp6/7K w - - 0 49,b3b2 g5f7 h8h7 g6g7,924,79,95,681,endgame mate mateIn2 short vukovicMate,https://lichess.org/OHjJTdxZ/black#96,
R2md1,8/5N1k/5n2/p5R1/5r2/7P/6RK/4r3 w - - 5 43,h5f6 g5g7,926,85,96,555,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/kp63btRc/black#84,
GogQP,6R1/8/4k3/8/2N3PP/4P3/1r1r1n2/5RK1 b - - 3 44,d6c4 f2h3 g1h1 d2h2,930,82,96,1604,endgame mate mateIn2 short vukovicMate,https://lichess.org/AX0SMDVL#87,
sktaB,8/p4Qpk/5n1p/4pN2/P2pP3/5BP1/r1r2n1P/5RK1 b - - 2 32,d6f5 f2h3 g1h1 c2h2,938,83,97,903,discoveredAttack mate mateIn2 middlegame short vukovicMate,https://lichess.org/2XAqERGW#63,
Ov9Wz,5rk1/1R1R1N1p/p5p1/2n5/8/6P1/r4P1P/6K1 w - - 1 33,a4c5 f7h6 g8h8 d7h7,940,83,95,703,discoveredAttack endgame mate mateIn2 short vukovicMate,https://lichess.org/gwouOAsV/black#64,
ucOdJ,4rrk1/p1R1RN1n/1n6/3p4/5P2/Pb4P1/7P/6K1 w - - 0 31,f6h7 f7h6 g8h8 e7h7,946,77,97,3740,discoveredAttack mate mateIn2 middlegame short vukovicMate,https://lichess.org/u5iYh0FY/black#60,
eO4TX,8/5p2/p5p1/3kp3/1P2n3/2r5/P2bK1PP/3R1B1R b - - 3 37,a1d1 c3e3,954,92,94,1089,endgame master mate mateIn1 oneMove vukovicMate,https://lichess.org/1I4Lg7AE#73,
ejxYj,r6k/1p2n3/p3pP2/3p2NP/r2PbB2/q1P5/P1PQ1P2/1K4R1 w - - 2 26,h7h8 g5f7 h8h7 g1g7,958,79,96,9103,kingsideAttack mate mateIn2 middlegame short vukovicMate,https://lichess.org/LKs5Dqv0/black#50,
