PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
qguvO,Qq4k1/5ppp/4p1b1/2P5/6P1/3P3P/1rP2P2/1R4K1 w - - 2 32,e5b8 a8b8 b2b8 b1b8,516,87,87,146,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/csLHOcbs/black#62,
bdd2W,2q3k1/5p2/Qp2p2p/p2pB1p1/1r1Pn3/2r1P3/P4PPP/R1R3K1 w - - 2 24,d7c8 a6c8 c3c8 c1c8,530,91,85,238,advantage middlegame short xRayAttack,https://lichess.org/C2pVs1T3/black#46,
Qxnj2,r4r2/5Q2/5R1k/p4qp1/4p2p/P2nP2P/5PPB/5RK1 b - - 0 34,b6f6 f5f6 f7f6 f8f6,538,87,81,120,crushing middlegame short xRayAttack,https://lichess.org/YfzEfzs0#67,
r79V3,2r4k/6q1/p1r1Q2R/1p2P2p/7P/P7/6P1/1R5K b - - 4 36,f6h6 g7h6 e6h6 c6h6,554,95,96,709,advantage endgame short xRayAttack,https://lichess.org/GpiWYluJ#71,
51xow,1Qq3k1/p4ppp/4p3/3p4/3P4/1P2PP1P/P1r1n1PK/2R5 w - - 2 29,a6c8 b8c8 c2c8 c1c8,562,97,93,1429,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/gjI6WfaN/black#56,
biv59,2Q2q1k/p5pp/5r2/8/3p4/PPp3P1/5R1P/6K1 w - - 3 39,e7f8 c8f8 f6f8 f2f8,580,96,94,401,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/1WTPxcEb/black#76,
15iwc,4r1k1/pp5p/3B2p1/3pR3/5P2/8/6PP/2r1Q2K b - - 6 35,h4e1 c1e1 e5e1 e8e1,604,101,81,443,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/Dki0IzqS#69,
3dfh9,4q2k/p1p3p1/3pR2p/3Q4/3P4/2P5/P4PPP/1r2B1K1 b - - 2 22,d2e1 b1e1 e6e1 e8e1,606,82,87,217,endgame mate mateIn2 short xRayAttack,https://lichess.org/AiF67bgU#43,
PjQIC,4Qq1k/p5pp/1b6/3P4/5r2/2P5/P2n2PP/5R1K w - - 2 35,c5f8 e8f8 f4f8 f1f8,610,89,84,1313,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/Hwl1arqQ/black#68,
Sp17d,4Qq1k/p5pp/1p6/8/P2P1r2/8/6PP/5R1K w - - 2 40,b4f8 e8f8 f4f8 f1f8,616,90,96,399,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/Arcp9HyQ/black#78,
R5b3O,6k1/pp2pp1p/2br2p1/8/1pP5/PP1R4/R5PP/1NqQ3K b - - 2 24,e2d1 c1d1 d3d1 d6d1,632,82,100,418,kingsideAttack mate mateIn2 middlegame short xRayAttack,https://lichess.org/7WCEegPE#47,
7RulM,4r1k1/1p3p1p/p2p2p1/8/4R3/1P6/P1P2PPP/3qQ1K1 b - - 1 22,c3e1 d1e1 e4e1 e8e1,635,108,93,1286,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/pTOVY8mX#43,
GC4oc,4r2k/6pp/5b2/1Q6/1p1q1P2/4r1P1/4RRKP/8 w - - 0 36,c3d4 b5e8 e3e8 e2e8,642,88,86,173,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/ogpTQc37/black#70,
QM0Xo,6k1/1p4p1/p6p/3P4/8/2B4P/PP1p2P1/3Rq2K w - - 2 32,f2e1 d1e1 d2e1q c3e1,646,104,83,100,crushing endgame short xRayAttack,https://lichess.org/iCGsEgxe/black#62,
kFxkd,1r2rb1k/6pp/p2pRp2/1ppP4/1q1p2Q1/1N4B1/PP3PPP/4R1K1 b - - 15 25,a1e1 b4e1 e6e1 e8e1,659,81,100,221,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/RAv46JGd#49,
fmca4,1Q2q1k1/5ppp/p7/1p6/8/8/P3rPPP/4R1K1 w - - 1 26,d7e8 b8e8 e2e8 e1e8,661,80,100,427,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/S2qkOno5/black#50,
f71CI,8/4r1kp/6p1/8/4R3/5PP1/1q2Q1KP/8 b - - 2 49,d3e2 b2e2 e4e2 e7e2,666,89,97,1180,crushing endgame short xRayAttack,https://lichess.org/a7FjXTQ8#97,
N1pds,1r4k1/p1p2pp1/7p/2p1p3/PRN5/3P4/5PPP/qQ4K1 b - - 1 25,c2b1 a1b1 b4b1 b8b1,673,95,93,505,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/kIiuus20#49,
av2uC,2k5/p1p3R1/1pP2p2/3p1q2/PP1P4/4Pp1p/5Pr1/6RK w - - 0 33,e6f5 g7g8 g2g8 g1g8,682,87,96,1112,endgame mate mateIn2 queenRookEndgame short xRayAttack,https://lichess.org/Cn071T9a/black#64,
c9FKq,4r1k1/3Q1ppp/p7/P2P4/3qr2P/2p5/5PP1/R3R1K1 w - - 2 28,c8e8 d7e8 e4e8 e1e8,685,79,100,664,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/3AdVIBBS/black#54,
9NLT5,r4k1r/5p2/2p2QBR/1p1qPb2/3P4/8/pPP5/K6R b - - 1 31,b1a1 d5h1 h6h1 h8h1,710,90,96,561,mate mateIn2 middlegame short xRayAttack,https://lichess.org/5hpyzzS7#61,
q4LiF,r4rk1/pp5p/2p2Rp1/3Pp3/2q4N/2P3Q1/P5PP/5R1K b - - 2 23,a1f1 c4f1 f6f1 f8f1,717,81,100,358,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/X6MUEqjd#45,
9790j,6k1/2p2ppp/2p5/pp5P/n1b1rqP1/P3rB2/5KQ1/3RR3 w - - 0 32,e8e4 d1d8 e4e8 d8e8 e3e8 e1e8,743,79,99,1150,backRankMate long mate mateIn3 middlegame xRayAttack,https://lichess.org/1HIKtRS6/black#62,
8bw3e,6k1/3b4/4pr2/1p1pR2p/pP1P4/P1P2RpP/6P1/2q2Q1K b - - 5 39,e2f1 c1f1 f3f1 f6f1,749,80,99,663,endgame kingsideAttack mate mateIn2 short xRayAttack,https://lichess.org/CpM5LuAU#77,
XaOn7,1Qq3k1/5ppp/p3pn2/3p4/2r5/4PP2/6PP/2R3K1 w - - 2 34,c6c8 b8c8 c4c8 c1c8 f6e8 c8e8,766,88,100,87,backRankMate endgame long mate mateIn3 xRayAttack,https://lichess.org/kATbtLC5/black#66,
5rLU5,Q3q1k1/p4p1p/1b4pP/4r3/1pp3P1/8/PPP5/1K1BR3 w - - 2 27,b5e8 a8e8 e5e8 e1e8,774,82,97,1735,endgame mate mateIn2 short xRayAttack,https://lichess.org/2voc2OGb/black#52,
MlBet,k2r4/p2R4/1q5p/8/2pQ4/P7/1PP2PPP/6K1 b - - 0 31,g7d4 b6d4 d7d4 d8d4,775,80,99,1288,crushing endgame short xRayAttack,https://lichess.org/hbQvqUuZ#61,
HWxpr,1r4k1/5ppp/2p1p3/8/3B4/8/1R3PPP/rR4K1 b - - 0 24,c2b2 a1b1 b2b1 b8b1,782,76,100,267,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/n6GvuWGb#47,
KPPnJ,4q2k/p2b2pp/2Q2b2/8/3P4/P5P1/1r3P1P/4R1K1 w - - 0 24,d8e8 e1e8 d7e8 c6e8,793,82,97,294,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/XkMMp2Yi/black#46,
y3XZc,6rk/2q2p2/3p1P2/p1pPpQrp/1p6/1P1P3R/1PP3P1/R5K1 w - - 0 33,g6g5 h3h5 g5h5 f5h5,798,95,100,48,endgame kingsideAttack mate mateIn2 short xRayAttack,https://lichess.org/bJrsN67D/black#64,
caOww,r2r2k1/3R1ppp/8/4Q3/4P3/1P3N2/5PPP/q2R2K1 b - - 2 30,d3d1 a1d1 d7d1 d8d1 f3e1 d1e1,804,77,100,326,backRankMate long mate mateIn3 middlegame xRayAttack,https://lichess.org/AqeCclm2#59,
MbnSQ,2k2b1r/p1pr1ppp/4p3/2B5/N5P1/4Rq1n/PPP2P2/R4QK1 w - - 0 23,f4h3 f1h3 f3h3 e3h3,806,85,98,747,advantage middlegame short xRayAttack,https://lichess.org/vuj6EYUz/black#44,
