PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
PglNQ,8/3k4/1p1r1p2/1P3P2/3RK3/8/8/8 b - - 2 45,c4d4 d6d4 e4d4 d7d6 d4c4 d6e5,509,91,100,503,crushing endgame long rookEndgame zugzwang,https://lichess.org/rjTI3ASg#89,
yGOYs,8/5k2/4p3/4P1Kp/8/8/8/8 w - - 1 50,g7f7 g5h5 f7g7 h5g5,512,103,87,227,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/45udRw5n/black#98,
IVk0x,8/5k2/5p1p/6pP/4K1P1/6P1/8/8 w - - 3 52,e6f7 e4f5 f7e7 f5g6,518,90,73,101,crushing endgame pawnEndgame short zugzwang,https://lichess.org/pt69d0RG/black#102,
GegfI,8/8/4kp2/3p1N2/3P1P2/5K2/8/8 b - - 0 55,e3f5 e6f5 f3e3 f5g4,527,86,82,287,crushing endgame short zugzwang,https://lichess.org/Nf6jYhU2#109,
GjGv4,8/8/p2k2p1/Pp3p1p/1P3P1P/2K2P2/8/8 w - - 4 49,d5d6 c3d4 d6c6 d4e5,531,105,93,634,crushing endgame pawnEndgame short zugzwang,https://lichess.org/M1dqgU2c/black#96,
mwWBF,8/5p2/5p2/5Pk1/6Pp/7P/2r2RK1/8 b - - 17 47,f3f2 c2f2 g2f2 g5f4,538,88,100,146,crushing endgame master rookEndgame short zugzwang,https://lichess.org/PJcRQA7V#93,
UZY22,8/2p5/2p1k2p/2P2p1P/1P3Pp1/3K2P1/8/8 b - - 0 43,c4d3 e6d5 d3c3 d5e4,546,95,100,166,crushing endgame pawnEndgame short zugzwang,https://lichess.org/oVksgUUg#85,
Ib11N,8/8/6k1/7p/6rR/6PK/8/8 w - - 9 70,g5g4 h4g4 h5g4 h3g4,554,99,97,985,crushing endgame rookEndgame short zugzwang,https://lichess.org/wex4GbyJ/black#138,
IZ48h,8/5k2/3p3p/3P3P/5K2/8/8/8 w - - 1 59,g8f7 f4f5 f7e7 f5g6,563,87,100,329,crushing endgame pawnEndgame short zugzwang,https://lichess.org/CUQNGbjF/black#116,
l45l1,8/2k5/1p3p2/pP3P2/P2K4/8/8/8 b - - 6 50,c4d4 c7d6 d4e4 d6c5,565,96,98,469,crushing endgame pawnEndgame short zugzwang,https://lichess.org/dsP2zZCA#99,
AozTu,8/8/3p2k1/3P1pPp/7P/5K2/8/8 w - - 1 58,f7g6 f3f4 g6g7 f4f5,571,88,100,214,crushing endgame master pawnEndgame short zugzwang,https://lichess.org/Xc4rHSfM/black#114,
aJWsz,8/8/8/2k4p/1p3p1P/1P3P2/3K4/8 b - - 4 62,e2d2 c5d4 d2e2 d4c3,577,101,94,861,crushing endgame master pawnEndgame short zugzwang,https://lichess.org/epQyWpaB#123,
PiTMb,8/4k3/4p3/2p3p1/2P1K1P1/8/8/8 w - - 6 45,d6e7 e4e5 e7f7 e5d6 f7f6 d6c5,584,91,85,267,crushing endgame long pawnEndgame zugzwang,https://lichess.org/Fyrb6927/black#88,
7Tjvx,8/8/4p1p1/3kP1P1/p1p1p1K1/P1P1P3/1P6/8 b - - 6 66,f4g4 d5e5 g4g3 e5f5 g3h3 f5g5,586,104,94,1401,crushing endgame long pawnEndgame zugzwang,https://lichess.org/XUTeHk8Y#131,
ZfuvE,8/4k3/1p2p1p1/1P3p1p/1P1K1P1P/5P2/8/8 w - - 1 44,d6e7 d4e5 e7d7 e5f6,593,91,100,282,crushing endgame pawnEndgame short zugzwang,https://lichess.org/9jFkG8hi/black#86,
